RA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
RA50,121327,243971,147014,124747,129153,82699,67976,88380,16990,1022266
RA51,12281,15794,18856,12165,11138,8497,9618,13211,1851,103406
RA52,13149,12654,13768,9394,8733,6358,8518,10860,1441,84872
RA53,8439,7294,9029,4286,5082,2683,5199,5236,1030,48273
RA54,5721,7666,11110,3713,3632,1423,9750,5270,898,49183
RA55,96,324,627,58,45,6,172,344,23,1697
