RA_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
RA50,902,1731,4298,4239,3498,2274,701,186,39,17874,29400,47701,111608,112806,102972,72960,17997,1563,103,497104,248,476,1268,1312,1432,1209,660,192,21,6816,407,2985,14581,17595,13746,7714,1385,97,5,58515,2145,3971,10563,12778,12821,9618,2292,260,13,54471,154,518,2367,3165,2753,1930,378,21,0,11289,3176,7727,22135,22263,17890,12848,3050,240,12,89349,721,1847,5335,6349,6148,4434,1121,140,15,26105,14626,16769,18802,14719,13629,10701,3147,334,23,92744,20100,12904,13418,8868,5976,4140,1123,110,9,66645,883,3054,9731,10751,10216,8937,2710,237,9,46524,431,899,2148,2173,1701,1118,315,54,0,8839,168,1309,5820,7321,6166,3637,981,161,12,25576,231,977,3048,3436,3376,2619,1234,265,26,15215,685,5717,19973,23017,17017,10295,3665,506,30,80901,921,3009,7623,7307,6416,5063,1550,180,10,32079,518,3249,12637,15295,15089,11669,2670,232,10,61370,2347,5770,17069,20833,22963,17626,4779,392,15,91792,2153,12035,35088,34156,31295,24782,6720,521,15,146764,2347,2840,4217,3455,2626,1904,724,126,8,18233
RA51,123,130,260,382,383,274,98,45,4,1698,3551,3418,8297,10996,12154,9378,2390,258,21,50463,213,296,800,796,917,1029,756,271,39,5108,98,404,1400,1958,1987,1297,204,11,0,7349,446,651,1599,1978,1912,1375,346,35,0,8342,27,103,270,395,468,415,70,8,0,1760,519,933,2117,2468,2428,1970,516,37,4,10993,94,136,310,405,523,403,123,17,0,2019,1635,1006,1531,1647,1818,1610,395,38,0,9670,2276,773,1167,1166,1021,762,265,26,6,7459,81,178,444,607,978,1070,415,36,3,3812,55,54,108,105,97,61,31,3,0,514,9,58,216,287,337,244,71,14,0,1232,30,84,220,244,324,267,134,25,3,1334,55,175,651,928,927,685,313,41,3,3780,95,208,503,688,806,655,201,22,0,3185,107,439,947,1162,1514,1294,281,21,0,5762,154,260,1118,1987,2515,1969,503,34,4,8542,286,763,2180,2861,3186,2881,684,41,0,12879,162,116,237,231,235,185,76,12,0,1258
RA52,103,110,214,245,283,260,119,34,4,1362,2547,2856,6996,8030,9000,7887,2346,340,10,40008,336,558,1432,1648,1914,2055,1431,482,64,9922,158,554,1797,1870,1725,1231,197,10,0,7548,232,341,791,752,749,688,201,33,0,3784,22,47,149,215,204,236,52,6,0,924,354,592,1358,1267,1229,1275,370,30,0,6483,80,221,457,467,518,435,105,11,0,2303,1333,803,1167,1162,1364,1215,394,46,0,7483,1434,552,858,771,710,675,230,49,0,5281,66,161,518,649,998,1127,418,55,0,3998,26,40,86,76,67,69,16,3,0,385,15,68,163,206,231,178,37,4,0,901,23,65,178,170,200,204,77,24,0,943,73,194,556,605,572,522,232,27,4,2793,58,126,341,389,483,439,129,22,0,1992,66,174,763,1008,1331,1197,290,19,0,4853,103,331,1131,1672,1985,1721,423,35,0,7407,204,663,1957,2093,2462,2341,655,45,0,10412,71,58,115,123,142,154,43,14,0,719
RA53,40,75,159,172,131,91,45,13,0,740,958,1447,4932,4970,4252,3366,978,136,8,21028,111,285,830,993,1077,1166,671,208,19,5366,77,357,1796,2151,1528,942,129,3,0,6993,70,94,321,303,267,188,55,9,0,1307,18,30,131,200,190,121,26,0,0,717,138,284,1037,943,779,693,179,8,0,4067,62,83,285,288,225,190,61,9,0,1199,483,270,534,522,514,486,140,18,0,2980,471,292,715,478,425,383,133,22,0,2919,67,144,615,796,790,668,203,17,0,3306,13,16,50,40,36,32,12,0,0,210,7,19,95,93,69,50,19,12,0,366,16,62,143,133,142,108,36,14,0,647,28,62,288,337,226,203,73,12,0,1235,48,102,318,320,299,247,77,6,0,1419,54,132,569,714,706,571,150,14,0,2910,37,179,838,1036,940,673,181,5,0,3885,103,307,1082,1045,912,867,206,15,0,4550,40,25,86,94,97,63,40,5,0,447
RA54,25,51,109,82,82,71,40,11,0,467,475,1372,4264,3358,3225,3040,735,70,3,16550,104,221,488,383,471,509,264,67,6,2515,124,1075,4927,4761,4260,2674,364,14,0,18197,18,60,188,223,201,188,52,3,0,935,4,12,105,101,99,99,16,0,0,443,66,294,1047,1053,990,893,183,7,0,4534,16,29,159,142,131,94,32,3,0,605,179,162,356,306,347,324,116,19,0,1806,164,321,823,491,482,482,142,6,0,2916,26,103,287,287,360,410,139,16,0,1624,4,4,27,39,29,32,12,0,0,161,0,6,46,59,57,39,13,4,0,235,13,32,120,73,109,98,30,10,0,487,7,79,352,352,340,300,90,4,0,1523,37,133,410,354,352,299,72,3,0,1670,36,113,513,552,572,537,121,5,0,2451,34,188,673,649,654,592,152,10,0,2949,54,145,747,659,600,772,210,12,0,3204,24,45,121,89,80,71,20,3,0,455
RA55,0,0,5,0,0,3,0,0,0,16,7,23,54,28,32,29,5,5,0,186,3,16,34,25,17,11,3,0,0,106,4,15,78,182,166,88,3,0,0,533,0,0,5,14,13,10,6,0,0,44,0,0,7,13,11,8,0,0,0,50,0,0,37,81,61,23,3,0,0,218,0,0,3,7,8,9,0,0,0,27,0,0,0,7,5,3,0,0,0,10,0,4,9,20,17,14,0,0,0,62,0,16,38,57,54,27,3,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,0,0,7,0,0,10,14,25,10,0,0,0,55,0,7,13,17,16,13,4,0,0,64,0,0,3,0,11,6,0,0,0,25,0,0,0,0,0,3,4,0,0,12,0,0,3,0,6,5,0,0,0,18,0,0,0,0,0,0,3,0,0,8
