RA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
RA50,185744,24384,8586,1631,171,220519,283702,28260,10942,122,169,323203,70692,28466,26677,104,144,126086,7130,8795,2843,7,26,18786,1215,2015,1011,6,21,4262,34527,10589,6454,130,90,51792,4057,1321,824,493,78,6775,605,379,180,9,5,1180,118224,51562,37990,744,355,208881,6339,5172,2182,87,47,13816,20330,6532,4671,1887,306,33731,614334,115913,64376,4474,1049,800154
RA51,26972,1197,160,703,81,29111,32674,753,90,69,61,33649,7043,1215,323,21,19,8635,1122,958,77,0,8,2168,155,298,85,0,3,542,5450,537,97,48,31,6178,812,111,28,366,19,1341,84,24,5,4,0,119,14675,3150,618,448,90,18983,1409,503,48,88,38,2080,4373,585,107,531,65,5656,80105,6189,1020,1833,335,89482
RA52,23494,822,55,877,117,25367,21209,628,46,85,51,22021,5741,1628,238,16,13,7638,1758,873,75,10,13,2720,366,398,59,12,4,835,4960,464,62,54,31,5563,1388,279,28,374,80,2141,86,49,5,7,0,153,14294,3685,471,461,146,19056,1965,316,39,91,34,2436,5150,800,121,931,80,7080,66103,6259,728,2445,422,75957
RA53,6534,298,65,1801,179,8885,6284,337,42,114,29,6812,2403,878,504,27,25,3837,1626,605,82,8,18,2331,240,112,43,10,6,410,1719,246,72,77,44,2159,3368,650,286,659,122,5087,57,21,5,4,0,92,9417,2507,991,791,213,13919,1595,163,104,129,99,2083,3171,770,293,667,117,5014,26993,4082,1492,3504,638,36711
RA54,2324,70,21,4848,444,7705,1606,48,8,303,53,2021,794,156,98,25,14,1088,2254,252,74,23,32,2632,1241,70,72,44,22,1447,811,85,19,257,90,1265,2691,235,76,1237,284,4526,58,11,8,18,4,93,7840,808,352,1598,447,11044,1440,124,49,395,251,2261,2211,302,131,1327,451,4416,15420,1352,559,8478,1641,27450
RA55,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
