RA_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
RA50,23,405,57653,58084,990,6269,51715,58969,36169,31761,60695,128623,80628,19070,33143,132839,76077,12800,29778,118649,67408,8832,26503,102739,56866,4321,19586,80778,30639,1321,10446,42399,7458,223,4577,12262,356252,84998,294091,735348,32,742,54199,54979,2372,9987,45744,58103,54277,36237,50164,140672,90858,19086,34529,144468,79608,12859,36268,128741,67344,7943,37159,112443,51777,3299,34624,89705,22291,856,25214,48355,3538,106,13724,17365,372092,91118,331627,794838,55,1152,111855,113065,3359,16255,97459,117076,90443,68001,110850,269297,171484,38154,67670,277305,155682,25660,66051,247395,134754,16770,63661,215185,108645,7619,54212,170478,52926,2172,35656,90757,10994,333,18303,29633,728348,176118,625721,1530184
RA51,4,69,6151,6227,98,769,3534,4402,2676,2704,4051,9440,6371,2003,2902,11281,7670,1787,3314,12770,8258,1500,3273,13028,7968,831,2883,11679,4187,215,1364,5768,853,31,534,1413,38081,9915,27999,75998,7,134,5750,5888,191,1125,2709,4025,4104,3191,3511,10805,7978,2230,3389,13598,8662,2012,3984,14668,8799,1472,4068,14336,7374,597,3881,11844,2994,150,2866,6010,417,11,1487,1906,40529,10920,31635,83077,15,206,11897,12115,291,1892,6245,8427,6782,5902,7562,20249,14351,4232,6296,24877,16337,3799,7305,27432,17054,2970,7334,27359,15335,1426,6760,23523,7181,366,4225,11768,1262,42,2017,3322,78608,20833,59634,159077
RA52,3,98,4428,4530,94,787,2812,3696,2343,2473,3456,8270,4581,1592,2448,8619,5462,1420,2997,9878,6354,1306,3376,11039,5837,653,2720,9217,3138,181,1357,4672,737,33,523,1294,28550,8543,24119,61214,7,199,4014,4216,216,1167,2038,3414,3293,2675,2873,8837,5586,1728,2465,9786,6050,1562,2980,10599,6596,1179,3301,11079,5338,478,3067,8882,2299,130,2354,4787,333,12,1177,1524,29721,9131,24265,63114,9,292,8440,8746,315,1950,4851,7113,5634,5146,6330,17107,10170,3322,4918,18406,11511,2981,5980,20475,12950,2487,6679,22117,11177,1135,5784,18097,5434,312,3710,9462,1071,45,1700,2813,58272,17673,48387,124325
RA53,0,35,1782,1815,43,374,1198,1622,1369,1649,1777,4791,2968,1193,1272,5431,2546,841,1394,4783,2316,545,1462,4321,1543,206,885,2635,676,49,393,1110,147,3,116,269,11606,4893,10273,26779,5,71,1502,1578,74,571,886,1529,1992,1908,1549,5451,3221,1150,1124,5496,2572,777,1124,4466,2157,481,1114,3750,1296,130,804,2235,483,33,523,1034,71,5,204,282,11871,5119,8828,25823,5,106,3283,3391,116,947,2089,3150,3361,3557,3327,10243,6193,2341,2394,10926,5116,1613,2519,9251,4470,1024,2580,8072,2837,337,1688,4868,1163,82,910,2150,221,10,319,544,23476,10010,19106,52605
RA54,18,39,1094,1146,88,233,777,1096,768,941,1201,2903,1219,647,913,2781,1114,477,980,2576,1035,377,930,2351,639,153,678,1466,257,42,229,526,34,0,48,83,5172,2914,6844,14927,36,66,993,1098,103,351,766,1225,1034,1048,1284,3372,1360,672,897,2930,1100,503,884,2488,974,306,853,2134,494,100,553,1151,169,21,257,444,15,8,82,105,5291,3076,6581,14949,52,107,2084,2244,195,583,1547,2320,1803,1991,2483,6275,2586,1320,1812,5711,2220,978,1868,5065,2012,691,1786,4478,1129,261,1227,2619,430,59,492,978,42,8,135,182,10468,5984,13423,29875
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
