RA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
RA50,143,170,277,475,697,1052,1564,1702,1205,7297,210,148,264,489,1363,3224,4968,4173,1793,16628,3697,18419,22379,18984,16265,13205,7808,3944,2493,107190,54,50,120,308,645,1095,1748,2064,1538,7620,6420,7397,10445,12366,13384,14717,12566,7545,4586,89421,161552,83874,101437,100917,80280,58484,35576,13138,3649,638901,13172,8734,10093,9505,8635,6951,5417,4011,2901,69423,192775,123130,150769,152200,135068,118366,95229,53755,24875,1046174,364,1292,3817,8226,17683,31941,42589,31796,14239,151951,21866,19357,23241,23463,20382,17427,14530,7931,2742,150936,383,488,1201,2964,6287,11313,16489,12160,4532,55822,16,36,33,73,155,552,1832,5142,6178,14028,631,1298,2595,6257,12300,19855,24956,15982,5377,89245,492,493,801,1828,5431,12949,21440,19074,9621,72127,358,322,524,960,1407,2302,3489,3818,2267,15456,489,310,525,968,2503,5905,9509,8108,3274,31588,7853,27740,34572,30773,26978,21791,13453,6603,3493,173254,102,109,221,610,1292,2514,4245,4720,2742,16555,16081,13419,16543,19939,22974,25603,22502,12971,7004,157042,326147,178441,203535,201748,160492,115457,67566,25179,6423,1284988
RA51,16,8,28,61,91,131,220,209,134,890,31,16,19,60,187,475,738,481,183,2188,471,1786,2151,2277,2319,2008,1171,453,252,12890,4,7,18,52,88,144,273,271,176,1029,693,631,882,1219,1585,1890,1401,808,433,9533,16639,7245,7513,9020,8797,7369,4703,1728,397,63415,1901,1089,1070,1156,1299,1241,996,628,311,9684,20747,11243,12254,14776,15936,15885,13155,6765,2669,113421,55,154,435,1138,2694,5165,6730,4258,1654,22278,2973,1909,2122,2596,2540,2440,2181,1053,331,18146,47,35,123,316,731,1630,2400,1561,469,7307,0,3,6,8,13,79,267,592,624,1594,75,146,275,563,1350,2389,3354,1913,600,10667,51,57,85,183,588,1625,2976,2376,1082,9029,41,22,54,100,182,302,480,470,237,1892,60,36,52,104,329,937,1516,1091,332,4456,1067,2739,3233,3533,3723,3344,2138,864,369,21011,8,8,32,61,171,357,659,611,307,2218,1742,1260,1344,1923,2576,3272,2707,1479,651,16948,33704,15876,15145,17504,17467,14608,9428,3481,727,127930
RA52,13,13,21,34,75,132,188,196,117,793,18,21,15,54,162,418,590,397,151,1827,308,1374,1688,1640,1700,1538,896,442,235,9820,4,4,13,34,72,116,220,229,146,837,513,475,702,903,1166,1397,1180,679,392,7414,12973,5766,6243,6558,6380,5862,3630,1375,367,49156,2050,1160,1257,1337,1336,1344,1104,591,260,10451,16593,9213,10494,11258,12114,13014,10501,5639,2246,91070,41,114,347,795,2033,4158,5255,3510,1362,17616,2153,1720,1890,1919,2063,2140,1750,881,265,14780,20,26,93,201,575,1246,1837,1348,436,5787,0,0,5,10,35,62,189,564,611,1481,63,102,274,511,1226,2363,2807,1733,482,9554,40,32,77,140,573,1527,2438,2015,941,7778,29,16,50,66,161,294,424,424,229,1702,46,28,24,82,285,824,1238,866,302,3698,646,2145,2557,2544,2773,2714,1665,753,356,16150,9,10,23,49,132,271,501,533,261,1788,1305,937,1115,1451,1959,2565,2182,1249,605,13374,26092,12649,13231,13323,13269,12166,7573,2721,707,101727
RA53,6,3,15,21,49,52,69,50,23,291,14,0,11,14,65,143,201,108,21,574,113,412,757,703,572,481,241,83,22,3395,3,0,4,12,36,55,59,37,26,230,244,154,326,383,418,486,366,145,81,2598,7443,2715,4660,4275,3185,2865,1650,467,78,27331,1474,795,1286,1159,1038,1010,694,282,88,7823,9630,4272,7451,7072,6035,6038,4490,1721,472,47187,9,40,156,351,758,1583,1957,960,257,6070,884,565,1048,1076,899,886,685,242,51,6346,10,11,38,137,258,523,676,418,84,2159,0,0,3,0,8,22,61,96,92,288,32,52,146,277,619,992,1064,484,116,3786,35,29,46,92,266,652,979,591,182,2871,17,15,38,50,94,118,167,117,40,651,32,9,13,31,106,290,443,246,57,1236,239,651,1134,1132,1021,905,507,158,40,5786,3,0,7,25,62,120,193,123,48,572,561,295,538,652,786,910,777,302,117,4940,15084,5921,9616,9615,7552,6364,3582,998,155,58891
RA54,0,3,16,35,57,75,87,51,13,329,12,3,12,13,50,136,195,73,11,511,54,276,569,420,374,400,262,51,11,2410,0,0,3,6,29,34,70,32,10,194,127,105,263,291,364,500,430,104,23,2222,4925,2731,4538,3286,2786,2949,1793,317,28,23358,1216,936,1692,1190,1207,1144,660,210,41,8299,6502,4244,7420,5678,5464,6331,4706,1229,179,41750,8,37,136,297,731,1631,2165,731,100,5841,425,440,997,999,855,904,775,174,14,5594,7,14,44,105,219,565,783,287,41,2068,0,6,10,4,9,26,49,77,48,219,14,70,153,428,851,1209,1099,393,59,4287,43,42,75,143,398,845,1085,488,64,3182,13,6,28,66,116,156,183,113,23,706,22,11,30,36,126,296,477,204,19,1225,117,416,960,879,792,807,556,108,13,4647,0,0,10,18,64,83,185,95,21,474,320,204,491,625,785,1039,878,210,39,4580,10057,5994,11981,10106,8838,7436,4136,838,77,59456
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,3,20,43,24,30,46,21,5,0,190,0,12,29,20,23,26,13,5,0,127,4,39,89,49,60,77,61,17,0,395,0,0,6,13,26,28,28,3,0,114,0,3,18,34,23,17,15,0,0,115,0,0,0,0,5,8,11,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,4,4,0,37,0,0,0,0,5,13,13,6,0,38,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,15,0,0,21,24,19,6,0,4,0,70,0,0,0,0,0,0,0,0,0,5,0,0,0,9,21,11,7,0,0,59,3,79,249,445,397,225,56,7,0,1457
