RA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA50,34994,51193,117033,118119,107392,76208,18514,1597,112,525156,22393,9848,26962,28298,23217,38631,73218,48389,21402,292364,2070,2634,6766,5784,4465,3528,3499,3773,3366,35877,59453,63678,150769,152200,135068,118366,95229,53755,24875,853403,9473,43150,148284,153962,141866,93929,17503,1057,53,609282,44425,47136,62935,68718,57687,50036,22283,3287,206,356712,1845,2881,11483,8947,6284,6750,2085,239,24,40538,859,2102,4644,3266,2488,1613,521,182,68,15741,56600,95272,227348,234893,208334,152321,42389,4760,350,1022266,2277,4311,6999,5722,5645,4387,664,44,3,30039,9372,4032,4352,3761,2941,2811,960,87,8,28333,11649,8345,11348,9482,8579,7196,1615,130,11,58370,68249,103618,238696,244377,216920,159520,44009,4891,361,1080634,49120,19129,38226,38283,35134,60547,130451,88671,34900,494458,4241,5522,13753,12135,9612,7545,6746,6575,5245,71373,121607,128270,290682,294791,261655,227611,181210,100145,40499,1646460
RA51,4010,3645,8660,11394,12581,9740,2447,261,21,52767,2150,757,2797,2612,2539,5345,10009,5936,2294,34440,342,333,794,763,811,799,700,567,357,5470,6499,4736,12254,14776,15936,15885,13155,6765,2669,92678,1798,4517,10859,12930,15129,11145,2302,227,20,58924,4598,2361,5062,7242,7239,6943,3135,474,44,37113,338,321,1047,1046,1089,1256,322,45,0,5470,185,202,364,373,362,249,101,44,16,1896,6929,7406,17331,21594,23818,19598,5857,794,87,103406,293,357,565,457,510,437,69,0,0,2691,603,215,276,313,311,331,100,10,0,2158,894,564,841,773,825,763,170,9,0,4846,7822,7967,18172,22368,24642,20365,6026,802,87,108251,4854,1568,4556,4535,4414,8775,18822,11411,3782,62720,738,804,1742,1643,1782,1679,1445,1041,577,11443,13413,10344,24468,28546,30835,30818,26293,13256,4443,182418
RA52,2816,3024,7259,8315,9277,8160,2382,344,14,41588,1776,762,2234,1892,1851,3865,7235,4698,1891,26208,426,406,999,1058,988,990,884,593,333,6679,5015,4197,10494,11258,12114,13014,10501,5639,2246,74478,1692,4055,9907,10496,12077,10129,2630,360,28,51378,3211,1721,3935,4972,4985,5534,2633,524,49,27569,173,277,914,622,799,1020,364,61,3,4231,136,178,354,262,305,242,129,76,15,1697,5212,6225,15109,16354,18170,16918,5763,1030,97,84872,219,293,405,379,420,384,60,0,0,2156,386,132,231,220,192,279,83,7,4,1537,609,425,635,597,616,658,144,7,0,3696,5813,6653,15745,16947,18790,17575,5902,1034,99,88568,3782,1312,3309,2994,3215,6559,13794,8978,3238,47185,905,898,2192,2309,2281,2251,1890,1171,558,14465,10498,8869,21244,22258,24285,26383,21591,11185,3903,150213
RA53,1054,1514,5084,5107,4355,3461,997,136,8,21710,677,368,1212,982,805,1726,2868,1336,387,10362,283,383,1156,986,877,849,621,251,86,5483,2010,2260,7451,7072,6035,6038,4490,1721,472,37555,755,2198,7443,7940,7267,5480,1313,156,7,32566,1166,641,2086,2569,1921,1880,885,191,9,11354,84,168,785,656,593,738,310,48,0,3380,69,93,265,217,139,114,46,27,7,974,2071,3097,10583,11378,9921,8216,2557,420,33,48273,112,142,196,170,170,156,21,5,0,963,117,46,98,95,75,78,40,0,0,556,229,188,293,260,246,236,58,3,0,1520,2296,3289,10882,11641,10167,8448,2617,421,33,49794,1440,643,1699,1417,1343,2870,5707,2758,690,18569,626,877,2786,2775,2579,2329,1378,567,146,14056,4357,4802,15363,15836,14085,13653,9712,3746,870,82420
RA54,537,1456,4430,3505,3331,3121,765,76,4,17223,750,638,1416,1085,1013,2213,3383,967,139,11603,240,609,1580,1092,1117,995,566,190,35,6421,1534,2709,7420,5678,5464,6331,4706,1229,179,35250,464,2378,9092,8049,7915,5786,1161,95,8,34937,441,491,1623,1577,1299,1239,503,76,10,7257,65,257,1056,1228,1223,1640,466,25,0,5963,43,95,257,210,184,169,50,25,8,1024,1011,3220,12033,11062,10619,8828,2174,216,21,49183,80,138,250,210,164,142,26,6,0,1017,80,61,123,110,97,80,32,4,0,589,157,198,377,321,263,218,59,5,3,1609,1172,3415,12411,11379,10880,9047,2239,225,26,50791,1506,1147,2393,1941,1857,3865,7203,2294,287,22497,567,1669,5920,5352,5186,3874,1545,425,65,24589,3245,6231,20714,18673,17922,16781,10989,2952,374,97879
RA55,7,21,54,28,32,29,5,5,0,190,0,0,0,0,6,24,36,11,0,81,3,15,28,20,23,24,12,5,0,123,8,36,89,49,60,77,61,17,0,392,12,74,263,456,430,220,25,6,0,1478,0,0,15,24,15,15,7,0,0,77,0,0,18,29,37,30,9,5,0,120,0,3,5,6,3,4,0,0,0,20,10,71,297,516,486,267,40,8,0,1697,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,5,0,0,0,7,8,76,301,517,488,269,40,8,0,1711,0,0,4,7,10,45,86,21,0,165,6,43,219,425,390,221,49,6,0,1367,20,116,518,957,896,533,176,32,0,3249
