RA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
RA50,2482,56768,2901,63,62219,2880,57946,3771,195,64786,7010,123776,9122,574,140487,11112,123375,8097,402,142989,14232,106143,6213,376,126960,15151,89460,4630,408,109652,10584,71732,3666,343,86323,5166,38114,3111,123,46512,1571,12038,2015,28,15655,70188,679352,43521,2510,795570,2811,53815,2832,71,59523,3810,56673,3201,189,63867,11480,131290,8006,486,151252,18839,126501,6862,247,152450,24654,105185,5236,265,135335,26328,87993,4049,517,118888,16334,74957,3938,450,95676,6151,43532,4075,140,53892,1203,20095,3583,50,24925,111604,700030,41772,2408,855812,5291,110587,5736,134,121742,6689,114611,6966,383,128653,18486,255060,17129,1062,291735,29948,249884,14958,648,295438,38884,211326,11449,637,262294,41480,177454,8680,927,228534,26919,146691,7603,792,182000,11319,81645,7177,263,100405,2771,32132,5598,78,40577,181789,1379386,85295,4920,1651383
RA51,282,6067,556,4,6918,217,4642,746,76,5683,587,9607,2020,91,12309,1099,10777,1896,52,13818,1579,11751,1568,26,14927,1957,11789,1188,19,14955,1429,10808,893,14,13143,690,5249,560,10,6505,159,1357,254,0,1771,8007,72048,9682,285,90027,331,5674,494,9,6510,260,4106,372,13,4751,1106,10282,860,62,12316,2140,11768,870,24,14798,2934,12107,901,18,15950,3401,11636,845,25,15903,2173,10215,772,15,13175,794,5337,629,8,6772,131,2133,402,5,2675,13270,73262,6146,173,92852,617,11746,1051,15,13422,480,8747,1117,88,10434,1692,19892,2884,150,24621,3238,22539,2765,76,28619,4512,23853,2469,40,30873,5359,23420,2036,39,30855,3601,21020,1666,26,26320,1484,10587,1188,17,13278,295,3492,655,5,4449,21282,145308,15832,465,182875
RA52,248,4629,603,4,5490,215,3864,595,39,4710,512,8678,1560,97,10852,852,8571,1568,41,11043,1276,9423,1472,15,12179,1644,10355,1370,19,13394,1118,8917,1057,17,11114,550,4401,601,13,5554,172,1245,234,3,1657,6594,60079,9072,253,75992,233,4236,546,4,5021,236,3505,459,14,4211,898,8519,1084,47,10543,1580,8544,1143,16,11277,2046,9021,1051,16,12133,2501,9451,1058,18,13031,1509,8046,944,20,10520,654,4345,640,6,5648,116,1784,351,0,2247,9773,57450,7259,149,74624,484,8867,1150,8,10509,446,7370,1052,55,8928,1404,17196,2646,145,21390,2428,17113,2710,59,22315,3320,18441,2517,27,24313,4149,19803,2428,37,26422,2633,16960,2003,41,21632,1205,8742,1240,16,11204,293,3027,582,7,3908,16366,117523,16329,400,150616
RA53,82,1865,393,0,2345,81,1908,550,23,2567,284,5840,1786,85,7997,491,6332,1932,35,8801,511,5745,1795,21,8077,557,5496,1552,32,7635,335,4093,800,18,5235,153,1539,333,4,2027,38,296,68,0,398,2533,33111,9218,219,45077,92,1571,354,0,2014,97,1760,405,22,2288,439,5788,1223,72,7520,684,5342,1047,12,7080,748,4367,915,10,6044,812,4356,871,14,6056,501,3352,635,18,4507,158,1290,279,0,1723,24,363,86,0,472,3552,28195,5811,149,37710,177,3430,750,6,4357,184,3670,955,47,4852,724,11630,3005,156,15517,1175,11677,2979,45,15879,1260,10111,2713,30,14121,1373,9852,2421,45,13690,837,7439,1433,36,9748,306,2832,607,4,3751,58,657,156,0,870,6086,61307,15023,367,82788
RA54,108,1243,359,0,1707,135,2282,1110,65,3595,478,8336,4480,181,13476,629,7951,4413,97,13093,653,7625,4178,66,12527,556,6965,2929,42,10491,355,4915,1010,22,6303,106,1375,238,0,1720,12,146,29,0,193,3032,40850,18753,478,63107,93,1133,316,6,1539,186,1883,631,70,2774,448,5329,1649,154,7569,495,4041,1142,19,5699,563,3743,1156,12,5473,642,4660,1024,23,6352,347,3783,580,16,4722,76,954,198,0,1231,13,133,42,4,185,2862,25656,6733,301,35550,196,2374,674,6,3249,321,4167,1745,142,6373,926,13665,6125,332,21048,1120,11997,5555,119,18791,1219,11372,5333,77,18000,1200,11624,3952,66,16848,704,8699,1588,39,11025,181,2333,436,0,2952,24,280,71,3,380,5897,66502,25485,781,98652
RA55,0,8,7,0,14,3,46,28,0,81,11,222,193,24,459,29,465,416,37,945,30,427,374,53,896,23,234,196,24,473,3,69,41,0,119,0,11,0,0,15,0,0,0,0,0,105,1492,1256,143,3002,5,3,3,0,8,0,20,15,0,37,7,57,28,3,94,0,30,20,7,55,7,30,22,0,57,7,43,29,3,86,5,43,14,0,61,0,10,5,0,17,0,0,0,4,3,23,242,123,16,405,5,6,10,0,19,6,69,43,0,121,11,278,223,33,549,31,492,432,37,999,38,459,399,61,951,33,280,220,29,560,9,115,54,0,178,0,22,6,0,32,0,0,0,4,3,129,1727,1382,164,3410
