RA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA50,396249,249878,290682,294791,261655,227611,181210,100145,40499,2042711
RA51,43030,23760,24468,28546,30835,30818,26293,13256,4443,225447
RA52,34196,19368,21244,22258,24285,26383,21591,11185,3903,184417
RA53,19832,9158,15363,15836,14085,13653,9712,3746,870,102253
RA54,13408,9478,20714,18673,17922,16781,10989,2952,374,111284
RA55,3,137,518,957,896,533,176,32,0,3250
