RA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA50,601933,618812,1220741,3078,2307,5384,1388,1259,2658,2234,2900,5139,11570,15482,27056,2063,2185,4243,1243,1113,2361,474,555,1031,3902,4810,8714,958,1038,1995,2884,3329,6212,29942,27891,57833,4886,7985,12866,3168,2988,6156,1842,1668,3505,8128,7669,15798,8348,7936,16287,1238,3099,4338,2653,3335,5986,605,541,1150,13908,17054,30959,2145,2051,4194,3328,3479,6806,28876,27664,56546,4393,2755,7155,12559,17773,30329,2148,2971,5125,6830,8332,15162,18224,19551,37770,4395,4160,8549,1153,2229,3385,2196,6056,8254,98007,99075,197087,4230,4393,8616,7279,9761,17041,54687,62396,117088,39647,39564,79212,2696,2595,5293,999236,1048770,2048011
RA51,82943,83047,165995,90,29,115,35,29,60,193,268,463,155,252,410,52,28,80,38,22,67,58,27,85,461,617,1081,30,26,52,59,78,133,594,486,1080,115,270,383,78,25,98,44,21,67,435,439,871,513,419,930,54,130,183,124,117,235,42,22,61,218,266,485,53,48,95,437,446,890,3222,2939,6166,110,68,181,876,1300,2170,92,138,227,143,186,329,1457,1541,3004,108,93,192,91,208,297,84,358,450,8735,9611,18350,357,372,732,189,198,389,2454,2479,4936,7302,6817,14113,302,192,493,112330,113614,225941
RA52,68181,65857,134036,123,63,193,23,17,38,127,204,329,180,196,370,35,34,68,28,22,51,106,77,183,296,484,786,33,24,57,36,38,71,518,461,977,98,226,330,44,27,76,14,8,17,223,224,449,299,236,533,27,61,85,39,43,85,6,4,11,168,169,335,44,29,70,340,327,668,2872,2606,5486,79,65,149,1010,1490,2497,51,69,119,79,112,188,994,1103,2095,86,69,159,56,111,168,159,472,628,5128,5549,10681,232,276,507,132,165,295,2140,2032,4168,9327,8099,17430,265,154,419,93609,91228,184833
RA53,36505,32239,68751,10,8,17,19,16,35,56,114,169,104,182,286,18,15,33,25,9,33,43,33,71,157,221,385,13,13,25,32,35,67,405,286,692,80,160,243,24,7,30,6,5,15,217,181,397,98,73,174,9,44,50,18,28,51,3,5,6,103,100,200,28,23,56,120,123,243,1915,1425,3341,50,25,71,704,801,1497,28,32,57,75,73,150,536,475,1009,86,59,149,24,56,79,68,308,374,2305,2061,4361,93,132,220,42,80,125,1210,1063,2274,9839,6675,16510,224,152,379,55294,47341,102631
RA54,38360,27384,65753,23,0,22,16,3,25,80,99,179,192,102,290,48,30,78,13,4,18,79,41,113,247,200,446,19,6,24,25,24,44,335,132,470,112,115,232,55,12,66,18,3,20,423,174,595,167,95,262,13,48,57,45,26,66,11,7,18,171,106,274,28,4,36,163,128,288,2748,1394,4140,39,8,47,617,371,994,47,36,84,81,52,140,643,309,953,88,27,114,20,58,81,66,224,295,3397,1907,5303,155,135,286,109,103,208,1953,1125,3075,18922,7246,26169,490,300,789,70021,42058,112078
RA55,1000,174,1179,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,3,16,0,24,11,0,11,0,0,0,0,0,0,20,5,24,0,0,5,0,3,7,0,0,3,0,0,0,10,0,13,0,0,0,8,3,10,108,14,128,3,0,3,50,9,60,8,0,7,0,0,3,23,0,22,4,0,4,0,0,0,5,4,7,219,36,255,6,0,7,6,0,6,84,14,94,1234,123,1358,143,16,164,3003,413,3413
