RA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA50,4937,10088,11209,9967,9874,12474,26298,20841,9932,115620,5084,13362,17147,14553,13123,13568,19974,12599,4742,114162,3216,13586,19770,16826,14155,13337,13819,7718,2609,105026,2164,14888,28360,22232,19787,16685,11623,4927,1676,122336,1115,13071,37073,29802,25760,22052,10997,3509,984,144365,440,7735,31336,26084,22030,17556,7141,1916,485,114716,224,4189,27575,25661,21820,16850,5610,1533,542,104000,89,1844,19040,21055,18307,12765,3745,792,226,77852,94,2064,28745,43020,37819,24597,5992,1198,364,143889,26,320,5651,11297,10194,6306,1661,408,125,35986,70,273,5277,18063,20593,12416,3666,1131,318,61807,5709,7231,16765,14456,11837,9508,8831,8652,7689,90673,134,383,1062,648,637,927,792,263,78,4920,121742,128653,291735,295438,262294,228534,182000,100405,40577,1651383
RA51,658,572,1124,1258,1361,2022,4082,2732,1140,14948,822,972,1636,1787,1879,2138,2946,1634,500,14310,565,1285,1781,1941,2121,2016,2047,1038,298,13082,363,1484,2413,2360,2537,2360,1578,628,166,13889,170,1172,2761,2848,3146,2880,1503,449,84,15006,55,708,2153,2272,2451,2215,794,214,47,10905,35,425,1773,2209,2411,1976,660,187,61,9735,20,218,1304,1749,2109,1595,412,84,20,7504,14,272,2110,3470,3900,2893,642,108,28,13445,6,31,426,817,939,649,171,37,19,3092,18,29,341,966,1267,913,353,96,31,4011,1043,1141,2838,2758,2544,2218,1846,1297,808,16494,15,88,150,76,40,39,26,17,5,465,13422,10434,24621,28619,30873,30855,26320,13278,4449,182875
RA52,494,442,882,951,1097,1686,3201,2307,867,11932,659,783,1272,1348,1408,1696,2246,1297,461,11172,501,1026,1512,1450,1507,1668,1555,800,231,10237,369,1219,1904,1825,1975,2117,1318,490,177,11401,207,1058,2384,2124,2412,2571,1181,339,81,12338,80,633,1754,1766,1857,1761,724,178,32,8789,57,466,1790,1647,1988,1737,568,186,72,8513,16,242,1274,1422,1575,1342,413,114,25,6429,26,293,1989,2741,3055,2407,629,123,30,11288,0,50,440,682,702,564,154,36,10,2643,10,29,363,736,899,757,308,93,28,3231,1104,1037,2619,2629,2578,2542,2185,1435,794,16915,8,55,145,59,27,37,41,16,7,400,10509,8928,21390,22315,24313,26422,21632,11204,3908,150616
RA53,135,179,356,392,382,556,1074,659,192,3913,222,264,487,560,469,613,870,383,92,3966,207,394,671,581,587,585,631,248,53,3959,151,491,970,824,746,787,575,209,38,4784,131,542,1320,1141,1028,1122,628,147,21,6089,66,431,1160,1033,949,903,398,80,18,5044,44,302,1317,1169,1026,918,343,67,9,5194,19,185,1126,1074,945,764,274,49,11,4445,28,284,2045,2519,2178,1538,355,78,7,9032,5,57,662,832,665,471,125,20,3,2832,10,53,642,1291,1075,742,266,96,9,4187,748,962,2973,2916,2699,2502,1500,651,185,15136,6,47,156,45,30,45,36,4,0,367,4357,4852,15517,15879,14121,13690,9748,3751,870,82788
RA54,97,180,368,298,366,544,1208,507,80,3650,144,219,484,423,357,576,1104,362,31,3698,103,248,521,385,357,619,807,219,11,3270,106,377,787,535,554,756,634,150,23,3925,83,436,1090,730,797,1028,670,122,7,4969,63,444,1150,794,834,864,403,74,9,4637,38,339,1296,970,942,928,323,52,8,4888,38,316,1238,1035,996,892,240,20,0,4769,31,629,3475,3243,3086,2270,493,33,4,13273,5,95,1146,1276,1170,784,126,16,0,4611,8,63,962,1624,1492,976,187,35,6,5352,766,1753,6142,5570,5368,4041,1677,493,78,25879,6,142,332,119,77,66,39,0,3,781,3249,6373,21048,18791,18000,16848,11025,2952,380,98652
RA55,0,5,4,3,4,3,6,0,0,20,0,0,3,0,7,3,7,5,0,28,0,0,7,4,3,5,5,0,0,31,0,3,11,9,4,8,16,4,0,44,4,13,22,15,16,17,8,3,0,92,0,10,22,13,18,12,16,0,0,99,0,12,27,21,25,16,16,0,0,119,3,10,19,25,29,16,3,0,0,105,0,17,78,141,116,79,9,0,0,449,0,0,26,84,65,33,6,0,0,211,0,0,76,185,196,102,13,0,0,578,8,45,221,433,403,220,56,8,0,1394,0,0,33,37,61,29,0,0,4,164,19,121,549,999,951,560,178,32,3,3410
