RA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
RA50,23814,11416,12322,23736,11639,12414,24054,11662,12427,24087,11300,12080,23378,57522,61554,119071,11059,11955,23008,10651,11750,22405,10291,11383,21669,10039,10983,21018,9680,10748,20431,51716,56819,108533,9881,10759,20643,9257,10504,19765,8868,10168,19037,8821,9821,18647,8591,9531,18120,45427,50781,96208,8479,9216,17690,8136,8960,17097,7821,8870,16690,7888,8490,16380,8233,8908,17144,40555,44444,84999,6402,6886,13287,5944,6515,12457,5738,6345,12089,4902,5602,10506,4943,5521,10460,27926,30867,58797,18463,22885,41346,10186,14536,24720,4338,7684,12017,1018,2311,3329,85,349,438,2696,2595,5293,999236,1048770,2048011
RA51,3061,1487,1552,3038,1497,1606,3104,1504,1622,3130,1505,1660,3164,7513,7979,15490,1576,1694,3266,1461,1571,3028,1485,1572,3062,1432,1616,3049,1466,1454,2922,7419,7904,15329,1509,1545,3053,1356,1422,2778,1371,1361,2740,1276,1403,2677,1337,1272,2607,6842,7009,13853,1323,1296,2623,1222,1281,2514,1271,1153,2422,1200,1155,2357,1263,1262,2529,6287,6151,12441,936,935,1869,872,903,1774,831,822,1651,695,708,1406,689,711,1396,4024,4076,8100,2471,2691,5159,1169,1623,2797,483,794,1279,108,226,336,10,23,35,302,192,493,112330,113614,225941
RA52,2551,1274,1236,2514,1298,1286,2581,1418,1354,2777,1367,1395,2757,6646,6532,13183,1425,1370,2792,1319,1284,2601,1361,1360,2718,1317,1274,2586,1307,1194,2505,6730,6481,13206,1280,1196,2479,1246,1168,2413,1150,1104,2252,1146,1148,2295,1086,1138,2225,5911,5751,11665,1101,992,2092,1075,960,2038,1006,937,1945,1012,919,1932,987,931,1921,5186,4745,9930,759,760,1514,744,689,1434,708,652,1364,590,604,1199,599,631,1230,3395,3337,6735,2147,2302,4449,1111,1401,2513,437,630,1074,89,180,274,8,31,37,265,154,419,93609,91228,184833
RA53,1331,749,593,1344,823,649,1475,803,618,1417,745,592,1333,3876,3025,6900,865,603,1467,765,610,1374,709,667,1375,663,564,1230,734,564,1306,3739,3016,6747,649,573,1225,630,539,1165,566,505,1070,525,447,974,499,518,1023,2873,2588,5458,510,462,971,485,367,849,468,386,852,442,348,788,447,348,796,2355,1900,4251,290,263,549,332,238,565,263,236,497,216,205,422,229,185,409,1321,1125,2449,697,598,1296,285,317,598,99,128,229,13,30,36,0,3,4,224,152,379,55294,47341,102631
RA54,1686,1121,607,1733,1109,620,1732,1143,620,1761,1134,672,1807,5609,3110,8719,1059,659,1717,1044,650,1694,952,633,1587,892,619,1505,893,659,1549,4838,3218,8059,845,663,1512,720,618,1331,719,568,1287,708,561,1276,656,467,1122,3654,2875,6526,628,435,1065,607,423,1032,521,384,902,444,301,743,429,295,729,2631,1835,4464,296,239,541,296,200,499,240,194,436,187,131,318,201,115,318,1219,883,2101,501,344,844,147,106,254,34,47,78,10,27,34,3,3,6,490,300,789,70021,42058,112078
RA55,84,65,8,76,56,10,68,54,9,65,43,13,53,305,43,341,39,8,44,40,7,43,33,7,38,23,9,33,17,5,27,150,40,188,22,9,30,19,8,29,16,6,18,12,3,13,12,0,16,77,28,109,5,12,15,8,3,19,7,9,13,11,0,6,11,6,13,40,31,68,9,4,9,0,9,8,0,0,5,3,0,3,0,5,5,8,17,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,16,164,3003,413,3413
