RA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA50,29946,19541,12675,7608,2726,550,98901,805,8107,10338,9495,7321,4300,1354,229,41957,20767,78889,78723,54427,34675,23130,9137,2328,302082,9762,28293,34479,32444,27238,18912,8436,2310,161872,30356,58608,53762,48399,42529,27364,12230,3344,276593,10323,4588,3313,2673,2208,1474,565,117,25255,2164,3124,4588,6046,5805,4591,2392,784,29491,42840,66320,61664,57119,50537,33429,15190,4238,331336,923,1975,2483,2265,2074,2210,1550,550,14021,12249,17471,16274,13658,12077,12191,11573,8292,103779,88994,225258,233900,188950,146590,101785,49966,18494,1053943
RA51,899,797,711,595,212,32,3809,46,412,731,778,686,470,124,16,3266,622,3507,4663,4201,3114,2417,947,209,19666,444,1870,2844,3250,3335,2491,1014,224,15469,3912,7464,8032,7878,7091,4522,1674,338,40903,1435,658,490,419,385,246,78,22,3726,229,286,518,734,753,644,260,59,3479,5576,8411,9039,9032,8225,5418,2011,415,48113,63,135,194,197,232,284,160,47,1316,1955,2175,2180,2383,2373,2339,1811,930,16143,8734,17051,20541,20633,18670,14004,6285,1869,107788
RA52,742,609,577,398,133,26,3162,37,366,503,539,514,354,78,14,2406,669,3041,3378,2852,2330,1679,604,141,14691,357,1455,2005,2253,2496,1897,748,154,11357,2877,6021,5594,5585,5361,3350,1216,282,30277,1194,615,412,368,321,185,56,6,3159,159,237,340,517,571,472,191,56,2547,4229,6872,6353,6475,6247,4010,1460,346,35981,45,111,126,169,157,193,117,46,957,2129,2461,2624,2725,2928,2750,1886,919,18425,7524,14922,15722,15622,15255,11273,5019,1641,86981
RA53,510,345,285,182,47,0,1924,24,295,377,284,242,144,22,0,1394,391,2586,2330,1495,1097,733,246,33,8906,172,963,1456,1305,1254,822,243,39,6250,1277,3923,3969,3153,2537,1462,365,51,16745,464,318,264,158,124,74,15,0,1411,68,145,211,250,277,206,70,11,1238,1807,4390,4443,3561,2941,1739,456,65,19392,34,59,80,84,84,86,35,10,462,1673,2996,2994,2820,2634,1654,763,196,15733,4116,11815,12188,9891,8530,5354,1817,346,54061
RA54,573,410,393,265,48,3,2401,15,265,234,274,304,228,19,0,1336,519,2782,1942,1433,1331,946,176,10,9132,169,1039,1192,1314,1449,1044,179,17,6399,1243,4625,4384,3756,3295,1809,385,26,19535,392,352,253,179,146,82,13,0,1417,74,183,201,196,275,230,48,5,1210,1721,5157,4829,4137,3716,2120,448,34,22156,14,55,43,50,56,66,25,4,309,2478,6165,5611,5445,4172,1896,568,78,26410,4958,16118,14419,13062,11421,6559,1455,146,68151
RA55,10,16,12,0,0,0,55,0,3,7,8,7,6,0,0,31,6,69,69,62,43,21,3,0,277,8,29,90,89,58,13,7,0,292,35,129,215,193,110,17,7,0,703,7,8,4,6,4,0,0,0,28,0,3,10,13,11,0,0,0,41,44,141,231,211,122,22,3,0,776,0,4,9,3,6,4,0,0,20,53,223,434,404,223,52,10,0,1408,112,476,858,801,465,123,24,0,2853
