RA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
RA50,148,484,1515,3218,6269,11438,15271,11047,4058,53454,12901,9316,9836,9973,8293,6447,5172,2806,891,65629,213,257,532,1059,2098,4810,8353,6606,2298,26213,4,18,21,44,100,294,960,2270,2011,5720,321,622,1261,3362,6941,11125,13953,8715,2420,48723,286,257,467,1111,3624,8774,14042,11239,4387,44178,216,152,247,484,710,1247,1924,2107,1062,8160,275,170,258,477,1141,2684,4536,3938,1485,14961,4151,9323,12190,11789,10718,8584,5649,2661,1002,66068,45,59,102,303,648,1425,2496,2649,1204,8940,9660,6024,6104,7575,9588,10888,9936,5430,2418,67614,164595,94560,102096,100831,80210,56971,31990,12046,2778,646086,13963,9598,10959,10465,9416,7273,4992,3143,1776,71593,203477,126743,139912,142591,126586,109242,85978,46391,15624,996537,220,806,2304,5008,11420,20501,27318,20746,10180,98501,8964,10042,13405,13482,12094,10985,9363,5119,1857,85313,172,233,671,1907,4194,6506,8140,5553,2238,29606,12,21,16,26,54,261,880,2869,4170,8309,309,677,1328,2890,5356,8737,11000,7267,2954,40524,213,232,333,721,1810,4179,7395,7827,5233,27949
RA51,22,68,177,441,894,1909,2623,1651,488,8278,1822,909,870,1020,960,879,805,420,106,7798,27,18,52,104,222,731,1226,852,246,3482,0,0,4,3,3,44,125,285,188,661,41,85,121,272,752,1357,1957,1091,255,5931,28,34,44,115,383,1089,1972,1474,503,5641,28,12,28,38,92,174,264,265,106,1003,34,13,35,43,140,459,778,606,155,2269,594,955,1085,1254,1403,1337,964,407,111,8118,8,3,12,13,84,209,389,342,131,1190,1050,624,465,701,994,1381,1308,675,221,7416,17061,8634,7631,8482,8677,7236,4725,1750,328,64517,2017,1585,2242,2178,1944,1551,1089,566,212,13395,22290,12517,12223,13766,14897,14932,13132,6494,1771,112027,36,84,260,695,1796,3260,4096,2604,1161,13999,1154,995,1250,1575,1579,1561,1377,635,218,10349,26,11,70,214,501,892,1175,711,227,3820,0,0,4,3,6,37,136,308,440,937,35,62,152,287,596,1035,1400,819,345,4732,22,25,39,73,210,533,1007,900,577,3385
RA52,16,50,140,321,773,1634,2204,1376,451,6974,1291,842,783,812,775,861,687,331,88,6470,12,19,48,64,209,543,1018,771,230,2917,0,0,0,6,11,28,92,266,194,605,39,55,136,253,663,1315,1589,993,237,5269,27,15,44,72,371,997,1591,1236,462,4813,17,8,31,31,87,160,239,226,115,913,26,12,12,29,123,406,647,473,147,1870,334,771,871,909,1073,1174,772,306,118,6326,8,5,7,16,61,154,282,301,115,946,792,461,414,547,795,1166,1009,574,210,5961,13123,6880,6982,6771,6890,6306,3943,1344,335,52565,2189,1398,1748,1782,1798,1700,1269,613,163,12671,17606,10158,10749,10997,12166,13375,11095,5544,1655,93348,22,65,205,474,1256,2533,3049,2137,907,10639,861,878,1108,1107,1282,1281,1067,556,172,8314,4,7,48,142,359,701,817,580,207,2875,0,0,6,3,24,39,98,294,415,877,24,50,140,258,563,1044,1219,743,249,4286,12,20,31,72,202,529,846,773,477,2967
RA53,9,16,65,159,326,721,853,430,98,2669,528,273,479,507,382,402,267,105,17,2967,3,8,15,45,88,271,390,246,52,1124,0,0,3,0,3,11,28,37,29,121,22,28,70,165,353,615,622,293,54,2229,18,11,19,61,159,439,688,396,98,1880,10,9,29,29,47,67,99,65,17,360,20,5,10,14,47,152,240,134,38,662,126,237,377,422,448,423,264,75,13,2390,0,0,0,15,25,70,135,84,16,345,316,142,208,267,372,432,405,157,38,2347,7639,3207,4960,5343,4373,3495,1937,526,81,31558,1623,1048,1858,2043,1952,1686,865,341,69,11482,10205,4887,7909,8761,8050,7605,5218,2024,398,55065,5,18,90,193,432,856,1111,528,166,3400,356,290,575,569,516,483,419,141,36,3381,8,5,20,89,166,253,290,170,30,1036,0,0,0,0,5,6,33,53,65,164,13,26,75,113,266,374,436,190,65,1557,20,15,26,35,104,215,293,196,86,995
RA54,6,24,76,173,401,806,1038,361,48,2918,269,219,557,606,445,402,337,85,8,2925,0,14,26,52,123,311,485,191,27,1222,0,0,5,0,8,13,24,29,17,95,8,37,94,250,522,743,697,246,32,2621,21,22,40,82,268,605,785,341,40,2200,9,3,19,32,64,87,98,67,6,381,10,8,14,22,77,159,284,133,9,718,60,144,392,460,417,410,291,58,0,2232,0,0,6,12,39,53,113,55,11,285,187,90,227,330,412,538,447,110,18,2363,5138,3257,7442,6820,6052,4486,2337,516,47,36097,1241,1491,4597,4497,4306,3076,1074,268,36,20578,6907,5239,13299,12990,12458,10451,6278,1721,192,69531,3,18,59,130,327,825,1133,371,52,2918,166,218,448,392,408,504,438,85,9,2666,0,6,18,61,98,260,300,93,17,847,0,0,5,3,4,16,28,44,31,127,5,38,63,181,330,466,397,145,33,1661,21,22,32,60,127,243,298,145,25,979
RA55,0,0,5,10,26,25,13,4,0,83,0,0,17,34,19,17,5,0,0,96,0,0,0,0,5,12,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8,4,4,0,34,0,0,0,0,5,13,13,3,0,40,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,13,0,0,9,21,9,6,0,3,0,57,0,0,0,0,0,0,0,0,0,5,0,0,3,9,21,11,0,3,0,48,0,58,202,419,365,180,32,0,0,1267,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,0,0,5,0,0,5,13,0,0,27,0,3,5,0,4,0,3,0,0,21,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
