RA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
RA50,129,706,85,250,41,11,1230,29,1144,147,178,31,12,1542,430,7269,613,1496,251,76,10137,1407,3378,1388,2213,368,74,8829,2665,1303,384,2641,332,53,7367,9483,1797,564,5356,1117,64,18375,29194,1295,382,12846,1530,147,45400,45990,564,290,15166,1561,167,63737,20263,97,63,5386,440,43,26294,7294,18,11,1804,120,15,9262,3191,21,15,805,66,7,4116,1687,19,5,446,50,0,2211,944,12,5,231,27,5,1222,1545,10,0,471,91,12,2134,1825,1148,306,2507,744,491,7019,126086,18786,4262,51792,6775,1180,208881
RA51,14,47,5,55,30,0,158,5,88,18,38,30,0,190,37,742,76,242,99,12,1202,134,460,204,344,121,13,1277,293,204,65,512,114,6,1178,891,257,66,894,180,16,2303,2383,169,42,1641,212,18,4462,3284,56,28,1458,155,15,4995,1064,8,0,346,33,4,1455,253,0,0,126,15,0,394,69,0,0,33,39,0,136,25,6,0,20,11,0,61,4,0,0,14,5,0,27,26,0,0,78,40,0,144,158,133,37,382,249,44,1012,8635,2168,542,6178,1341,119,18983
RA52,10,64,18,91,83,0,268,11,124,19,51,65,3,265,165,786,202,427,219,25,1826,523,525,305,632,272,33,2288,563,262,59,714,222,8,1830,1126,416,101,964,301,17,2925,2278,293,61,1237,281,13,4170,2020,60,19,772,130,9,3008,535,20,8,168,34,6,766,176,8,0,49,20,0,250,38,4,0,12,8,0,68,15,0,0,15,9,0,34,4,0,0,12,5,0,21,13,0,0,47,40,0,99,151,166,48,386,452,32,1235,7638,2720,835,5563,2141,153,19056
RA53,57,79,28,39,1036,5,1242,16,94,18,19,215,3,371,32,462,97,150,735,8,1494,107,374,82,226,382,6,1183,104,246,25,206,270,7,859,181,382,48,240,362,8,1216,392,336,44,309,323,3,1412,660,103,27,293,312,4,1402,651,30,0,143,159,0,978,470,3,0,76,65,0,620,325,7,0,63,57,0,450,229,6,0,50,45,0,332,162,5,0,28,36,0,237,234,9,0,79,146,0,464,225,183,35,237,931,42,1660,3837,2331,410,2159,5087,92,13919
RA54,21,616,461,28,1159,15,2293,6,363,311,19,154,10,865,8,539,255,90,698,11,1596,44,341,123,86,293,14,898,36,171,25,97,203,4,539,103,210,51,109,241,4,720,153,105,53,125,239,0,686,254,50,18,150,191,9,664,175,13,5,91,70,0,358,110,0,3,43,36,0,187,36,3,0,31,17,0,94,21,0,0,22,15,0,52,3,0,0,12,16,0,29,36,0,0,87,161,0,296,87,219,132,274,1040,28,1777,1088,2632,1447,1265,4526,93,11044
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
