RA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
RA50,614334,1671436,83311,155861,32604,65641,115913,221499,20301,32688,15501,24564,17585,28536,10139,17352,849,1744,64376,104886,1237,1829,1223,1773,1559,1685,453,920,4474,6212,1049,1878,800154,2005913,71626,..,871773,2005913
RA51,80105,200989,5316,8492,877,1654,6189,10143,746,1153,123,194,42,67,43,68,66,144,1020,1625,751,1242,681,1108,304,411,97,197,1833,2957,335,619,89482,216337,16268,..,105752,216337
RA52,66103,159589,5396,8924,862,1649,6259,10574,659,988,21,29,4,7,0,0,50,86,728,1101,1007,1707,908,1404,420,515,106,184,2445,3816,422,700,75957,175775,15706,..,91663,175775
RA53,26993,71407,3207,6360,878,1765,4082,8124,864,1365,221,329,204,332,196,278,11,20,1492,2321,2720,5546,396,639,273,381,116,264,3504,6841,638,1186,36711,89879,8438,..,45152,89879
RA54,15420,42735,1200,2231,159,280,1352,2518,538,907,9,17,0,0,0,0,8,25,559,950,7546,15186,247,502,530,1061,156,401,8478,17152,1641,2883,27450,66232,6071,..,33514,66232
RA55,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
