RA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
RA50,146590,101785,49966,18494,1053943
RA51,18670,14004,6285,1869,107788
RA52,15255,11273,5019,1641,86981
RA53,8530,5354,1817,346,54061
RA54,11421,6559,1455,146,68151
RA55,465,123,24,0,2853
