RA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
RA50,19014,17493,36512,63291,59417,122706,14451,14365,28808,12201,12079,24281,90079,86028,176105,41034,38222,79259,15146,14935,30078,16039,15757,31795,72301,69006,141311,4864,4594,9452,3892,6594,10481,6125,3563,9694,6742,11930,18670,92,89,180,21708,26773,48481,22314,28609,50928,8879,11747,20628,3712,4658,8374,8526,14329,22855,101,121,220,43539,59466,102999,65372,86364,151735,3125,3406,6533,5238,8185,13423,97,97,193,8463,11688,20150,44825,43254,88079,2696,2595,5293,302757,316430,619184
RA51,1810,1754,3567,6663,6006,12674,1804,1759,3565,1454,1355,2811,9934,9132,19069,5104,4769,9866,1529,1613,3142,1412,1452,2863,8042,7841,15885,342,322,664,162,456,617,865,477,1341,559,1331,1892,20,7,26,1946,2594,4540,302,701,999,183,593,775,88,226,314,421,1219,1638,0,3,7,1004,2737,3736,2950,5342,8290,231,256,491,379,693,1073,13,14,22,623,963,1587,10408,6822,17231,302,192,493,34070,32056,66125
RA52,1477,1393,2869,5216,4765,9978,1279,1297,2579,808,866,1670,7319,6937,14258,3917,3677,7595,1073,1166,2241,761,872,1630,5768,5721,11486,270,292,562,147,283,428,674,409,1086,556,1257,1813,9,4,15,1663,2245,3910,197,344,534,178,371,553,75,160,234,362,956,1321,5,3,11,816,1829,2646,2481,4081,6567,166,162,327,313,502,814,14,7,23,491,671,1164,10089,8123,18209,265,154,419,27883,27088,54975
RA53,789,767,1551,3447,3328,6772,584,502,1079,156,136,293,4190,3973,8159,1925,1841,3771,349,362,714,147,142,294,2429,2352,4784,106,102,205,66,80,144,239,173,413,355,682,1041,11,8,17,778,1041,1821,59,190,241,71,216,286,22,81,97,242,545,791,0,4,6,394,1032,1425,1174,2078,3251,78,79,156,139,255,400,3,3,3,218,345,563,10106,6712,16815,224,152,379,19124,16373,35499
RA54,509,495,1002,2285,2046,4335,412,398,811,235,226,469,2940,2678,5617,974,933,1908,135,134,271,131,154,283,1235,1216,2455,49,28,83,65,68,131,124,82,202,384,349,730,0,0,9,635,528,1155,34,83,121,95,111,207,34,58,93,373,418,793,6,0,6,542,677,1221,1174,1201,2377,69,55,122,116,152,273,7,0,8,191,214,403,19299,7402,26698,490,300,789,25837,13509,39345
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,6,3,9,22,0,21,0,0,0,30,3,32,3,0,3,5,0,5,0,0,0,21,5,27,0,0,0,33,5,36,60,10,69,0,0,0,8,3,7,0,0,0,8,3,7,1252,127,1379,143,16,164,1464,160,1629
