RA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
RA50,41567,75602,32388,20051,49218,8781,927,228534,23601,48927,30585,22223,48234,7638,792,182000,11721,21404,14258,11609,33933,7222,263,100405,4692,5901,3027,2219,19092,5566,78,40577,355979,456489,188266,140849,420872,84013,4920,1651383
RA51,5003,9855,4968,3428,5518,2041,39,30855,3091,6571,4838,4094,6013,1679,26,26320,1452,2650,2058,1905,4025,1174,17,13278,515,660,376,329,1914,661,5,4449,34235,49565,24242,20091,38655,15625,465,182875
RA52,4333,8051,3833,2536,5193,2436,37,26422,2629,5133,3438,3234,5131,2024,41,21632,1235,2071,1510,1619,3504,1253,16,11204,442,530,349,300,1700,581,7,3908,27581,39287,18329,15278,33458,16282,400,150616
RA53,2349,3557,1398,991,2906,2437,45,13690,1293,2132,1241,1026,2573,1445,36,9748,484,720,442,407,1085,607,4,3751,99,145,56,62,351,166,0,870,15095,20244,7928,6397,17777,14973,367,82788
RA54,2540,3602,1315,785,4576,3954,66,16848,1609,2469,1199,899,3199,1623,39,11025,376,561,316,289,959,446,0,2952,47,49,25,23,162,64,3,380,15528,19343,7193,5053,25330,25426,781,98652
RA55,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
