RA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
RA50,38986,271016,304662,98541,53269,766473,33676,800154
RA51,2846,26366,33012,13302,8366,83894,5587,89482
RA52,3084,22860,25845,10511,6636,68936,7020,75957
RA53,1659,10701,11805,4565,2962,31691,5024,36711
RA54,3086,11074,5826,1812,1203,23000,4446,27450
RA55,11,0,0,0,0,13,0,13
