RA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
RA50,200,2938,22,3166,56242,2749,63,62219,1382,2047,45,3473,57529,3589,195,64786,30007,3391,801,34200,96937,8780,574,140487,72909,2575,2068,77544,57376,7660,402,142989,43439,3032,1143,47611,73105,5869,376,126960,7864,8665,214,16740,88031,4466,408,109652,1393,13663,58,15116,67373,3497,343,86323,254,3534,21,3812,39609,2970,123,46512,36,182,0,223,13476,1931,28,15655,157481,40021,4370,201871,549684,41508,2510,795570,313,4775,48,5136,51632,2687,71,59523,3470,4015,204,7691,52926,3060,189,63867,52102,6462,2591,61153,82003,7617,486,151252,91469,4665,5218,101353,44424,6424,247,152450,42097,8344,1909,52353,77757,4960,265,135335,3532,24624,300,28453,85986,3926,517,118888,964,23619,137,24719,66766,3748,450,95676,225,4296,32,4552,45272,3932,140,53892,35,251,0,282,21124,3472,50,24925,194197,81059,10436,285686,527895,39817,2408,855812,512,7715,74,8297,107872,5434,134,121742,4854,6063,244,11165,110461,6646,383,128653,82108,9849,3391,95355,178935,16391,1062,291735,164380,7240,7286,178899,101803,14088,648,295438,85539,11373,3051,99961,150869,10830,637,262294
RA51,28,312,3,336,6026,546,4,6918,253,172,8,431,4436,741,76,5683,3259,306,110,3677,6553,1994,91,12309,6791,267,286,7347,4562,1859,52,13818,4296,432,136,4863,8507,1532,26,14927,770,1202,23,2001,11770,1163,19,14955,129,1374,9,1510,10740,884,14,13143,19,249,3,273,5695,524,10,6505,4,12,0,13,1503,252,0,1771,15554,4322,575,20450,59793,9497,285,90027,32,563,0,601,5423,480,9,6510,498,311,30,844,3543,349,13,4751,5449,536,393,6376,5059,818,62,12316,8957,496,716,10160,3791,820,24,14798,4308,1200,233,5741,9321,874,18,15950,308,3219,33,3560,11492,831,25,15903,80,2264,12,2359,10049,750,15,13175,32,306,4,334,5845,582,8,6772,3,21,4,27,2265,380,5,2675,19672,8906,1426,30005,56786,5884,173,92852,59,871,6,939,11446,1032,15,13422,754,482,38,1274,7983,1091,88,10434,8708,843,501,10046,11613,2815,150,24621,15748,762,1000,17505,8359,2680,76,28619,8605,1632,373,10608,17824,2407,40,30873
RA52,18,249,3,276,4607,601,4,5490,211,155,8,378,3707,583,39,4710,2963,250,93,3304,5910,1531,97,10852,5037,213,189,5440,4021,1538,41,11043,3040,315,97,3453,7273,1438,15,12179,657,840,22,1517,10514,1340,19,13394,97,830,0,933,9106,1060,17,11114,25,156,0,183,4778,589,13,5554,3,8,0,9,1413,231,3,1657,12054,3022,416,15484,51338,8913,253,75992,41,455,10,506,3976,534,4,5021,529,287,34,855,2904,441,14,4211,4384,433,341,5155,4295,1049,47,10543,6305,400,474,7189,2973,1096,16,11277,2706,930,147,3790,7297,1028,16,12133,282,2069,27,2378,9599,1032,18,13031,54,1411,5,1471,8120,906,20,10520,22,218,0,241,4783,617,6,5648,0,17,0,15,1886,339,0,2247,14334,6223,1041,21600,45834,7044,149,74624,58,704,9,778,8588,1137,8,10509,746,444,40,1231,6612,1019,55,8928,7344,683,435,8456,10209,2577,145,21390,11345,618,665,12627,6994,2638,59,22315,5746,1250,244,7241,14573,2470,27,24313
RA53,22,100,0,129,1817,397,0,2345,112,86,9,206,1799,539,23,2567,1765,172,59,1990,4136,1783,85,7997,3632,154,118,3907,2944,1911,35,8801,1706,194,56,1958,4315,1778,21,8077,263,426,0,686,5377,1539,32,7635,39,349,0,390,4041,792,18,5235,6,68,0,81,1626,323,4,2027,0,0,0,0,329,72,0,398,7549,1560,239,9354,26381,9130,219,45077,24,207,4,229,1432,352,0,2014,214,146,18,378,1487,401,22,2288,2513,293,195,2998,3248,1204,72,7520,3573,232,305,4114,1932,1026,12,7080,1225,397,69,1685,3447,901,10,6044,95,913,3,1014,4162,862,14,6056,13,542,4,556,3309,620,18,4507,6,98,0,106,1350,268,0,1723,0,3,0,4,380,89,0,472,7664,2828,596,11089,20748,5718,149,37710,46,306,6,360,3255,746,6,4357,326,232,24,581,3288,937,47,4852,4279,464,254,4991,7390,2980,156,15517,7208,393,427,8018,4873,2939,45,15879,2927,591,126,3649,7762,2682,30,14121
RA54,23,191,3,222,1114,377,0,1707,165,172,28,361,2063,1107,65,3595,2092,325,145,2564,6273,4461,181,13476,3840,277,220,4341,4283,4367,97,13093,1973,331,86,2396,5912,4152,66,12527,296,460,23,776,6750,2921,42,10491,42,322,6,366,4902,1006,22,6303,5,42,0,45,1434,240,0,1720,0,0,0,8,155,28,0,193,8432,2120,517,11078,32894,18652,478,63107,54,256,23,331,905,305,6,1539,276,224,55,555,1524,628,70,2774,1674,360,251,2278,3521,1621,154,7569,2171,310,257,2738,1840,1105,19,5699,647,470,86,1202,3124,1139,12,5473,73,663,18,753,4573,1008,23,6352,20,426,14,451,3680,573,16,4722,0,52,3,50,982,193,0,1231,0,6,3,9,133,40,4,185,4919,2759,689,8370,20274,6605,301,35550,77,444,27,555,2016,677,6,3249,441,397,75,915,3590,1730,142,6373,3764,681,396,4841,9797,6080,332,21048,6009,591,474,7075,6123,5473,119,18791,2628,803,170,3599,9035,5286,77,18000
RA55,0,0,0,0,8,7,0,14,0,0,0,0,48,28,0,81,35,3,0,37,198,192,24,459,152,0,6,161,333,413,37,945,101,10,4,115,351,376,53,896,9,10,0,21,237,196,24,473,0,5,0,5,73,40,0,119,0,0,0,7,7,0,0,15,0,0,0,0,0,0,0,0,300,30,9,347,1254,1251,143,3002,0,0,0,0,5,3,0,8,0,0,0,0,23,15,0,37,4,3,0,8,52,28,3,94,8,0,0,4,23,20,7,55,0,0,0,3,34,23,0,57,0,0,0,0,55,29,3,86,0,11,0,11,36,11,0,61,0,4,0,4,6,5,0,17,0,0,0,0,0,0,4,3,5,21,0,26,233,123,16,405,0,0,0,0,8,10,0,19,0,4,0,4,75,43,0,121,39,10,0,52,246,224,33,549,154,0,6,165,359,429,37,999,104,9,4,110,387,391,61,951
