RA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
RA50,11398,33285,509,45197,174021,8391,927,228534,2358,37279,196,39829,134139,7246,792,182000,478,7827,55,8356,84881,6902,263,100405,69,430,0,500,34605,5400,78,40577,351684,121071,14802,487558,1077580,81323,4920,1651383
RA51,1085,4419,53,5558,23272,1992,39,30855,214,3638,19,3870,20790,1630,26,26320,54,552,8,609,11545,1103,17,13278,6,33,0,42,3764,637,5,4449,35225,13234,2000,50453,116583,15380,465,182875
RA52,943,2906,53,3895,20116,2377,37,26422,154,2239,10,2404,17224,1963,41,21632,48,376,0,426,9556,1209,16,11204,4,20,0,29,3303,571,7,3908,26393,9237,1462,37087,97175,15959,400,150616
RA53,359,1341,8,1706,9539,2408,45,13690,49,897,4,948,7351,1407,36,9748,15,162,0,182,2971,594,4,3751,4,8,0,8,707,153,0,870,15213,4393,834,20443,47129,14845,367,82788
RA54,372,1125,34,1522,11322,3930,66,16848,61,749,20,823,8582,1581,39,11025,6,91,3,101,2415,431,0,2952,3,12,3,15,291,66,3,380,13359,4884,1210,19448,53172,25257,781,98652
RA55,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
