UCL_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
UCL521017,6,13,34,38,17,11,8,5,0,129,0,0,3,4,4,6,0,0,0,21,0,0,3,7,9,19,11,0,0,60,0,0,0,0,5,5,0,0,0,12,0,0,0,0,0,0,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,4,6,12,9,9,4,0,0,52,9,21,51,59,38,49,29,15,0,280,4,21,44,37,9,13,3,0,0,133,0,0,3,0,3,0,0,0,0,11,0,0,0,7,13,17,14,10,5,69,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,3,4,4,0,33,4,27,53,50,33,34,28,22,15,253,6,36,77,72,28,20,9,6,0,265,0,0,7,4,8,8,6,3,0,35,0,3,6,14,15,35,26,12,11,121,0,0,0,0,5,5,0,0,0,13
UCL521018,0,6,19,10,16,5,9,0,0,70,4,4,9,4,4,0,0,0,0,22,5,0,3,13,14,16,15,4,0,76,0,0,0,0,3,3,3,4,0,17,0,0,0,0,0,0,4,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,12,12,16,35,28,43,22,32,13,9,205,0,16,22,26,20,19,8,0,0,108,3,0,0,5,4,9,4,3,0,23,0,0,4,3,9,10,8,13,0,58,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,4,17,27,37,35,36,26,23,4,206,0,20,41,43,35,20,14,6,0,179,4,4,7,3,8,9,4,0,0,48,5,4,5,14,24,30,23,17,0,127,0,0,0,0,3,7,9,6,0,22
UCL521019,5,9,15,17,9,8,12,8,0,81,0,0,0,4,4,9,7,7,0,28,0,3,3,11,19,30,30,10,0,104,0,0,0,0,6,0,6,0,0,21,0,0,0,0,0,0,9,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,15,12,9,0,53,5,14,27,41,44,65,77,37,0,305,0,8,29,19,19,19,13,5,0,110,0,0,0,4,3,10,6,0,0,34,0,0,9,8,15,24,19,8,0,76,0,0,0,3,0,3,3,0,0,17,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,3,4,4,12,8,10,8,3,5,62,8,20,42,39,45,65,55,21,3,310,3,18,44,37,28,25,26,12,0,196,0,3,3,5,13,12,13,9,0,62,0,3,7,16,30,57,50,13,0,183,0,0,0,6,3,10,14,3,3,35
UCL521020,4,12,6,11,28,12,27,11,0,112,3,0,0,3,7,8,11,0,0,33,3,0,10,7,24,38,28,9,0,123,0,0,4,0,3,3,7,0,0,18,0,0,5,0,0,4,6,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,3,6,23,13,10,17,28,75,69,75,31,5,331,8,11,9,31,26,22,18,5,0,123,0,0,12,5,8,7,0,0,0,38,3,4,4,3,18,19,32,6,0,95,0,0,0,0,0,5,5,0,0,19,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,14,10,19,35,39,49,57,71,20,5,300,13,18,19,40,55,34,43,16,0,232,3,0,17,11,15,19,10,0,0,73,7,5,10,20,38,60,62,16,5,217,0,0,0,0,3,9,14,0,0,30
UCL521021,3,10,13,38,24,17,13,17,0,124,0,3,0,7,9,3,8,3,0,31,0,0,14,13,15,30,26,7,0,108,0,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,3,5,4,14,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,3,4,3,0,36,5,14,36,66,46,61,55,36,4,323,8,13,32,46,25,21,15,11,0,165,0,5,3,5,5,8,6,0,0,29,3,0,11,8,13,22,27,0,3,95,0,0,0,0,0,5,3,7,3,14,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,9,4,0,23,10,14,54,63,47,55,55,29,5,336,8,22,47,82,44,34,26,29,0,288,0,5,7,16,14,11,12,4,0,64,7,0,24,22,27,55,52,10,3,204,0,0,0,0,0,5,8,9,3,29
UCL521022,3,12,30,25,47,27,28,0,0,167,0,0,4,5,3,9,3,0,0,23,3,0,3,3,8,19,14,0,0,49,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,19,5,9,0,0,41,12,14,34,42,75,54,50,0,0,286,0,6,26,32,58,48,22,0,6,201,0,0,5,6,0,4,0,0,0,19,0,0,0,5,8,4,7,0,0,22,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,6,3,9,0,0,34,5,8,33,48,76,59,40,10,4,278,5,20,53,61,100,72,43,4,6,369,0,0,6,9,11,11,9,0,0,38,3,0,3,9,16,24,22,0,0,67,0,0,0,0,0,0,3,0,0,10
UCL521023,0,10,18,24,18,10,10,0,0,93,0,0,0,4,5,5,0,0,0,14,3,0,6,4,9,22,20,6,0,71,0,0,0,0,0,3,3,5,0,9,0,0,0,0,0,3,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,7,0,0,27,7,13,30,40,37,48,39,13,4,222,3,8,21,31,14,11,4,6,0,96,0,0,5,0,0,0,0,0,0,5,0,0,4,5,5,18,17,3,0,56,0,0,0,4,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,7,8,0,0,25,4,8,44,43,24,34,32,9,7,206,9,16,42,58,30,18,11,5,3,189,0,0,9,3,5,7,0,0,0,20,3,3,13,8,18,39,36,3,0,126,0,0,0,3,0,4,0,5,0,19
UCL521024,6,16,54,29,17,13,12,0,0,145,9,7,8,14,13,8,3,0,0,56,8,11,31,29,24,22,11,6,0,140,0,4,3,7,7,0,0,0,0,25,8,0,0,11,7,10,11,8,0,54,0,0,0,0,3,0,3,5,0,12,7,7,18,22,25,15,5,6,3,101,42,52,116,106,95,63,37,22,3,538,7,23,58,37,28,21,8,3,0,182,0,4,16,21,7,11,0,0,0,66,13,12,33,46,26,22,6,0,0,160,3,6,16,6,14,7,4,0,0,45,4,3,3,8,8,8,12,0,0,50,0,0,0,3,0,3,0,5,0,9,6,9,24,20,15,12,16,7,4,102,41,60,154,134,99,76,42,12,0,612,12,42,109,65,49,34,18,3,0,332,16,14,29,30,16,15,4,0,0,123,19,23,65,77,51,42,19,4,0,301,9,9,16,16,21,4,3,0,0,71
UCL521025,0,7,29,31,22,19,13,3,0,125,0,0,3,5,7,10,0,0,0,30,3,0,9,4,15,19,17,7,4,89,0,0,0,0,4,3,0,0,0,13,0,0,0,0,0,0,5,3,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,9,6,0,0,25,3,11,51,46,56,62,44,17,9,295,4,11,41,35,21,17,12,6,0,160,0,5,7,4,8,8,4,0,0,32,0,3,15,7,9,9,13,13,0,67,0,0,0,0,0,5,7,5,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,5,9,0,26,3,16,68,45,51,46,46,33,9,314,4,15,74,66,46,31,31,12,5,282,0,5,14,5,15,15,5,0,0,62,3,3,23,19,29,32,33,19,8,157,0,0,0,0,4,8,8,7,0,30
UCL521026,0,7,13,22,34,19,11,4,5,117,0,4,0,4,10,5,6,4,0,34,0,3,13,9,20,18,10,0,0,83,0,0,0,0,7,0,6,0,0,10,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,20,7,14,23,42,73,54,32,17,3,267,11,14,20,37,44,23,10,13,0,175,0,4,7,5,13,8,0,0,0,47,5,0,7,8,20,17,7,3,0,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,9,0,3,3,0,20,17,21,34,59,83,54,21,21,0,313,6,25,32,57,77,43,16,18,5,289,7,6,8,9,22,17,6,9,0,81,4,3,19,21,43,35,19,9,0,147,0,0,0,4,8,3,5,0,0,15
