UCL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL501001,668,1242,5462,10990,2318,18680,2504,12527,809,55204,3714,13065,14980,19851,9749,14762,5867,11357,1600,94947,20644,65676,38935,27900,25902,13672,15379,17817,4140,230057,33947,68423,35378,23944,29004,10795,15525,15229,3869,236108,33365,51844,28790,21589,29310,11061,14661,14711,3226,208557,22015,34109,20285,15397,24182,9241,12769,12479,2150,152624,5791,10430,4787,3470,6755,2996,3373,3851,720,42173,783,1269,361,230,658,355,253,509,262,4679,43,69,16,8,44,26,9,31,87,336,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
UCL511001,18,26,305,404,103,846,99,620,42,2450,105,221,642,473,257,328,257,506,43,2821,456,1209,1581,738,691,512,624,868,106,6793,773,1487,1497,852,868,443,783,831,138,7675,860,1377,1299,934,1004,498,818,763,124,7685,613,1028,925,664,839,395,761,643,67,5932,166,304,193,142,205,93,192,161,28,1487,36,25,3,6,12,12,15,19,5,136,3,0,0,3,0,3,0,0,4,12,3023,5683,6448,4208,3979,3131,3555,4415,553,34998
UCL512001,17,18,156,196,45,340,23,259,22,1065,42,88,262,202,72,139,58,191,17,1070,170,460,552,317,237,211,173,288,33,2444,305,537,409,378,284,197,168,315,35,2639,395,613,394,471,347,217,217,329,42,3030,331,508,293,402,375,200,233,281,34,2660,162,136,86,80,109,54,73,105,10,812,21,12,8,7,4,9,7,14,8,96,8,0,0,0,0,0,0,4,4,14,1446,2383,2162,2050,1475,1383,955,1782,189,13823
UCL512002,6,8,119,221,18,355,25,191,11,960,38,57,223,136,45,105,44,165,7,821,184,317,498,256,150,142,126,277,29,1978,307,497,513,329,283,166,187,276,47,2600,364,553,459,361,354,216,260,298,35,2909,279,357,296,276,315,191,223,290,34,2258,98,95,76,65,89,66,75,76,16,653,13,10,8,3,9,7,5,9,3,71,0,0,0,0,0,0,0,0,3,5,1296,1895,2182,1643,1266,1250,948,1581,190,12258
UCL512003,7,21,171,194,32,368,43,253,9,1105,53,115,293,230,110,175,72,179,13,1240,180,538,581,367,279,200,222,316,39,2717,335,630,496,376,359,194,219,296,29,2940,378,643,432,432,409,214,344,305,52,3213,316,448,360,332,341,184,347,285,41,2653,120,128,90,86,112,47,81,78,15,766,22,19,13,4,5,6,4,13,7,97,4,0,0,0,0,0,0,0,7,14,1423,2536,2445,2018,1650,1392,1328,1732,217,14735
UCL512004,9,14,210,112,43,257,56,165,22,883,26,195,398,141,140,121,206,157,22,1417,204,686,912,309,388,172,551,270,46,3532,411,550,712,334,354,140,519,209,57,3289,356,413,615,268,376,143,564,219,57,3011,288,298,432,201,296,135,475,244,42,2403,78,68,89,41,77,25,134,68,15,582,5,9,4,3,8,0,3,12,5,45,0,0,0,0,0,0,0,0,0,0,1376,2233,3366,1416,1681,990,2499,1341,267,15164
UCL513001,0,11,32,69,32,126,6,83,14,377,17,60,80,100,52,46,19,56,10,439,173,508,236,289,200,85,70,147,32,1735,280,491,236,233,242,76,82,130,44,1809,254,312,204,194,220,84,72,101,31,1473,183,230,100,120,126,76,72,80,18,1003,52,62,33,28,48,30,27,28,6,315,11,4,0,0,4,4,5,9,0,31,0,0,0,0,0,0,0,0,0,0,977,1675,918,1031,916,519,353,630,158,7176
UCL513002,3,0,57,36,12,100,18,74,10,316,14,38,109,45,43,48,49,33,11,388,83,162,184,85,96,79,88,108,22,904,106,149,154,98,108,76,105,103,21,914,172,143,117,96,126,69,124,96,20,973,109,127,117,88,101,53,144,112,22,872,42,37,20,19,40,9,34,27,3,235,13,0,0,0,3,0,0,0,5,39,4,0,0,0,0,0,0,0,0,5,545,662,756,477,537,439,568,560,107,4639
UCL513003,6,5,99,56,35,157,17,106,9,489,28,58,182,77,77,49,57,79,6,619,208,450,638,183,270,108,189,240,37,2315,344,413,667,233,313,83,226,187,70,2536,248,266,393,176,215,83,208,144,54,1792,126,131,192,87,102,47,141,99,18,942,24,29,31,12,12,5,40,18,3,168,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,977,1348,2203,833,1020,530,875,879,198,8866
UCL513004,4,6,78,50,24,90,28,75,19,377,7,60,135,46,57,45,64,81,15,508,148,333,617,177,232,96,283,190,54,2133,226,297,553,192,242,78,253,173,52,2068,167,167,322,95,155,52,266,124,37,1379,129,120,191,62,118,51,214,97,24,1002,24,22,32,12,28,10,25,19,0,174,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,705,999,1915,644,851,421,1133,763,202,7643
