UCL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL501001,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
UCL511001,3023,5683,6448,4208,3979,3131,3555,4415,553,34998
UCL512001,1446,2383,2162,2050,1475,1383,955,1782,189,13823
UCL512002,1296,1895,2182,1643,1266,1250,948,1581,190,12258
UCL512003,1423,2536,2445,2018,1650,1392,1328,1732,217,14735
UCL512004,1376,2233,3366,1416,1681,990,2499,1341,267,15164
UCL513001,977,1675,918,1031,916,519,353,630,158,7176
UCL513002,545,662,756,477,537,439,568,560,107,4639
UCL513003,977,1348,2203,833,1020,530,875,879,198,8866
UCL513004,705,999,1915,644,851,421,1133,763,202,7643
UCL513005,444,596,912,685,599,380,504,545,101,4766
UCL514001,151,216,593,325,221,211,434,438,58,2645
UCL514002,494,676,713,394,325,322,139,372,64,3494
UCL514003,482,653,695,512,294,337,243,567,47,3819
UCL514004,277,344,397,344,344,269,248,385,47,2652
UCL515001,70,39,76,44,36,45,23,65,7,402
UCL515002,57,96,121,75,80,41,71,72,10,627
UCL515003,96,148,158,122,88,83,93,112,20,921
UCL515004,93,136,230,125,132,69,145,119,16,1065
UCL515005,86,124,201,142,91,94,141,170,15,1066
UCL515006,208,239,225,210,209,159,146,206,37,1649
UCL515007,119,213,190,114,121,80,75,115,12,1037
UCL515008,82,117,191,48,89,20,70,66,9,692
UCL515009,125,249,175,134,102,84,64,144,13,1094
UCL515010,114,239,97,239,128,49,58,89,18,1028
UCL515011,127,125,187,124,118,79,153,192,17,1128
UCL515012,109,205,208,200,140,91,107,80,19,1160
UCL515013,199,242,300,222,186,121,71,220,39,1596
UCL515014,57,103,33,91,39,20,11,29,5,393
UCL515015,89,86,211,97,88,63,133,383,37,1199
UCL515016,87,108,124,73,78,45,71,100,8,695
UCL515017,79,60,76,55,41,48,45,111,14,529
UCL515018,35,66,166,59,66,44,208,63,17,719
UCL515019,127,174,240,166,159,132,102,424,33,1563
UCL515020,269,444,264,319,266,115,123,219,57,2064
UCL515021,92,160,157,103,89,60,54,83,8,801
UCL515022,196,196,286,226,178,178,193,364,30,1847
UCL515023,124,128,186,130,119,93,139,113,26,1057
UCL515024,69,77,110,75,84,50,82,98,8,648
UCL515025,63,78,94,83,71,62,69,151,24,700
UCL515026,96,111,253,130,154,65,142,148,26,1126
UCL515027,176,266,267,212,154,130,130,238,23,1603
UCL515028,175,229,613,190,194,123,524,202,59,2314
UCL515029,29,35,145,34,44,24,259,57,20,662
UCL515030,101,167,293,191,126,137,219,194,20,1445
UCL515031,136,127,202,115,102,92,113,163,33,1077
UCL515032,80,86,185,74,107,54,92,60,35,775
UCL515033,113,172,351,123,137,62,360,107,34,1466
UCL515034,110,133,243,151,106,80,148,159,17,1137
UCL515035,59,48,87,61,48,39,65,97,14,521
UCL515036,47,67,230,90,81,52,170,137,20,894
UCL515037,69,84,326,76,93,41,179,96,24,981
UCL515038,97,115,148,119,95,68,91,123,15,875
UCL521001,12,29,75,21,27,19,48,35,6,264
UCL521002,31,46,67,49,31,21,34,25,11,322
UCL521003,34,28,40,32,25,22,34,31,5,257
UCL521004,9,42,7,22,9,7,7,4,3,112
UCL521005,47,46,98,36,48,15,119,58,8,484
UCL521006,34,49,78,57,43,28,54,58,8,404
UCL521007,22,21,34,21,15,18,21,39,3,194
UCL521008,19,12,14,30,18,13,24,42,4,170
UCL521009,34,23,34,26,19,7,33,31,3,196
UCL521010,15,22,63,45,25,15,50,47,8,292
UCL521011,19,43,63,30,46,18,39,42,0,306
UCL521012,28,35,44,31,26,20,30,30,3,257
UCL521013,37,48,93,63,66,34,48,42,14,444
UCL521014,29,20,43,29,33,16,77,32,8,289
UCL521015,61,24,45,28,38,28,27,43,7,297
UCL521016,48,33,53,25,30,28,23,50,8,295
UCL521017,72,42,50,21,54,23,34,33,10,335
UCL521018,29,34,49,27,28,20,40,33,3,264
UCL521019,53,41,33,43,38,28,16,47,7,304
UCL521020,34,28,67,30,33,23,40,45,8,300
UCL521021,74,45,54,26,50,23,60,67,5,399
UCL521022,63,110,60,41,28,43,9,41,3,404
UCL521023,41,26,54,11,31,13,28,27,4,236
UCL521024,56,82,35,91,35,12,15,31,25,377
UCL521025,47,58,67,33,28,20,57,27,12,350
UCL521026,46,56,83,44,47,20,51,34,4,378
UCL521027,9,21,51,17,24,16,95,22,9,261
UCL521028,30,23,52,44,21,26,31,63,9,297
UCL521029,59,35,63,35,33,23,51,95,3,395
UCL521030,44,25,43,26,19,13,34,120,19,341
