UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL501001,3064,2152,1694,407,708,151,8173,718,341,369,85,158,20,1688,1262,673,708,177,381,57,3255,1084,690,650,181,338,41,2980,1838,1337,1027,370,652,82,5303,2581,2246,1473,665,889,113,7965,3788,4235,2050,930,1208,166,12384,5139,6719,2580,1399,1491,249,17569,5997,9049,2569,1537,1368,221,20750,7142,11815,3240,1714,1365,222,25502,5466,10331,2519,1191,931,188,20633,8399,16064,4904,1730,1343,272,32711,3714,7844,2012,657,485,102,14820,2671,6234,1642,505,322,63,11438,5012,10843,3343,838,666,111,20814,6204,13484,4700,880,802,124,26198,2605,5523,2025,383,310,47,10890,2178,5149,1979,248,280,41,9876,3891,5601,2828,804,1011,202,14337,72749,120333,42310,14714,14712,2475,267291
UCL511001,115,53,32,17,18,0,232,42,11,12,0,5,0,77,77,32,21,8,13,4,145,40,40,21,13,24,3,133,89,60,45,21,30,0,244,132,130,51,46,40,0,417,230,244,70,78,56,10,683,283,368,119,106,66,11,955,275,531,131,85,56,16,1092,337,613,135,88,54,4,1234,197,375,95,40,22,6,736,288,547,175,56,41,3,1123,99,227,55,21,10,0,411,61,118,33,17,3,0,235,155,265,96,25,23,0,568,157,230,85,16,12,0,501,66,76,45,11,6,0,197,32,54,26,5,4,0,115,150,183,61,40,26,11,466,2814,4167,1309,682,513,74,9560
UCL512001,54,16,10,9,7,0,98,9,4,6,6,4,0,26,50,6,10,6,7,6,86,18,9,3,7,5,0,43,39,26,14,7,14,3,95,67,56,21,17,14,0,172,83,93,34,27,15,0,250,123,152,44,38,21,4,387,109,197,30,25,17,3,381,110,175,50,23,17,7,385,51,135,35,13,3,0,236,100,152,56,14,13,0,332,30,61,23,0,0,0,117,22,31,13,4,6,0,69,33,70,25,3,0,0,135,43,65,20,10,5,0,135,16,23,10,6,4,0,47,9,10,4,3,0,0,33,56,48,21,3,17,0,155,1029,1332,429,219,162,20,3184
UCL512002,41,21,13,3,4,0,74,17,4,3,6,0,0,23,34,12,7,0,10,0,63,13,8,9,3,3,0,41,38,18,11,8,8,0,88,48,32,12,14,11,4,120,63,64,22,4,18,0,167,79,106,31,26,18,0,261,92,137,39,34,12,0,314,123,156,46,36,19,0,377,78,138,36,17,14,3,281,110,195,52,20,13,0,392,41,83,29,10,9,0,176,17,55,3,4,0,0,83,57,98,35,9,3,0,203,54,85,35,6,4,0,186,24,22,11,0,0,0,66,14,14,8,4,0,0,39,58,47,20,14,8,5,144,991,1297,431,212,152,14,3098
UCL512003,46,19,13,3,15,6,89,16,0,6,0,3,3,27,29,12,14,3,0,0,57,20,11,9,0,12,0,54,53,38,25,22,13,0,143,73,61,30,19,18,5,205,105,89,37,34,16,0,286,115,172,39,32,36,0,396,90,158,38,30,23,0,337,106,155,34,28,19,0,350,64,116,23,13,12,6,232,93,181,55,28,12,0,372,22,54,20,3,4,4,104,9,32,10,0,3,0,52,44,74,39,3,3,0,169,65,89,42,10,0,0,204,28,23,9,0,4,0,64,19,20,14,0,0,0,47,58,71,24,16,19,4,185,1043,1382,467,251,211,28,3377
UCL512004,23,16,11,4,5,0,67,4,9,0,0,0,0,16,16,7,5,3,0,0,34,19,15,5,6,0,0,48,35,40,13,12,18,0,125,71,74,10,20,7,5,187,88,111,33,26,19,0,267,109,150,41,31,18,3,347,107,188,49,17,12,3,375,112,173,50,19,14,0,366,68,129,26,14,9,3,245,99,194,48,16,15,3,386,38,83,13,0,0,3,136,28,40,9,5,0,0,85,53,97,34,7,6,0,199,77,94,37,3,3,0,217,23,32,14,0,3,0,67,16,14,17,0,0,0,42,58,71,29,3,4,5,180,1044,1539,438,200,151,28,3391
UCL513001,3,9,6,0,0,0,18,0,3,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,5,7,5,0,0,0,0,18,13,14,6,0,0,0,32,20,15,3,9,0,0,40,17,13,3,5,0,0,48,29,17,9,0,0,0,60,28,37,5,8,4,0,79,19,39,9,9,4,0,73,34,65,17,10,3,0,129,13,36,7,3,4,0,69,20,35,3,4,0,0,59,25,66,13,8,7,0,116,53,110,26,6,4,0,204,25,31,6,3,0,0,65,9,16,4,3,0,3,34,22,22,3,6,5,0,62,338,541,105,79,37,10,1112
UCL513002,9,0,6,0,4,0,29,8,0,0,0,0,0,7,3,10,0,0,0,0,16,5,7,4,0,0,0,18,11,14,6,0,0,0,41,23,24,9,5,8,0,62,31,19,12,8,4,3,80,40,44,14,9,5,0,114,28,42,14,6,4,0,92,27,51,10,5,0,0,96,23,49,14,3,4,0,91,41,44,13,0,7,0,100,5,19,3,0,3,0,35,9,8,8,0,0,0,23,18,30,9,6,0,0,56,13,28,6,0,0,0,51,4,3,3,0,0,0,12,0,0,4,0,0,0,11,22,17,12,0,3,3,49,319,414,133,55,46,6,976
UCL513003,9,4,0,4,0,0,21,8,3,0,0,0,0,10,0,5,0,0,0,0,10,0,4,0,0,0,0,10,14,5,0,0,6,0,24,7,8,0,0,0,0,21,22,33,4,0,0,0,59,35,36,6,5,0,0,75,36,58,5,4,0,0,101,28,63,8,3,0,0,99,21,45,7,7,0,0,83,36,67,12,3,5,4,124,20,42,4,0,0,0,68,13,22,5,0,0,0,38,16,47,7,0,0,0,76,31,60,16,7,0,0,111,22,41,7,0,0,0,70,14,16,5,0,0,0,42,17,33,8,3,0,0,59,349,585,105,38,22,8,1106
UCL513004,5,5,0,0,0,0,9,0,5,0,0,0,0,8,8,9,0,0,0,0,19,5,7,0,0,0,0,13,11,26,6,0,0,0,39,16,33,0,7,6,0,59,17,29,12,4,0,0,61,26,27,7,4,5,0,71,21,28,8,0,0,0,54,22,24,4,3,0,0,51,10,15,3,4,6,0,41,20,21,6,6,0,4,51,7,0,3,0,0,0,8,8,7,0,0,0,0,17,10,13,5,0,0,0,26,25,15,10,5,3,0,51,15,4,0,6,0,0,28,8,12,5,0,3,0,24,19,20,8,5,0,0,47,240,309,61,45,20,10,691
