UCL_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
UCL501001,7,5,52,399,2073,1784,9127,10262,1714,1241,1173,1478,530,165,488,30488,191,93,169,365,2207,651,560,503,60,61,62,54,29,5,102,5122,67,139,440,1451,2368,2302,4579,1775,345,381,374,412,310,51,243,15238,19,81,410,1563,3507,5003,15977,6592,876,715,842,940,505,257,403,37701,48,79,187,375,821,820,2359,1995,257,248,286,675,298,26,111,8590,0,0,3,17,236,355,664,1159,153,149,202,281,59,15,72,3362,4,4,34,192,734,828,2699,1736,424,337,357,370,197,71,231,8226,2134,6324,34406,27373,28794,18567,43122,22361,2100,1729,1723,1886,1076,389,3848,195840,31,84,431,775,956,1057,1940,1388,284,273,303,406,327,135,210,8594,5,0,25,1632,4595,2709,2795,2128,501,516,433,585,306,71,631,16942,831,1359,6608,7321,11111,14160,32109,18175,4002,3791,4214,5542,2349,535,2144,114247,6264,19616,57731,57939,89018,77705,194159,126662,20172,18296,20361,25422,11797,3346,14657,743151
UCL511001,0,0,0,15,44,60,327,294,48,44,44,46,29,3,23,982,9,4,0,9,36,9,10,13,0,0,0,0,0,0,3,91,3,5,5,9,12,13,42,14,6,4,4,0,4,0,3,116,0,5,20,46,66,117,706,301,20,48,36,44,20,7,21,1433,0,0,3,0,7,5,17,15,8,4,4,0,0,4,0,67,0,0,0,0,0,4,13,38,4,12,22,44,17,0,0,148,0,0,0,3,11,11,62,25,10,12,7,10,3,0,6,161,116,261,1207,785,622,335,828,384,43,19,23,47,26,6,134,4830,0,0,18,44,26,10,40,24,5,0,3,4,0,7,0,185,0,0,0,9,7,19,25,24,4,3,0,6,5,0,5,114,24,38,100,126,143,124,515,284,38,59,39,53,34,15,41,1639,266,670,1636,1384,1590,1168,3836,2448,308,347,341,418,204,75,418,15098
UCL512001,0,0,0,8,31,22,265,125,34,21,25,24,10,3,4,580,9,3,6,0,3,6,4,0,3,0,0,0,0,0,0,36,0,0,3,8,4,5,8,3,0,0,0,4,0,0,0,27,0,6,10,13,21,25,154,67,12,11,13,20,0,0,4,364,0,3,0,0,0,6,3,7,0,0,10,0,0,0,0,28,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,6,49,38,15,0,5,0,3,0,5,138,93,203,794,513,294,165,226,99,10,12,8,16,0,0,87,2525,0,0,9,27,17,14,19,9,4,0,0,7,0,0,0,101,0,0,0,3,0,7,0,7,0,0,3,0,0,0,15,33,13,29,52,38,51,41,152,79,31,13,18,18,9,45,32,627,176,443,1048,750,636,429,1149,622,139,88,113,134,40,61,257,6101
UCL512002,0,0,0,0,14,7,52,35,13,3,3,9,0,0,4,141,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,3,3,7,5,3,3,4,0,0,0,0,0,0,0,32,0,0,4,8,20,44,128,55,0,12,0,10,7,0,0,304,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,28,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,17,0,0,0,0,6,9,27,13,0,0,3,0,0,0,0,69,66,157,671,429,366,155,306,160,18,3,9,23,14,12,77,2454,0,0,9,11,9,11,15,15,0,9,0,4,3,0,0,84,0,0,0,3,3,8,12,24,4,0,0,9,0,0,3,59,16,18,56,43,46,24,98,64,13,18,14,11,10,4,8,446,123,275,852,686,665,433,966,636,80,79,64,100,45,26,133,5171
UCL512003,0,0,0,4,34,38,109,152,28,23,17,25,11,5,3,449,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,0,0,10,0,3,7,0,0,0,0,0,0,0,0,37,0,0,13,14,21,21,157,125,7,14,12,10,8,6,3,397,0,0,0,0,0,6,18,6,0,4,0,0,0,0,0,32,0,0,0,0,0,3,6,13,0,0,3,4,0,0,0,35,0,0,0,3,4,13,28,25,15,13,0,3,9,4,6,122,35,101,424,209,107,84,227,115,4,15,3,3,8,0,54,1390,0,0,3,3,6,13,20,12,0,3,6,0,4,0,5,76,0,0,0,3,19,19,12,17,3,4,3,3,5,0,4,96,11,11,54,39,49,50,132,76,10,15,16,15,14,4,14,509,95,232,603,448,416,372,1048,819,120,135,96,97,84,45,120,4729
UCL512004,0,0,0,8,31,36,209,244,30,41,52,68,13,4,14,748,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,4,5,3,5,4,3,0,0,0,0,0,0,0,23,0,0,0,4,10,31,234,117,6,25,25,27,26,4,11,529,0,0,0,4,0,0,17,5,3,0,0,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,18,0,0,0,4,3,20,49,42,18,12,8,11,0,3,3,171,8,34,193,147,83,61,128,92,6,12,19,13,5,8,23,825,0,0,3,5,4,9,11,14,0,0,0,0,0,0,0,52,0,0,0,4,0,0,8,18,6,0,0,10,6,0,0,49,7,13,25,36,54,60,382,242,49,57,88,99,53,34,17,1220,27,96,293,340,474,568,2027,1565,197,235,339,401,171,86,165,6974
UCL513001,0,0,0,0,9,8,61,82,13,4,13,14,4,0,3,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,9,6,13,41,15,0,8,0,0,0,0,0,96,0,0,0,0,0,0,15,7,0,0,4,4,0,0,0,24,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,23,0,0,0,0,3,10,18,17,4,0,3,11,0,0,3,69,0,13,82,65,65,44,121,75,5,6,6,16,6,0,18,518,0,3,0,3,3,4,16,7,0,3,0,5,0,0,0,49,0,0,0,0,0,0,3,6,0,4,5,0,0,3,0,25,0,0,8,27,26,27,92,50,13,28,20,67,30,7,17,408,6,45,132,166,196,181,550,411,61,77,77,193,68,19,79,2257
UCL513002,0,0,0,0,6,5,9,33,4,0,0,10,8,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,3,6,10,64,15,4,3,5,9,0,0,0,116,0,0,0,0,0,0,8,14,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,13,0,3,5,0,6,0,0,0,29,10,42,122,66,55,26,55,17,0,12,0,5,5,0,22,433,0,0,0,6,0,4,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,4,4,0,0,0,0,0,3,3,0,15,0,3,14,5,12,10,27,26,3,5,4,5,10,0,10,132,30,78,163,128,150,122,278,165,23,37,26,54,23,7,42,1328
UCL513003,0,0,0,4,17,14,122,141,32,24,22,18,8,0,10,408,0,0,0,0,9,0,5,4,0,0,0,0,0,0,0,13,0,0,0,3,0,3,11,4,0,0,0,3,0,0,0,26,0,0,0,4,14,27,97,46,0,0,0,11,8,8,0,213,0,0,4,0,4,0,16,12,3,0,0,0,0,0,0,36,0,0,0,0,0,0,6,24,0,0,0,7,0,0,0,32,0,0,0,0,6,8,39,35,8,11,6,14,4,0,4,136,3,8,73,71,77,54,142,72,4,6,7,5,0,0,17,542,0,0,0,0,4,3,12,16,0,0,0,4,0,0,0,36,0,0,0,0,3,0,5,12,4,3,0,3,0,0,0,39,0,3,5,24,28,36,117,102,24,15,27,25,20,5,19,460,7,14,114,181,280,276,1008,823,138,113,117,168,91,33,78,3434
UCL513004,0,0,0,3,14,11,82,182,39,20,34,40,11,0,7,451,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,8,0,0,0,4,19,0,5,0,0,0,11,0,0,0,0,39,0,0,3,5,8,15,104,30,0,3,9,10,8,0,10,194,0,0,0,0,0,3,12,8,4,0,9,7,4,0,0,47,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,6,3,23,38,6,3,6,0,0,0,5,92,0,7,63,52,62,20,80,49,8,5,5,9,6,3,16,392,0,0,0,0,0,5,5,4,0,4,5,0,0,0,0,31,0,0,0,0,0,0,0,11,0,9,0,6,0,0,0,33,0,4,17,15,27,39,148,84,9,21,19,26,7,6,17,430,3,23,106,148,275,219,916,749,120,113,149,197,70,26,86,3195
