UCL_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
UCL501001,86168,109061,31729,6727,42869,38416,8384,18198,125803,8753,97881,774797,48220,1208128,4742,5256,1817,240,2884,2376,425,1091,4725,505,4180,39253,2367,61014,28912,14946,10142,2668,13203,13295,2439,6630,18663,2974,19364,105843,6854,195840,4417,2229,1786,589,2088,2460,412,1030,2752,536,3481,26264,1152,41292,8001,2037,2613,1388,5314,4293,920,1253,3683,1096,5111,28845,1760,51532,1326,998,397,127,1444,715,210,170,1138,172,1719,18210,853,24802,5545,5496,2196,633,8179,3380,899,739,3910,831,8945,93939,3258,126712,901,770,576,118,1597,622,184,139,948,170,2333,40080,767,47457,3139,2332,923,353,5565,2292,476,503,1818,377,3842,74018,1986,91229,1737,1650,752,121,989,713,147,284,2142,168,2122,19804,663,27988,3922,3951,1718,289,3303,1997,411,614,4316,392,5112,52944,2002,73903,62643,39662,22922,6514,44563,32145,6524,12451,44088,7227,56211,499191,21668,741771,1983,903,630,541,1123,1028,279,504,1141,333,1007,5982,82463,93859,150792,149625,55273,13782,88559,71588,15191,31153,171025,16314,155098,1279967,152348,2043762,48480,79781,18372,242
UCL511001,5492,5476,1698,414,2708,2035,462,1038,6476,492,4708,33241,2851,56218,210,230,81,14,130,81,23,59,197,19,137,1461,121,2359,957,424,282,84,447,386,80,234,532,93,541,2284,208,4830,156,51,45,22,91,81,13,40,81,24,107,577,34,1045,130,20,50,27,90,82,19,26,40,19,71,335,31,675,11,5,5,0,17,5,5,4,12,0,9,182,18,245,59,60,19,3,104,36,9,6,39,7,91,1387,52,1769,5,11,3,0,8,4,5,0,3,0,17,518,20,580,29,18,5,0,46,12,10,0,8,0,32,742,24,892,37,31,11,0,24,16,0,8,35,3,40,305,14,462,137,155,56,14,93,69,4,22,153,17,181,1518,58,2207,1736,1004,564,168,1057,771,156,405,1102,188,1233,9308,586,15065,87,39,26,14,43,36,7,17,55,11,38,209,3463,3908,7317,6522,2284,596,3804,2838,629,1461,7631,694,5977,42762,6899,75196,2336,3084,686,22
UCL512001,2549,2391,836,251,1271,1068,188,492,2912,291,2096,13100,1325,23483,67,53,18,5,20,25,6,13,49,4,43,379,47,615,597,227,186,78,268,265,44,126,303,73,350,1001,91,2525,101,33,27,16,53,54,6,15,45,15,60,253,19,531,50,10,19,10,37,37,6,7,20,7,32,133,9,276,0,0,3,0,5,0,0,0,0,0,6,17,4,34,29,22,5,3,46,19,4,4,26,0,52,769,67,1003,0,4,0,0,0,0,0,0,0,0,6,116,20,141,10,7,6,0,18,11,3,0,4,0,7,124,4,170,22,13,8,3,10,12,0,0,25,3,22,134,6,225,41,26,13,4,24,26,3,9,52,3,37,362,24,560,925,401,288,118,482,454,71,186,530,118,620,3286,285,6083,58,16,26,24,30,39,11,11,38,8,22,134,1285,1554,3533,2805,1145,385,1782,1556,270,692,3474,416,2739,16519,2895,31128,971,1336,321,7
UCL512002,2257,1882,761,193,958,884,221,417,2254,229,1753,12124,893,20669,91,52,28,6,23,35,5,17,64,10,53,368,26,658,517,198,180,69,221,224,42,123,254,59,277,1121,85,2454,59,16,29,18,32,33,0,21,35,7,44,278,14,455,23,5,9,8,20,17,0,9,17,3,18,77,4,150,4,0,0,0,0,3,0,0,0,0,3,16,0,36,16,19,4,0,21,15,0,3,15,4,15,314,9,396,0,0,0,0,0,0,0,0,3,0,4,110,6,128,13,4,3,0,15,3,0,0,5,3,15,199,5,253,18,19,7,0,8,5,0,3,18,0,24,118,0,192,37,24,8,3,13,18,4,3,32,4,32,303,10,443,786,343,269,95,364,355,51,180,445,92,480,2911,162,5161,57,21,20,6,21,25,7,14,30,3,18,97,1176,1406,3101,2244,1050,296,1338,1269,285,606,2725,333,2250,15132,2232,27233,810,1023,279,6
UCL512003,2260,2585,842,260,1498,1123,347,546,2744,246,2004,14721,1157,24889,67,64,30,9,41,40,6,18,64,6,45,349,26,619,293,120,102,37,148,130,32,70,160,30,170,639,52,1390,57,26,20,8,27,23,8,15,25,7,21,204,15,345,54,7,16,12,40,32,5,8,20,8,28,104,9,223,0,0,0,0,0,0,0,0,0,0,3,46,0,51,27,49,12,0,51,15,4,0,17,0,53,698,24,892,6,0,4,0,0,0,0,0,0,0,7,91,0,114,6,20,4,0,28,6,0,5,3,0,14,252,10,325,17,14,6,4,14,7,0,0,18,0,21,92,5,168,32,39,16,3,29,15,0,6,49,0,45,403,16,597,563,323,205,78,375,275,63,118,359,58,402,2877,153,4723,46,19,17,12,36,32,5,23,35,14,32,130,2836,3102,2868,2929,1062,345,1908,1421,419,694,3132,316,2436,17724,4148,32717,906,1377,315,0
UCL512004,1253,1543,419,87,846,509,186,271,1560,125,1240,12779,1178,19355,123,178,57,3,135,69,19,32,115,16,118,1629,111,2342,107,51,22,18,72,56,18,33,87,10,88,459,41,825,22,13,7,0,9,12,0,7,17,6,20,179,6,252,14,4,4,3,21,15,4,4,9,4,12,124,10,197,7,0,0,0,0,0,0,0,8,0,4,116,6,134,37,32,4,0,51,12,4,4,14,4,43,945,35,1131,0,7,0,0,0,5,0,0,0,0,0,218,6,235,10,10,4,0,32,7,6,3,3,0,16,472,13,553,9,6,5,0,7,4,4,4,6,0,13,172,9,223,30,43,24,0,46,14,0,0,52,6,59,825,26,1067,351,345,127,28,376,195,54,85,310,42,378,5138,266,6955,31,12,9,0,13,16,8,11,8,0,10,126,2562,2763,1639,1899,554,114,1232,722,245,361,1885,166,1626,18046,4006,29068,816,1115,283,3
UCL513001,403,635,201,31,352,236,99,128,673,46,557,7355,597,10351,18,19,8,0,12,11,0,6,15,0,9,230,13,316,45,35,10,5,20,22,6,13,41,9,41,333,20,518,17,13,9,0,8,6,0,4,16,0,14,203,8,266,8,0,3,0,3,6,0,0,0,0,0,95,5,119,0,0,0,0,0,0,0,0,0,0,0,27,0,29,13,13,5,0,21,14,9,5,4,0,8,316,10,396,6,5,0,0,0,0,3,0,4,0,0,131,0,152,4,0,0,0,3,3,0,0,0,0,3,93,4,111,8,4,6,0,3,0,0,0,7,3,16,136,5,174,4,5,0,6,3,5,0,0,5,0,12,145,5,187,112,95,47,8,71,50,19,29,95,13,113,1713,75,2252,5,18,5,4,14,7,3,6,5,3,8,103,1896,2050,526,745,253,40,436,305,124,164,779,60,674,9171,2566,14660,310,455,131,6
UCL513002,734,805,249,68,417,346,81,168,692,66,512,4851,293,7816,26,26,10,0,9,13,0,0,17,3,14,187,11,281,66,33,22,8,38,41,3,20,44,9,35,218,18,433,24,4,11,0,12,10,0,0,8,0,10,62,8,119,0,0,0,0,3,3,0,0,0,0,6,14,0,31,4,0,0,0,0,0,0,0,0,0,0,7,0,7,10,3,0,0,9,0,0,0,4,0,8,125,0,158,0,0,0,0,0,0,0,0,0,0,4,25,0,27,0,6,0,0,5,5,0,0,0,0,4,44,0,57,0,4,5,0,5,0,0,0,9,0,0,38,0,57,10,3,3,0,12,4,3,0,9,0,8,129,4,170,148,77,50,17,91,72,5,23,99,16,84,845,39,1327,32,23,10,0,13,10,0,10,18,5,10,98,893,1070,913,901,309,82,527,435,93,202,808,85,602,5795,1226,10218,290,450,93,3
UCL513003,337,765,118,12,236,121,31,52,713,20,529,8303,450,11038,25,65,22,0,29,15,0,8,38,0,40,559,33,783,34,39,7,0,29,8,6,3,35,3,22,380,13,542,8,5,3,0,3,0,0,0,13,0,8,162,0,194,5,5,0,0,0,6,0,0,3,0,4,101,3,119,0,0,0,0,0,5,0,0,0,0,3,36,0,47,20,15,8,0,27,3,5,0,6,4,31,629,21,742,0,0,0,0,0,0,0,0,3,0,0,116,6,129,4,6,4,0,17,4,0,0,6,0,16,344,6,399,3,9,0,0,6,0,0,3,6,0,8,100,0,131,12,9,6,0,11,11,0,0,33,0,14,263,11,346,106,161,53,6,123,48,12,18,151,14,142,2686,97,3434,10,6,0,0,3,9,0,0,6,0,6,64,2452,2540,447,936,174,12,361,174,47,73,871,26,673,11057,3005,17013,351,633,127,4
UCL513004,332,800,106,10,323,169,68,73,606,45,536,7051,483,9828,50,65,12,3,33,22,5,14,38,4,37,671,30,912,24,20,8,0,15,10,0,3,31,8,23,268,13,392,6,5,0,0,5,0,0,0,0,5,5,108,0,131,4,0,0,0,8,5,0,0,3,0,0,66,7,87,0,0,0,0,0,0,0,0,0,0,0,41,7,50,12,11,5,0,38,15,9,0,7,0,29,656,16,772,0,0,0,0,0,0,0,0,3,0,7,76,6,93,0,6,0,0,13,0,0,0,0,0,3,258,3,283,3,10,0,0,0,0,0,0,7,0,4,70,4,89,15,16,7,0,15,4,3,0,20,0,29,280,12,375,122,133,35,3,135,54,15,21,117,14,142,2488,91,3191,3,11,4,0,5,6,4,3,7,0,3,98,2137,2277,456,949,141,13,468,231,87,94,729,71,682,9635,2721,15298,300,608,95,0
