UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL501001,..,7315,9178,2456,2057,2295,1577,600,126,25603,..,3875,11707,9247,10433,18079,22926,18514,9799,104574,2070,3094,2560,1441,1324,1633,1488,786,371,14766,181747,113910,141124,143376,127025,111189,89026,48195,17495,973097,..,3346,89034,168678,151899,130741,105465,51620,10796,711576,..,17134,67021,37366,24941,16235,7385,2116,325,172522,..,1739,10520,20563,24385,14112,6192,3659,2427,83585,369346,..,..,..,..,..,..,..,..,369346,..,101843,..,..,..,..,..,..,..,101843,..,61135,33736,9980,6151,3251,694,20,0,114965,..,11421,8929,3201,3208,5615,5954,3547,2066,43942,..,5833,7447,2677,1628,1100,519,176,36,19422,..,15346,23036,7025,5215,5080,3445,1286,269,60708,..,7523,25665,23221,24262,33371,36440,26329,13243,190055,4186,5664,5332,3467,2833,2829,2448,1266,514,28538,373528,230983,270709,276180,244522,212331,168542,90020,29679,1896506
UCL511001,..,180,206,69,89,105,83,37,5,777,..,134,279,253,470,817,945,773,399,4069,96,143,103,59,69,102,90,40,17,716,6911,3962,4437,4798,4764,4372,3561,1966,662,35433,..,143,2772,5080,5148,4956,4178,2122,401,24801,..,972,2323,1263,992,777,346,92,9,6764,..,122,577,1059,976,372,194,127,84,3520,14121,..,..,..,..,..,..,..,..,14121,..,2833,..,..,..,..,..,..,..,2833,..,2380,747,312,188,112,31,0,0,3760,..,315,222,91,101,178,167,99,52,1223,..,249,214,109,68,39,18,7,3,708,..,365,478,190,209,222,166,55,7,1691,..,305,758,718,1028,1446,1467,1082,536,7337,227,265,218,154,135,181,164,68,28,1446,14342,7926,8320,8976,8847,8282,6731,3650,1125,68198
UCL512001,..,103,63,17,29,50,31,14,0,310,..,61,117,112,241,427,547,495,266,2267,38,53,45,34,43,71,65,33,15,398,2516,1545,1553,1661,1947,1992,1781,1185,439,14625,..,76,1014,1583,1887,2017,1948,1184,322,10028,..,394,789,545,458,361,183,55,11,2788,..,35,195,384,401,189,78,57,52,1389,5064,..,..,..,..,..,..,..,..,5064,..,1071,..,..,..,..,..,..,..,1071,..,895,338,117,87,65,19,0,0,1519,..,162,85,33,49,79,86,54,25,566,..,110,89,39,29,30,5,0,0,297,..,181,156,56,69,98,54,29,0,641,..,128,271,239,440,741,824,684,382,3702,87,103,92,73,91,122,118,56,20,764,5154,3154,3026,3061,3511,3689,3313,2118,800,27833
UCL512002,..,36,68,24,34,43,26,9,5,239,..,24,74,72,164,320,456,388,241,1752,24,44,33,29,32,52,43,26,6,293,2296,1172,1226,1637,1791,1711,1725,994,385,12940,..,24,767,1670,1863,1817,2060,1150,230,9575,..,239,653,505,422,296,198,52,9,2369,..,23,143,325,370,157,55,39,22,1137,4638,..,..,..,..,..,..,..,..,4638,..,957,..,..,..,..,..,..,..,957,..,784,264,76,67,41,8,4,0,1238,..,96,53,17,29,55,67,34,25,378,..,84,62,19,22,14,5,6,0,214,..,92,148,60,76,97,45,19,4,540,..,57,176,206,327,515,714,534,315,2842,52,81,83,61,66,88,87,40,12,570,4688,2432,2344,2940,3236,3080,3236,1881,624,24467
UCL512003,..,89,61,32,35,56,26,15,0,319,..,108,161,104,223,362,389,321,175,1842,65,75,42,40,48,68,60,29,10,426,2865,1737,1748,1884,2033,1920,1498,869,287,14837,..,66,1001,1746,1993,1987,1664,860,190,9508,..,461,902,561,477,399,143,44,15,3012,..,68,264,435,417,226,112,76,31,1632,5694,..,..,..,..,..,..,..,..,5694,..,1036,..,..,..,..,..,..,..,1036,..,1003,341,171,121,50,8,0,0,1702,..,224,96,59,67,91,88,64,21,704,..,98,76,38,26,12,11,6,0,262,..,173,178,80,70,108,63,23,3,699,..,195,369,318,500,742,673,478,241,3515,132,137,89,76,95,106,112,49,9,806,5824,3453,3319,3494,3761,3719,2871,1603,524,28568
UCL512004,..,73,82,31,27,32,16,0,0,262,..,104,168,95,186,214,172,96,42,1083,57,50,43,24,37,47,28,13,4,304,2849,1479,2032,1856,1647,1342,678,268,78,12225,..,52,1207,2036,1794,1611,762,246,30,7742,..,567,1311,708,541,308,80,20,0,3539,..,55,210,292,244,133,61,39,15,1051,5773,..,..,..,..,..,..,..,..,5773,..,758,..,..,..,..,..,..,..,758,..,907,274,91,72,28,4,0,0,1379,..,170,102,66,63,84,76,39,17,618,..,94,76,38,30,16,6,4,0,262,..,199,267,108,93,77,31,6,4,790,..,207,451,361,486,564,412,186,46,2718,105,101,112,67,72,93,59,23,8,647,5875,3116,4012,3767,3391,2923,1499,559,122,25265
UCL513001,..,53,131,44,22,17,18,0,0,284,..,29,100,69,97,152,88,36,0,560,25,36,36,35,18,20,20,0,0,198,1410,664,1118,1115,826,643,293,86,17,6162,..,18,413,916,723,526,283,58,11,2942,..,123,694,512,349,211,58,13,0,1959,..,29,109,202,153,76,48,14,4,634,2858,..,..,..,..,..,..,..,..,2858,..,348,..,..,..,..,..,..,..,348,..,338,105,47,26,0,5,0,0,515,..,123,49,29,45,38,20,17,8,341,..,59,110,29,28,17,0,0,0,245,..,81,217,81,52,48,39,8,5,523,..,56,164,153,197,283,177,63,8,1102,63,75,60,54,39,44,27,4,5,373,2917,1251,1932,2019,1613,1244,653,178,37,11843
UCL513002,..,21,33,12,14,11,3,3,0,97,..,25,44,20,62,108,138,163,79,636,11,26,28,8,11,27,21,9,3,145,838,458,566,545,554,585,472,340,116,4474,..,16,329,524,559,656,534,310,61,2987,..,145,311,219,166,125,41,16,0,1010,..,20,54,116,99,54,25,20,22,411,1693,..,..,..,..,..,..,..,..,1693,..,287,..,..,..,..,..,..,..,287,..,242,86,32,39,20,0,0,0,424,..,44,24,13,18,22,28,16,7,173,..,31,19,8,3,6,0,0,0,65,..,55,73,29,26,24,15,9,0,234,..,72,103,85,156,213,234,248,104,1210,28,48,44,22,30,38,47,16,3,273,1715,973,1055,1039,1090,1156,917,634,201,8772
UCL513003,..,30,57,15,18,21,4,0,0,149,..,48,133,63,70,59,34,16,4,419,39,25,45,23,40,12,13,0,0,197,1869,687,1342,1311,916,440,138,33,3,6737,..,15,895,1654,1126,593,140,22,0,4446,..,259,866,543,300,124,35,0,0,2125,..,13,73,122,112,37,9,0,0,373,3782,..,..,..,..,..,..,..,..,3782,..,476,..,..,..,..,..,..,..,476,..,365,80,28,8,0,0,0,0,473,..,70,40,16,19,38,18,11,0,221,..,49,61,23,10,14,0,0,0,147,..,70,148,66,64,37,24,3,0,409,..,105,304,211,206,178,79,21,0,1103,74,58,78,42,57,37,20,4,0,376,3854,1478,2544,2706,1908,1052,319,65,8,13928
UCL513004,..,18,36,20,24,4,7,0,0,116,..,54,106,61,71,87,38,5,0,431,46,33,44,19,17,24,13,0,0,201,1668,642,1277,1090,691,520,174,29,7,6099,..,23,741,1182,731,575,144,18,0,3423,..,224,863,507,287,155,35,5,0,2083,..,28,113,152,105,60,28,6,5,495,3271,..,..,..,..,..,..,..,..,3271,..,299,..,..,..,..,..,..,..,299,..,362,117,43,12,3,0,0,0,539,..,130,65,37,35,60,35,13,6,372,..,36,43,15,23,12,3,0,0,131,..,42,101,56,59,46,22,0,0,325,..,106,286,230,237,265,85,22,7,1242,82,60,91,50,44,56,17,0,0,406,3354,1302,2426,2280,1530,1235,361,78,16,12580
