UCL_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL501001,381284,236434,277301,282555,248932,215014,171134,94852,38316,1945823,284,218,308,317,293,421,458,323,146,2761,62,202,288,244,219,222,199,66,11,1518,91,137,276,224,215,284,240,64,9,1534,42,72,154,188,205,252,152,29,3,1104,16,32,85,93,139,114,69,25,5,570,5940,7515,7818,6042,5486,5123,4101,2534,1381,45952,20,20,44,44,57,93,125,28,7,434,34,29,74,65,44,48,28,8,0,319,20,23,56,33,23,21,15,4,0,188,10,4,8,10,10,17,17,5,0,77,6234,8028,8789,6936,6400,6178,4942,2763,1420,51692,6519,8244,9097,7254,6693,6600,5398,3089,1563,54455,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
UCL511001,14649,7998,8637,9287,9076,8382,6787,3797,1420,70040,10,14,18,5,17,27,28,28,10,152,0,3,3,0,4,5,6,0,0,35,0,5,10,6,9,14,11,0,5,56,4,0,0,8,5,7,9,0,0,40,4,0,5,0,0,0,0,0,0,12,252,388,386,335,347,381,208,83,76,2466,0,0,0,0,8,5,10,0,0,23,0,3,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,268,396,409,358,368,423,253,93,77,2651,275,407,428,360,385,452,280,116,91,2799,14925,8404,9066,9652,9467,8839,7068,3914,1511,72840
UCL512001,5271,3224,3218,3208,3581,3713,3326,2230,1000,28779,6,7,5,4,6,18,22,15,7,96,7,0,3,4,0,8,7,0,0,36,0,0,3,6,0,13,13,0,0,33,4,0,3,3,0,3,8,0,0,21,0,4,0,0,0,0,0,0,0,13,119,208,242,216,236,286,158,88,38,1597,0,5,0,0,0,0,3,0,0,9,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,216,257,227,238,313,193,87,38,1714,137,224,260,235,249,335,213,107,51,1811,5409,3450,3476,3445,3828,4045,3540,2338,1047,30587
UCL512002,4800,2429,2370,2977,3255,3092,3253,1963,835,24981,5,0,0,0,13,13,10,15,0,64,0,0,0,3,0,6,0,0,0,12,0,0,10,0,0,9,3,0,0,20,0,0,0,3,3,3,9,4,0,23,0,0,0,0,0,5,0,0,0,6,169,169,178,175,180,278,251,120,41,1540,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,167,190,184,184,301,261,119,46,1621,178,169,194,190,196,313,273,130,43,1682,4973,2597,2568,3164,3449,3398,3531,2096,880,26665
UCL512003,6284,3623,3532,3759,3917,3837,2930,1747,724,30349,7,4,9,14,14,5,15,5,6,72,4,0,8,4,4,13,22,8,0,60,8,0,3,5,3,14,26,5,0,71,0,3,11,6,9,19,25,0,0,77,0,0,0,0,0,12,27,11,0,48,180,255,243,229,238,265,252,125,44,1830,0,0,0,4,0,9,13,3,0,27,0,0,0,4,0,5,0,6,0,16,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,197,267,262,257,266,326,367,150,44,2126,200,272,271,269,273,328,382,156,49,2197,6482,3888,3802,4029,4186,4169,3313,1902,776,32544
UCL512004,6286,3366,4441,4105,3668,3123,1612,614,186,27404,0,3,4,4,10,11,7,10,0,58,0,3,5,9,8,13,20,0,0,58,0,0,6,8,9,10,67,5,0,103,0,5,15,4,7,27,17,0,0,79,0,0,5,9,0,18,32,0,0,65,101,221,440,374,305,378,158,56,3,2039,0,0,3,0,4,18,0,0,0,28,0,0,0,0,0,9,0,0,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,106,235,481,398,340,468,295,69,3,2398,107,237,492,410,350,481,300,75,10,2452,6395,3607,4932,4508,4014,3605,1919,690,197,29854
UCL513001,3297,1392,2273,2245,1853,1410,731,208,49,13466,19,13,11,10,11,20,9,6,0,97,48,20,31,44,55,67,81,9,3,364,67,14,34,56,36,150,214,47,0,613,35,3,21,32,26,75,62,8,0,256,14,7,16,16,17,40,69,15,0,190,302,305,555,447,588,1029,1478,575,51,5332,9,0,17,5,4,19,31,5,0,94,3,9,27,4,6,6,0,6,0,64,10,0,0,6,0,4,4,0,0,27,0,0,0,0,0,0,0,0,0,0,490,346,704,614,725,1398,1932,670,62,6934,507,356,719,625,739,1410,1940,676,61,7029,3803,1752,2989,2875,2589,2819,2670,882,111,20493
UCL513002,1907,1045,1105,1123,1158,1184,932,691,241,9380,4,10,3,5,7,10,11,0,5,43,4,6,0,4,7,11,20,3,0,54,0,0,4,3,0,6,11,0,0,30,0,0,3,0,0,14,10,0,0,30,0,0,6,0,0,4,3,5,0,19,67,96,102,93,132,132,92,41,15,768,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,99,122,108,141,171,142,45,15,926,77,105,126,114,147,182,148,45,17,969,1983,1150,1231,1233,1305,1370,1086,741,257,10354
UCL513003,4357,1703,2982,3181,2175,1226,360,66,8,16056,6,4,7,6,3,7,0,3,0,35,9,7,17,13,24,29,27,6,0,128,21,4,21,18,22,46,42,6,0,172,8,4,22,34,52,42,47,5,3,211,6,0,0,14,20,27,25,6,0,92,65,164,496,517,544,487,283,88,6,2646,0,0,0,4,5,3,9,0,0,20,0,0,0,4,5,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,178,557,597,662,648,431,111,9,3292,113,186,563,602,664,650,431,115,9,3331,4459,1889,3550,3787,2837,1873,785,181,22,19385
UCL513004,3641,1502,2822,2618,1784,1424,404,97,23,14317,8,4,4,4,7,4,0,3,0,36,11,0,19,25,24,47,35,9,0,173,21,3,14,18,37,36,47,6,0,187,0,6,32,47,57,49,38,4,0,251,3,0,17,10,15,37,31,8,0,121,89,190,648,653,662,480,242,59,8,3034,0,0,0,0,6,16,12,11,0,51,0,0,6,6,6,6,4,0,0,28,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,128,205,738,777,817,676,402,92,8,3847,140,208,740,787,823,681,409,100,8,3884,3780,1705,3567,3401,2611,2103,811,189,34,18199
UCL513005,2695,1100,1340,1435,1298,1027,809,455,135,10294,7,0,4,5,0,0,5,0,7,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,40,36,39,27,18,16,12,5,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,42,28,22,15,16,4,0,209,47,35,44,34,22,15,19,4,3,231,2741,1140,1384,1470,1323,1044,821,464,146,10521
