UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL501001,2002,4345,9896,8626,7402,5480,1771,241,15,39786,2189,4708,11490,11297,9435,6460,2044,447,95,48169,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680
UCL511001,77,165,329,278,299,211,59,9,0,1428,87,121,277,286,226,191,65,11,6,1278,2450,2821,6793,7675,7685,5932,1487,136,12,34998
UCL512001,36,67,129,116,102,105,46,3,0,605,48,42,79,82,84,75,30,7,0,461,1065,1070,2444,2639,3030,2660,812,96,14,13823
UCL512002,32,59,88,90,121,69,24,0,0,486,26,30,74,77,82,68,26,10,6,388,960,821,1978,2600,2909,2258,653,71,5,12258
UCL512003,46,83,138,125,112,93,35,12,0,645,43,53,102,100,115,84,40,11,4,550,1105,1240,2717,2940,3213,2653,766,97,14,14735
UCL512004,57,91,169,142,141,83,21,0,0,703,49,64,142,143,134,90,32,3,0,658,883,1417,3532,3289,3011,2403,582,45,0,15164
UCL513001,12,24,61,81,53,32,11,0,0,273,23,28,82,106,72,40,15,3,0,369,377,439,1735,1809,1473,1003,315,31,0,7176
UCL513002,20,22,64,50,51,31,4,0,0,243,13,31,40,29,39,42,13,5,0,211,316,388,904,914,973,872,235,39,5,4639
UCL513003,28,34,96,93,62,26,0,0,0,339,20,45,131,137,82,53,8,0,0,472,489,619,2315,2536,1792,942,168,4,0,8866
UCL513004,20,26,73,67,45,32,4,0,0,269,22,34,79,80,69,47,13,0,0,338,377,508,2133,2068,1379,1002,174,6,0,7643
UCL513005,9,12,67,44,36,30,4,0,0,199,8,17,57,40,42,23,8,0,0,206,258,351,1046,1171,1072,720,140,12,0,4766
UCL514001,11,13,28,26,23,8,5,0,0,112,8,12,20,24,16,11,4,5,0,109,169,234,517,543,575,467,112,21,5,2645
UCL514002,11,0,29,29,30,20,6,0,0,116,11,20,13,44,41,23,13,3,0,166,226,140,570,952,845,545,191,23,0,3494
UCL514003,8,12,27,38,33,15,3,0,0,131,10,6,36,46,34,14,9,0,0,167,230,191,770,1056,889,515,161,17,0,3819
UCL514004,6,15,21,21,19,23,10,0,0,112,3,9,20,19,28,15,7,0,0,105,182,239,455,480,551,560,178,14,0,2652
UCL515001,0,0,5,0,0,3,0,0,0,11,0,0,3,0,8,9,0,0,0,19,14,19,49,63,95,104,52,10,3,402
UCL515002,4,0,0,5,3,3,5,0,0,18,0,0,3,0,4,0,0,0,0,20,40,46,102,127,149,127,39,0,0,627
UCL515003,4,0,6,0,6,4,4,0,0,27,0,3,3,4,6,9,0,0,0,23,49,52,135,159,213,220,80,14,0,921
UCL515004,0,11,14,4,10,9,4,0,0,55,3,9,18,10,9,9,0,0,0,47,59,141,325,214,186,107,32,0,0,1065
UCL515005,3,10,6,12,14,3,0,0,0,44,6,0,7,12,7,9,0,0,0,45,77,78,182,231,274,178,47,9,0,1066
UCL515006,4,3,6,10,15,16,3,0,0,60,5,7,14,14,13,16,13,0,0,72,69,112,320,307,362,352,119,11,0,1649
UCL515007,0,0,15,7,10,0,0,0,0,33,4,0,0,16,13,8,0,0,0,43,56,36,138,371,258,149,25,8,0,1037
UCL515008,4,0,7,5,0,0,0,0,0,19,0,0,7,11,9,0,0,0,0,25,37,36,116,188,188,112,16,0,0,692
UCL515009,5,4,7,14,7,6,0,0,0,37,4,0,5,8,9,14,3,0,0,39,84,47,134,244,268,202,87,20,0,1094
UCL515010,0,0,15,5,12,9,3,0,0,48,0,3,10,4,4,9,4,0,0,38,35,72,233,178,198,213,90,7,0,1028
UCL515011,5,4,8,9,10,5,0,0,0,36,6,5,5,6,14,15,4,3,0,51,85,65,182,246,257,216,51,17,0,1128
UCL515012,6,3,13,9,10,4,0,0,0,44,3,0,12,9,0,0,5,0,0,37,89,78,290,247,265,152,35,0,0,1160
UCL515013,7,4,12,7,13,0,0,0,0,51,4,9,31,18,8,15,0,0,0,94,96,138,413,367,320,218,49,6,0,1596
UCL515014,0,0,4,3,4,0,0,0,0,12,0,0,3,0,0,5,0,0,0,8,12,28,123,72,69,57,22,0,0,393
UCL515015,5,0,4,9,9,10,0,0,0,36,0,3,10,10,11,6,4,0,0,45,63,88,305,238,254,187,58,10,0,1199
UCL515016,0,7,9,3,3,3,0,0,0,25,0,3,10,8,11,3,6,0,0,34,27,29,131,127,145,170,58,6,0,695
UCL515017,0,4,0,5,3,0,4,0,0,19,0,0,9,5,7,8,3,0,0,28,24,32,75,79,120,138,53,4,0,529
UCL515018,0,0,0,0,0,0,0,0,0,9,0,5,3,0,10,3,0,0,0,26,35,63,134,145,172,145,24,4,0,719
UCL515019,10,12,12,3,11,10,4,0,0,78,9,11,12,15,10,24,0,0,0,78,103,156,317,287,286,309,97,15,0,1563
UCL515020,6,7,24,18,20,12,0,0,0,86,5,7,34,19,28,19,6,3,0,122,82,158,601,449,376,312,87,11,0,2064
UCL515021,3,4,3,3,7,3,0,0,0,31,3,7,4,0,9,0,0,0,0,30,66,50,102,145,188,183,53,11,0,801
UCL515022,7,14,25,10,12,13,0,0,0,85,9,15,22,11,13,18,8,0,0,87,123,168,363,337,360,364,111,25,0,1847
UCL515023,5,12,15,12,11,0,3,0,0,61,0,4,6,3,9,6,3,0,0,42,71,105,219,191,205,194,68,13,0,1057
UCL515024,8,4,13,8,6,6,0,0,0,42,3,0,4,0,3,4,0,0,0,16,35,52,118,117,116,152,58,11,0,648
UCL515025,0,0,6,3,7,5,3,0,0,27,5,0,5,6,0,8,3,0,0,32,50,47,123,127,153,143,50,8,0,700
UCL515026,8,6,18,11,12,8,0,0,0,57,7,0,20,13,15,8,0,0,0,66,67,125,326,204,229,148,27,6,0,1126
UCL515027,5,12,21,19,13,13,4,0,0,93,7,7,7,8,15,19,4,4,0,65,82,156,325,288,308,308,115,20,0,1603
UCL515028,4,5,36,22,12,10,0,0,0,87,3,3,24,13,10,8,0,0,0,62,95,177,667,607,441,269,47,0,0,2314
UCL515029,0,3,4,4,0,3,0,0,0,14,4,0,4,3,5,0,0,0,0,14,20,32,156,200,139,108,8,0,0,662
UCL515030,5,8,15,8,9,14,0,0,0,58,3,4,10,12,9,10,3,0,0,47,126,126,230,280,312,295,69,10,0,1445
UCL515031,0,6,6,8,4,4,0,0,0,28,8,5,3,8,8,15,4,6,0,63,65,70,123,193,246,253,103,26,0,1077
UCL515032,3,4,12,6,9,4,0,0,0,38,5,6,9,11,15,12,0,0,0,47,50,68,133,152,212,135,23,0,0,775
UCL515033,3,6,9,13,6,0,0,0,0,36,8,8,10,9,10,0,0,0,0,43,68,72,352,479,285,176,33,3,0,1466
UCL515034,3,6,15,6,6,10,0,0,0,43,0,4,6,15,11,3,0,0,0,40,46,77,245,242,275,202,44,8,0,1137
UCL515035,4,3,6,3,4,3,0,0,0,30,0,0,6,6,11,4,0,0,0,30,25,29,98,87,92,136,54,8,0,521
UCL515036,3,3,7,6,3,5,0,0,0,26,3,4,6,3,11,4,0,0,0,40,49,69,146,161,209,199,55,10,0,894
UCL515037,0,0,6,9,0,0,0,0,0,18,3,9,12,11,4,0,0,0,0,30,52,63,271,307,184,99,18,0,0,981
UCL515038,4,0,3,6,7,6,0,0,0,30,4,0,6,0,8,5,5,0,0,37,46,45,133,142,179,231,92,14,0,875
UCL521001,3,0,0,3,8,5,0,0,0,18,0,0,0,0,4,0,0,0,0,8,28,18,25,55,68,60,15,0,0,264
UCL521002,0,0,8,8,7,4,3,0,0,29,3,0,0,3,4,0,0,0,0,20,16,18,44,57,84,59,36,3,0,322
UCL521003,0,0,0,0,0,0,0,0,0,5,0,0,5,4,3,3,0,0,0,10,9,12,27,47,55,67,31,8,0,257
UCL521004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,38,23,24,15,0,0,0,112
UCL521005,0,0,4,4,0,7,0,0,0,16,0,0,0,3,4,4,0,3,0,14,12,32,81,98,103,121,28,3,0,484
UCL521006,0,3,0,4,3,5,0,0,0,14,0,0,0,3,4,5,0,0,0,24,24,27,52,84,86,114,16,5,0,404
UCL521007,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,13,25,34,32,33,42,13,3,0,194
UCL521008,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,5,14,26,29,39,43,20,8,0,170
UCL521009,0,0,0,5,0,7,0,0,0,10,0,0,0,6,0,0,0,0,0,6,4,11,32,47,37,45,17,9,0,196
UCL521010,0,4,9,0,3,0,0,0,0,13,0,0,5,0,0,6,0,0,0,16,15,30,55,47,72,59,14,0,0,292
UCL521011,0,0,4,0,6,5,0,0,0,13,0,0,0,6,0,0,0,0,0,3,22,22,47,95,77,43,7,0,0,306
UCL521012,0,0,4,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,9,15,11,44,45,61,64,16,0,0,257
UCL521013,0,0,6,0,7,0,0,0,0,22,0,3,0,0,6,6,0,0,0,16,34,31,84,76,107,91,20,0,0,444
UCL521014,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,9,0,0,0,22,10,9,34,43,83,77,25,0,0,289
UCL521015,4,3,0,4,4,0,4,0,0,16,0,0,0,0,3,4,4,0,0,15,15,23,59,49,48,58,40,3,0,297
UCL521016,0,0,0,0,3,0,3,0,0,9,4,3,4,0,3,3,0,0,0,17,17,25,74,51,60,49,26,0,0,295
UCL521017,0,3,4,6,0,5,0,0,0,23,6,4,6,3,0,4,4,0,0,20,12,29,80,82,53,53,26,4,0,335
UCL521018,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,17,25,54,54,62,34,16,4,0,264
UCL521019,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,14,7,22,54,55,61,74,25,10,0,304
UCL521020,0,0,6,0,4,0,0,0,0,13,0,3,0,3,8,0,3,0,0,22,17,21,33,50,90,72,17,3,0,300
UCL521021,0,0,0,4,0,4,0,0,0,5,0,3,0,4,0,8,0,0,0,19,16,23,68,102,77,78,20,9,0,399
UCL521022,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,3,0,0,21,27,15,56,71,116,87,32,0,0,404
UCL521023,0,0,0,0,0,0,0,0,0,8,0,0,8,3,0,0,0,0,0,13,3,16,50,53,39,43,36,3,0,236
UCL521024,0,0,3,3,0,4,0,0,0,9,0,0,5,8,6,4,3,0,0,28,9,31,101,81,74,67,20,0,0,377
UCL521025,0,5,0,0,0,6,0,0,0,15,0,0,3,5,0,3,0,0,0,10,6,18,91,73,68,70,17,8,0,350
UCL521026,5,0,0,0,3,4,0,0,0,13,0,5,0,0,8,3,0,0,0,21,22,28,51,70,118,72,20,4,0,378
UCL521027,0,0,8,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,12,24,18,59,54,57,39,11,3,0,261
UCL521028,0,0,0,0,0,5,0,0,0,6,5,0,0,0,0,4,6,3,0,19,26,14,51,52,57,82,16,4,0,297
UCL521029,0,0,8,4,0,4,0,0,0,17,3,0,5,4,8,5,3,0,0,32,21,30,72,71,70,96,35,5,0,395
UCL521030,0,0,0,0,3,0,0,0,0,4,0,0,7,3,0,0,3,0,0,17,12,30,96,48,66,68,22,10,0,341
UCL521031,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,4,7,18,65,38,46,49,7,4,0,240
UCL521032,0,0,0,0,0,0,5,0,0,6,4,4,0,0,0,0,0,0,0,13,4,13,59,19,28,55,16,4,0,196
UCL521033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,15,26,34,32,8,6,0,133
UCL521034,4,0,4,3,0,4,0,0,0,17,5,3,3,3,10,5,4,0,0,30,29,33,52,65,105,92,15,3,0,380
UCL521035,0,0,0,0,0,3,0,0,0,10,0,0,0,0,4,0,0,0,0,8,14,3,21,46,54,61,14,4,0,217
UCL521036,0,0,0,0,0,0,0,0,0,5,0,4,6,0,0,0,0,0,0,14,9,17,42,22,38,50,16,7,0,195
UCL521037,0,0,4,4,6,3,0,0,0,13,0,0,4,3,8,3,0,0,0,17,26,15,54,93,83,64,6,5,0,336
UCL521038,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,8,14,7,25,44,57,70,24,0,0,233
UCL521039,0,0,3,0,5,4,0,0,0,10,0,0,3,4,0,0,0,0,0,17,24,16,40,75,93,102,25,4,0,374
UCL521040,0,0,3,0,3,0,0,0,0,9,0,3,0,11,3,6,3,0,0,22,0,18,91,101,68,66,20,0,0,367
UCL521041,0,0,0,3,0,0,0,0,0,3,0,0,6,4,0,0,0,0,0,10,0,23,128,110,54,34,8,0,0,352
UCL521042,0,0,0,4,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,14,16,23,44,50,74,59,25,0,0,292
UCL521043,0,0,3,0,5,3,0,0,0,14,0,0,0,5,0,4,0,0,0,10,17,12,29,41,67,81,17,0,0,268
UCL521044,0,0,0,0,0,5,0,0,0,9,0,0,0,0,6,0,0,0,0,10,14,17,33,34,36,55,16,3,0,210
UCL521045,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,3,25,20,21,43,24,6,0,151
UCL521046,0,0,0,0,0,3,0,0,0,15,0,0,0,4,0,4,0,0,0,8,12,12,41,36,35,27,14,4,0,185
UCL521047,0,0,0,0,0,0,0,0,0,12,0,0,6,0,6,6,3,0,0,12,8,13,43,47,65,58,18,4,0,245
UCL521048,0,0,0,3,3,0,0,0,0,12,0,0,6,0,0,8,0,0,0,19,14,21,44,55,60,91,31,3,0,318
UCL521049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,25,15,11,5,0,0,82
UCL521050,3,0,5,3,3,0,0,0,0,16,3,5,6,0,3,7,0,0,0,27,17,35,67,66,59,62,34,4,0,343
UCL521051,0,5,0,0,3,0,0,0,0,10,0,0,0,0,9,7,0,0,0,18,24,41,51,54,78,97,16,0,0,353
UCL521052,0,0,4,0,0,0,0,0,0,10,0,0,3,3,7,0,0,0,0,8,10,11,53,52,53,32,16,0,0,231
UCL522001,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,3,10,24,14,6,10,6,0,0,74
UCL522002,0,0,0,0,3,4,0,0,0,9,0,0,3,0,0,0,0,0,0,3,6,8,16,17,28,25,11,0,0,108
UCL522003,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,23,18,13,3,0,0,0,70
UCL522004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,13,3,4,0,0,0,33
UCL522005,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,9,4,0,19,26,12,6,4,0,0,71
UCL522006,0,0,0,5,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,5,17,27,27,41,57,42,14,0,0,224
UCL522007,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,12,18,17,10,25,19,0,0,101
UCL522008,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,3,13,14,14,20,8,3,0,76
UCL522009,0,0,0,0,3,0,0,0,0,13,0,4,0,0,3,0,0,0,0,15,17,17,35,42,60,33,7,0,0,203
UCL522010,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,11,14,23,36,36,28,14,0,0,161
UCL522011,0,6,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,12,31,33,20,33,11,0,0,145
UCL522012,0,0,0,0,0,3,0,0,0,5,0,0,0,4,0,3,6,0,0,16,3,7,44,30,31,58,21,7,0,196
UCL522013,0,0,0,0,0,5,0,0,0,5,0,3,0,3,0,5,0,0,0,10,14,17,20,35,49,41,4,0,0,189
UCL522014,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,8,19,24,17,15,0,0,0,91
UCL522015,0,3,4,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,7,8,25,53,33,22,19,11,0,0,173
UCL522016,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,6,14,19,14,25,14,3,0,95
UCL522017,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,3,0,3,5,11,20,21,41,46,12,3,0,153
UCL522018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,10,8,8,7,0,0,44
UCL522019,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,7,11,14,27,9,0,0,67
UCL522020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,12,12,24,8,0,0,65
UCL522021,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,12,16,43,28,22,22,0,0,140
UCL522022,0,5,0,0,6,0,0,0,0,8,0,0,0,0,0,4,0,0,0,4,0,7,24,12,21,21,4,3,0,93
UCL522023,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,13,11,9,27,19,29,35,13,0,0,136
UCL522024,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,9,9,0,11,12,18,36,18,3,0,106
UCL522025,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,10,6,13,21,37,27,47,23,8,0,174
UCL522026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,14,5,22,37,19,5,0,101
UCL522027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,8,4,12,15,28,26,31,4,0,0,129
UCL522028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,6,3,18,3,0,0,52
UCL522029,0,0,0,6,0,0,0,0,0,10,0,0,0,4,4,0,0,0,0,11,15,8,34,40,35,24,4,0,0,159
UCL522030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,25,22,29,11,0,0,115
UCL522031,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,13,11,8,8,0,0,0,42
UCL522032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,3,6,14,13,0,0,0,53
UCL522033,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,7,9,6,21,13,36,34,13,0,0,129
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,6,0,0,0,0,26
UCL522035,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,7,16,11,26,27,11,0,0,105
UCL522036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,14,12,26,19,16,0,0,101
UCL522037,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,0,0,6,3,4,18,32,30,23,12,5,0,126
UCL522038,0,3,4,0,3,0,0,0,0,13,0,4,4,0,3,4,3,0,0,19,11,27,63,54,47,53,16,6,0,272
UCL522039,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,3,10,35,31,24,49,9,0,0,160
UCL522040,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,9,0,3,7,3,30,28,16,0,0,79
UCL522041,0,0,0,0,3,3,0,0,0,6,0,0,0,0,3,5,0,0,0,14,0,3,13,19,31,41,18,0,0,116
UCL522042,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,7,19,56,48,36,20,4,0,0,189
