UCL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL501001,4115,1224,12785,6847,4688,3480,2677,3516,387,39725,55,68,97,133,90,114,91,193,30,862,1300,2019,1535,1537,1271,622,1068,852,319,10528,1579,1679,3110,1976,1744,1099,1667,1912,3203,17968,94576,231161,116004,88521,82305,36456,33836,38792,10866,732509
UCL511001,122,40,425,230,144,162,134,177,15,1457,3,5,0,10,0,3,7,6,0,35,31,59,67,46,39,13,73,40,8,370,45,49,139,57,41,43,94,98,108,673,2168,5366,5245,3143,2432,1259,1670,1760,349,23383
UCL512001,56,23,210,104,68,60,30,63,8,619,0,0,0,0,0,0,0,3,0,16,15,15,23,21,8,4,5,13,3,116,24,18,51,37,15,14,17,42,20,239,962,2251,1666,1516,886,566,443,729,103,9119
UCL512002,84,15,266,106,50,52,44,74,8,689,0,0,0,3,0,7,0,0,0,12,14,18,18,13,9,4,12,9,4,103,14,12,40,23,16,27,25,28,30,213,897,1778,1692,1149,788,499,443,661,121,8022
UCL512003,53,11,177,111,60,52,34,67,4,566,0,0,6,0,0,3,0,7,0,15,23,13,20,23,12,8,6,14,3,117,26,23,47,35,26,13,24,40,38,272,967,2360,1865,1398,983,527,545,689,128,9461
UCL512004,60,22,148,80,80,46,92,51,3,580,0,0,0,3,0,5,3,0,0,17,9,15,32,19,10,3,37,12,9,143,22,20,81,40,20,10,64,37,50,339,964,2045,2563,913,901,341,1012,492,145,9374
UCL513001,40,13,70,62,49,24,8,29,0,301,0,0,0,0,0,0,0,0,0,6,16,18,15,12,12,0,5,3,0,82,17,35,28,33,32,22,10,30,49,249,757,1563,739,732,606,245,181,334,105,5254
UCL513002,20,3,73,39,19,18,19,29,5,217,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,0,6,0,0,32,12,8,20,19,10,12,10,25,20,134,344,606,583,314,327,142,240,214,60,2835
UCL513003,53,13,96,47,46,32,23,20,6,328,0,0,0,0,0,0,0,0,0,8,10,16,40,16,11,3,18,11,3,121,10,14,61,9,22,8,28,24,33,213,772,1281,1838,556,675,229,415,365,124,6246
UCL513004,29,15,55,25,40,12,31,28,4,234,0,0,0,0,0,0,5,3,0,11,6,15,23,10,13,9,18,9,5,105,14,12,58,15,11,5,27,34,45,229,524,924,1613,412,525,159,472,345,130,5107
UCL513005,23,11,71,46,32,17,23,27,6,255,0,0,0,0,0,0,0,0,0,5,10,12,14,10,14,0,10,0,6,69,14,9,25,9,11,9,19,20,15,129,326,543,710,499,368,154,238,249,69,3150
UCL514001,11,0,22,18,11,9,20,15,0,113,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,11,0,0,21,0,4,17,4,6,6,9,4,3,60,83,197,469,241,144,64,190,137,30,1563
UCL514002,37,13,92,34,17,14,10,21,0,237,0,0,0,0,0,0,0,0,0,3,0,5,5,6,0,3,6,3,0,26,11,6,17,8,3,19,0,10,9,87,368,633,571,274,242,181,84,191,40,2578
UCL514003,25,4,124,28,11,19,12,40,4,274,0,0,0,0,0,0,0,0,0,3,7,7,9,8,0,4,0,8,0,41,9,11,25,16,6,9,7,19,8,88,340,612,575,360,182,148,130,283,33,2667
UCL514004,7,0,30,16,8,10,3,14,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,14,3,5,8,4,9,5,3,5,5,51,172,319,282,230,159,94,95,128,20,1500
UCL515001,0,0,13,0,4,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,10,49,39,59,31,20,23,9,25,4,258
UCL515002,0,0,7,8,0,0,3,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,14,41,90,104,57,52,16,35,22,4,414
