UCL_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
UCL501001,744077,..,..,..,..,744077,..,5393,74,5471,34,5507,..,6991,844,7839,51,7890,..,822,21,846,16,861,..,7089,1609,8696,76,8779,..,17484,4648,22132,263,22395,..,1487,209,1694,11,1707,..,26057,6471,32526,345,32874,..,1969,221,2186,13,2201,..,3730,157,3883,63,3945,..,3009,117,3123,37,3162,..,1830,154,1983,18,1999,..,1771,73,1846,10,1859,..,4677,273,4955,39,4993,..,5603,233,5835,61,5899,..,2282,126,2406,27,2436,..,9648,791,10436,136,10578,..,2882,109,2988,17,3006,..,4448,169,4615,54,4671,..,1240,55,1298,10,1302,..,32551,1834,34383,360,34742,..,9629,872,10493,88,10578,..,1991,293,2284,31,2314,..,506,146,657,8,661,..,2292,766,3066,30,3091,..,2519,274,2790,13,2801,..,4256,225,4481,42,4526,..,3262,425,3688,33,3720,..,2077,168,2251,23,2268,..,3132,311,3439,58,3501,..,1229,114,1340,19,1360,..,379,48,427,10,431,..,2283,372,2651,16,2664,..,4316
UCL511001,31386,..,..,..,..,31386,..,311,0,315,0,314,..,74,8,76,0,79,..,38,0,45,0,45,..,35,9,47,0,47,..,134,65,196,0,198,..,4,0,4,0,4,..,178,70,246,3,251,..,12,0,7,0,7,..,54,0,56,0,56,..,45,0,45,0,48,..,24,0,20,0,20,..,22,0,22,0,22,..,41,4,44,0,44,..,44,6,50,0,50,..,33,4,34,0,34,..,83,9,87,0,88,..,29,0,25,0,25,..,49,3,57,4,55,..,13,0,13,0,13,..,312,18,330,3,331,..,215,14,231,0,231,..,27,5,27,0,35,..,0,0,0,0,4,..,36,29,67,0,67,..,0,0,0,0,0,..,106,9,116,0,120,..,23,0,24,0,24,..,46,3,51,0,51,..,33,0,32,0,32,..,34,7,39,0,39,..,5,0,5,0,5,..,6,0,6,0,6,..,154
UCL512001,12952,..,..,..,..,12952,..,77,0,77,0,75,..,6,0,6,0,6,..,15,0,15,0,15,..,12,8,20,0,20,..,24,8,31,0,31,..,4,0,4,0,4,..,40,16,56,0,56,..,0,0,0,0,0,..,37,3,34,0,34,..,34,4,32,0,32,..,8,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,5,0,5,..,16,0,16,0,16,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,45,0,50,0,48,..,70,0,78,0,79,..,4,0,4,0,4,..,0,0,0,0,0,..,0,4,0,0,0,..,4,0,4,0,4,..,15,3,19,0,19,..,0,0,0,0,0,..,11,0,14,0,14,..,0,0,0,0,0,..,3,0,3,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,95
UCL512002,11633,..,..,..,..,11633,..,64,0,64,0,64,..,12,0,12,0,12,..,20,0,19,0,25,..,11,3,16,0,16,..,12,7,15,0,15,..,0,0,0,0,0,..,22,13,31,0,31,..,9,0,9,0,9,..,34,0,34,0,34,..,49,0,51,0,54,..,4,0,7,0,7,..,0,0,0,0,0,..,8,0,6,0,6,..,11,0,11,0,11,..,9,0,9,0,9,..,33,4,31,0,31,..,11,0,9,0,9,..,7,0,7,0,7,..,3,0,3,0,3,..,68,5,75,0,75,..,38,0,41,0,41,..,16,0,16,0,16,..,0,0,0,0,0,..,10,4,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,9,0,12,0,13,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,9
UCL512003,13140,..,..,..,..,13140,..,115,0,120,0,116,..,14,0,18,0,18,..,53,0,55,0,62,..,11,7,17,0,16,..,33,8,46,0,48,..,0,0,5,0,5,..,46,22,63,0,65,..,0,0,0,0,0,..,22,0,22,0,26,..,20,3,23,0,23,..,12,0,12,0,13,..,9,0,9,0,9,..,12,0,12,0,12,..,16,0,16,0,16,..,10,0,10,0,10,..,21,0,21,0,21,..,10,0,10,0,10,..,24,3,26,0,23,..,0,0,0,0,0,..,105,3,106,0,109,..,65,5,70,0,70,..,8,0,8,0,8,..,4,0,6,0,6,..,6,0,6,0,6,..,9,0,9,0,9,..,61,4,60,0,65,..,3,0,3,0,3,..,5,0,5,0,5,..,10,0,10,0,10,..,5,4,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,64
UCL512004,11576,..,..,..,..,11576,..,155,3,156,0,156,..,33,0,31,0,31,..,63,3,71,0,74,..,3,4,4,0,4,..,101,17,119,0,121,..,6,0,4,0,4,..,110,22,128,0,127,..,10,0,10,0,10,..,21,0,23,0,23,..,20,0,19,0,23,..,8,0,9,0,9,..,8,0,6,0,6,..,23,0,27,0,27,..,66,0,66,0,66,..,11,0,10,0,8,..,47,0,53,0,53,..,17,4,21,0,21,..,35,4,39,0,39,..,15,0,20,0,20,..,226,15,239,0,241,..,26,5,28,0,30,..,7,0,7,0,7,..,0,0,0,0,0,..,15,8,17,0,17,..,0,0,0,0,0,..,42,0,46,0,46,..,30,3,35,0,35,..,6,0,6,0,6,..,24,3,28,0,28,..,14,0,15,0,15,..,27,0,32,3,32,..,5,0,5,0,5,..,135
UCL513001,5297,..,..,..,..,5297,..,11,0,11,0,11,..,3,0,3,0,3,..,162,4,168,7,172,..,13,0,13,0,13,..,23,3,27,0,27,..,0,0,0,0,0,..,42,3,48,0,48,..,6,0,6,0,6,..,42,0,44,0,44,..,26,0,26,0,26,..,3,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,8,0,7,..,0,0,0,0,0,..,6,0,6,0,6,..,16,0,14,0,14,..,9,0,9,0,9,..,0,0,0,0,0,..,38,0,46,0,44,..,35,0,34,0,34,..,3,0,5,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,7,0,7,..,4,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,36
UCL513002,4338,..,..,..,..,4338,..,33,0,30,0,37,..,0,0,0,0,0,..,16,0,16,0,16,..,3,0,10,0,10,..,5,0,5,0,7,..,0,0,0,0,0,..,9,3,6,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,11,0,11,0,9,..,5,0,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,27,0,26,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10
UCL513003,6511,..,..,..,..,6511,..,46,0,46,0,46,..,11,0,15,0,15,..,67,8,64,0,70,..,10,0,10,0,8,..,38,7,48,0,51,..,5,4,5,0,5,..,50,10,65,3,64,..,0,0,0,0,0,..,23,0,23,0,22,..,15,0,15,0,13,..,13,0,12,0,12,..,10,0,10,0,10,..,17,0,17,0,17,..,44,0,49,0,49,..,20,0,21,0,21,..,30,0,30,0,30,..,18,0,18,0,18,..,28,0,29,0,29,..,11,0,11,0,14,..,180,9,187,3,188,..,18,0,19,0,19,..,4,0,5,0,5,..,0,8,6,0,6,..,5,3,5,0,5,..,10,0,10,0,10,..,13,0,13,0,16,..,0,0,0,0,0,..,9,0,9,0,9,..,14,0,14,0,14,..,8,0,8,0,8,..,8,0,8,0,8,..,6,0,6,0,6,..,70
UCL513004,5577,..,..,..,..,5577,..,46,0,46,0,46,..,23,0,23,0,23,..,126,6,132,0,131,..,11,0,15,0,15,..,28,0,31,0,31,..,0,0,0,0,0,..,38,0,41,0,44,..,6,6,6,0,6,..,21,0,26,0,29,..,14,0,14,0,16,..,11,0,11,0,11,..,3,0,3,0,3,..,40,3,46,0,46,..,23,0,26,0,26,..,0,0,0,0,0,..,13,0,13,0,13,..,27,0,27,0,27,..,5,0,5,0,5,..,5,0,6,0,6,..,109,9,120,0,120,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,5,0,5,..,9,0,15,0,15,..,6,0,5,0,5,..,0,0,0,0,0,..,11,0,11,0,11,..,5,0,5,0,5,..,5,0,5,0,5,..,5,0,5,0,5,..,73
