UCL_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
UCL501001,25,396,56259,56677,968,6160,50701,57828,35610,31339,59857,126810,79413,18712,32658,130776,74330,12468,29199,115989,65437,8545,25967,99948,55211,4190,19165,78560,29840,1282,10215,41338,7320,223,4500,12039,348143,83304,288524,719973,32,728,52884,53643,2325,9850,44987,57165,53421,35683,49466,138571,89261,18656,34012,141934,77572,12473,35656,125698,65301,7687,36569,109560,50258,3196,34087,87535,21779,833,24801,47413,3477,107,13544,17124,363434,89216,325998,778648,60,1123,109145,110322,3292,16014,95695,114996,89034,67021,109319,265379,168678,37366,66667,272710,151899,24941,64853,241689,130741,16235,62533,209507,105465,7385,53252,166100,51620,2116,35013,88751,10796,325,18046,29163,711576,172522,614517,1498619
UCL511001,4,26,2111,2147,49,363,1288,1694,1103,1107,1555,3768,2334,608,1139,4078,2421,465,1128,4018,2459,393,974,3824,2170,201,719,3093,1227,51,381,1658,269,7,178,457,12034,3222,9481,24736,0,50,2102,2155,92,524,1051,1673,1667,1215,1445,4332,2746,660,1334,4740,2721,526,1449,4699,2503,380,1388,4271,2004,139,1321,3467,904,36,986,1927,132,0,513,641,12768,3545,11591,27899,3,82,4214,4300,133,885,2339,3364,2772,2323,3006,8103,5080,1263,2471,8814,5148,992,2574,8720,4956,777,2366,8098,4178,346,2045,6568,2122,92,1366,3582,401,9,686,1096,24801,6764,21068,52637
UCL512001,0,20,886,899,23,145,480,650,444,387,601,1435,730,259,365,1357,858,220,427,1513,992,176,487,1652,993,113,371,1475,659,25,218,907,219,8,136,360,4918,1352,3975,10251,0,42,817,855,55,192,394,636,565,407,530,1509,856,286,494,1633,1030,234,649,1907,1021,181,713,1917,959,71,692,1718,522,30,601,1156,102,4,322,424,5106,1433,5209,11755,0,55,1704,1760,76,339,872,1287,1014,789,1137,2941,1583,545,862,2991,1887,458,1078,3417,2017,361,1195,3564,1948,183,1059,3194,1184,55,825,2060,322,11,457,785,10028,2788,9189,22003
UCL512002,0,6,733,742,3,91,398,489,318,298,453,1065,732,247,295,1275,872,194,349,1417,863,151,327,1337,1045,107,320,1466,658,34,175,862,142,6,84,236,4638,1119,3123,8884,0,16,669,685,13,131,295,442,448,355,383,1189,938,257,418,1608,991,225,538,1754,962,149,550,1657,1008,93,580,1684,495,19,452,974,83,0,290,377,4939,1245,4185,10374,3,17,1401,1427,20,219,693,927,767,653,842,2259,1670,505,706,2887,1863,422,889,3171,1817,296,874,2991,2060,198,901,3152,1150,52,631,1834,230,9,369,613,9575,2369,7315,19259
UCL512003,0,16,908,921,16,160,549,727,398,440,677,1521,785,272,514,1574,919,225,542,1684,1000,210,551,1764,855,79,389,1321,479,21,206,714,131,11,90,236,4594,1434,4431,10450,0,39,850,887,48,244,485,777,600,462,647,1711,960,299,591,1842,1074,260,657,1988,991,186,673,1853,804,68,565,1441,374,23,441,841,58,4,214,281,4914,1578,5121,11614,0,53,1754,1807,66,409,1038,1503,1001,902,1322,3227,1746,561,1100,3417,1993,477,1195,3670,1987,399,1228,3616,1664,143,954,2759,860,44,647,1555,190,15,303,507,9508,3012,9551,22067
UCL512004,0,19,735,765,15,197,603,821,494,629,792,1911,963,357,556,1871,898,259,547,1713,852,179,498,1531,433,49,309,786,146,10,117,271,22,0,23,41,3820,1708,4182,9717,0,41,639,674,30,309,415,752,718,683,591,1991,1074,348,403,1826,895,282,434,1607,762,125,409,1294,328,34,279,648,97,9,152,262,14,0,62,76,3922,1825,3385,9131,3,63,1374,1438,51,505,1025,1576,1207,1311,1384,3900,2036,708,955,3698,1794,541,985,3318,1611,308,906,2827,762,80,590,1437,246,20,269,533,30,0,80,120,7742,3539,7572,18849
UCL513001,0,0,293,292,7,50,202,260,168,312,309,786,425,242,218,882,354,188,227,767,263,111,206,586,176,38,135,351,32,8,41,87,6,0,9,14,1436,949,1648,4028,3,8,331,339,10,67,213,289,246,384,452,1078,489,268,324,1079,368,164,279,799,268,100,259,618,105,19,152,282,21,9,58,86,6,0,7,13,1508,1009,2061,4583,3,8,620,630,10,118,411,545,413,694,759,1872,916,512,536,1964,723,349,501,1571,526,211,461,1202,283,58,292,631,58,13,97,170,11,0,21,30,2942,1959,3706,8614
UCL513002,0,4,283,289,3,50,148,200,132,151,194,477,244,109,125,477,276,84,166,525,327,63,172,554,266,23,125,424,172,6,100,279,42,0,40,77,1467,481,1350,3303,0,16,205,220,12,74,126,210,200,168,172,532,282,110,151,541,285,82,171,536,325,59,172,561,265,9,172,450,137,4,199,332,20,0,95,117,1525,528,1458,3508,0,17,490,505,17,125,272,413,329,311,368,1009,524,219,277,1019,559,166,339,1062,656,125,337,1113,534,41,304,871,310,16,295,619,61,0,130,194,2987,1010,2809,6807
UCL513003,0,12,399,412,6,93,252,348,354,421,389,1162,824,280,271,1373,582,154,235,972,336,73,181,587,86,13,68,170,13,0,12,29,0,0,4,4,2193,1052,1815,5061,0,16,334,346,11,139,163,311,545,441,307,1298,833,259,196,1284,547,149,184,874,256,48,122,424,54,17,57,132,10,0,25,33,0,0,3,3,2247,1074,1394,4716,0,29,730,761,15,233,415,664,895,866,699,2463,1654,543,465,2659,1126,300,419,1848,593,124,306,1015,140,35,128,301,22,0,37,62,0,0,8,8,4446,2125,3203,9776
UCL513004,0,11,336,344,13,83,206,290,302,384,414,1100,572,276,312,1159,386,153,270,805,330,94,262,689,85,21,77,182,14,5,23,43,0,0,8,10,1701,1019,1907,4628,0,14,283,300,8,115,180,306,439,485,312,1234,610,235,225,1070,345,133,190,676,244,63,185,499,60,14,87,168,4,0,22,27,0,0,3,7,1716,1061,1497,4277,0,28,617,644,25,195,382,601,741,863,725,2331,1182,507,538,2227,731,287,461,1480,575,155,451,1183,144,35,166,350,18,5,51,72,0,0,10,16,3423,2083,3400,8900
