UCL_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
UCL501001,1624,4022,4152,3888,3245,2489,1118,218,20751,2265,5484,7796,4259,2137,826,159,7,22946,8873,32173,33843,29566,26942,20641,9550,2498,164076,3266,10336,9275,7838,6817,5214,2681,817,46246,622,1722,2119,1924,1558,1031,542,154,9678,1721,6433,6019,5101,3884,2452,1218,338,27170,665,2727,2866,2956,3360,3059,1495,378,17513,6360,15649,20123,16737,12194,8289,3503,757,83602,4053,8056,7648,6734,5189,4076,1682,352,37791,2919,4186,3358,1960,1261,968,326,81,15057,1949,4738,4818,3284,2333,1276,597,117,19117,314,151,78,66,67,56,36,12,790,558,1552,1846,1673,1223,764,446,137,8197,7218,12565,11950,10078,7703,5463,4345,2634,61948,42403,109800,115899,96065,77910,56591,27710,8501,534878,2252,5159,5115,3573,2255,1185,385,105,20038,416,2116,2532,1349,883,314,63,7,7678,1101,4244,4018,2315,1461,872,448,279,14737,495,2012,1620,1026,642,287,74,22,6172,584,1570,1652,1052,628,272,64,23,5854,7010,22580,19031,14947,12966,8580,4047,1325,90482,3447,11523,13354,13549,11730,8667,3644,974,66897,8311,26199
UCL511001,14,47,74,56,66,60,26,0,344,68,120,124,54,33,14,9,0,421,439,1200,1325,1256,1145,845,373,81,6676,154,428,373,296,311,231,116,28,1942,39,75,86,99,101,57,35,13,508,43,131,175,165,153,97,39,7,800,21,74,112,159,165,152,54,15,746,127,221,343,344,286,202,80,9,1616,121,140,143,135,142,106,38,17,841,52,50,54,36,31,14,7,0,248,51,134,153,124,103,57,21,0,633,8,4,0,0,9,5,0,0,36,17,36,69,72,61,23,10,3,288,260,445,455,455,375,312,180,111,2601,1423,3116,3487,3262,2976,2177,979,293,17712,21,82,88,94,54,28,0,0,365,8,29,39,29,28,9,3,0,144,42,112,96,59,48,26,11,10,409,11,38,46,40,17,5,0,0,151,31,62,75,61,39,9,7,0,276,258,592,621,506,551,391,172,59,3153,166,372,546,625,486,329,129,34,2677,348,839
UCL512001,16,19,32,24,33,33,18,0,177,28,48,40,23,23,12,0,0,182,140,347,270,320,322,294,153,46,1892,74,173,137,121,115,98,68,30,817,53,61,72,92,99,75,49,11,506,15,72,61,76,76,35,19,7,371,5,43,45,75,79,92,26,9,372,71,65,125,107,124,94,41,10,637,48,60,71,86,100,89,21,7,477,21,25,32,26,22,18,3,3,149,23,76,75,72,45,21,22,7,332,4,5,0,0,0,0,0,0,9,6,14,17,21,12,18,14,3,106,113,159,151,134,149,131,100,67,995,617,1157,1126,1173,1193,1009,544,204,7027,12,30,37,38,26,17,5,0,160,3,12,18,7,6,7,0,0,51,6,29,21,18,18,3,4,9,103,3,14,14,13,7,6,0,0,56,24,38,42,46,38,14,5,0,208,105,251,255,258,297,234,132,49,1581,41,125,172,229,205,200,97,22,1089,134,216
UCL512002,3,8,36,24,25,23,20,8,143,22,32,35,15,7,8,4,0,123,82,246,340,343,338,357,189,34,1934,56,176,131,143,144,147,78,21,893,13,37,68,52,54,47,29,7,309,3,27,60,65,50,40,16,4,273,3,34,43,60,56,78,38,10,315,49,80,86,140,121,110,57,10,665,19,41,40,58,35,43,28,4,276,17,24,25,19,16,15,7,0,115,38,75,84,71,51,43,10,3,371,5,3,0,0,0,0,0,0,14,6,8,12,20,13,11,5,0,80,62,130,161,148,115,111,97,44,879,389,912,1117,1157,1040,1040,568,147,6379,4,13,31,29,26,11,7,0,128,0,7,11,9,12,3,0,0,34,7,6,14,16,9,7,10,5,80,5,14,9,13,6,3,4,0,53,7,23,27,30,14,11,3,0,121,75,173,233,197,236,185,99,42,1235,39,126,223,241,196,156,66,14,1068,102,204
UCL512003,12,22,23,25,16,12,6,0,115,28,46,29,16,12,4,0,0,140,188,457,475,481,469,333,126,44,2578,64,190,138,130,153,102,43,10,836,23,44,43,64,43,40,10,4,275,17,57,69,77,57,33,8,0,325,7,31,50,62,72,41,11,0,281,38,72,126,133,118,72,27,6,588,29,55,63,65,56,38,11,3,319,16,22,27,9,5,11,5,0,94,27,57,58,55,39,16,9,0,264,5,7,0,0,0,0,0,4,7,10,11,26,19,24,8,5,0,105,217,275,279,271,235,150,133,70,1631,684,1347,1409,1412,1307,867,396,157,7563,17,27,39,24,18,11,0,0,139,3,11,15,7,10,5,5,0,55,20,27,28,18,12,8,5,4,125,0,3,14,8,9,0,0,0,37,31,33,36,31,20,9,0,0,156,144,299,248,251,159,141,71,24,1339,42,179,229,271,220,111,45,14,1108,129,259
UCL512004,19,73,63,35,25,6,0,0,227,10,24,25,11,3,4,0,0,85,273,896,793,674,489,211,54,8,3394,43,113,81,65,80,52,19,0,459,10,22,27,27,10,10,0,0,105,14,41,45,54,43,25,3,0,222,0,35,37,37,36,12,3,0,175,38,77,133,93,76,32,3,5,448,24,66,66,46,29,15,4,0,254,16,14,16,8,11,0,0,0,64,22,50,44,44,30,8,4,0,208,5,5,3,0,5,0,0,0,15,6,17,31,27,18,11,0,0,114,223,316,284,263,243,159,74,15,1581,715,1744,1655,1380,1102,548,179,29,7353,13,72,67,23,11,0,0,0,180,0,7,14,11,3,0,0,0,42,31,75,51,27,10,0,0,0,198,0,8,9,7,0,0,0,0,26,13,26,12,15,9,3,0,0,79,92,219,172,154,135,52,17,0,849,59,179,190,169,105,37,14,9,766,114,306
UCL513001,5,19,19,16,9,0,0,0,62,20,16,20,7,3,0,0,0,60,71,206,190,194,124,75,15,4,883,11,92,110,87,57,25,3,0,393,10,22,33,35,17,13,3,0,132,3,37,47,35,25,6,5,0,167,0,25,47,34,30,19,5,0,171,18,62,87,72,42,24,0,0,317,10,67,53,36,41,15,3,0,230,4,22,21,18,3,10,0,0,79,10,32,39,42,22,3,0,0,144,4,0,0,0,0,0,0,0,9,0,10,15,15,5,4,0,0,57,154,213,181,206,150,70,21,6,1013,327,829,869,796,532,282,69,12,3714,11,30,27,15,4,0,0,0,89,0,3,9,0,0,0,0,0,18,10,24,22,5,3,3,0,0,74,0,14,3,7,8,0,0,0,33,6,22,23,11,4,0,0,0,68,41,224,162,113,94,39,12,0,680,26,118,149,97,72,44,11,3,507,53,200
UCL513002,0,4,5,3,3,5,3,0,28,6,8,3,3,5,0,0,0,33,64,155,127,128,121,87,47,12,737,24,51,49,25,42,23,15,0,240,19,25,34,29,30,13,14,3,170,0,15,10,13,18,9,0,3,74,0,10,21,23,26,11,10,0,107,13,26,33,39,25,11,10,4,155,0,8,18,18,9,9,4,4,69,0,11,0,0,0,0,0,0,16,10,22,21,15,19,9,0,0,95,0,0,0,0,0,0,0,0,0,0,5,12,3,0,8,4,0,30,90,81,76,89,77,63,58,9,552,237,419,408,403,375,246,172,41,2298,4,17,14,6,3,0,0,0,39,0,0,0,0,4,0,0,0,7,6,10,4,5,5,7,0,0,28,0,0,0,0,3,0,0,0,14,9,18,12,9,4,0,0,0,56,14,55,62,45,58,44,41,12,326,10,62,58,78,59,46,27,9,343,61,81
UCL513003,7,14,20,17,4,3,0,0,57,5,16,14,8,0,0,0,0,51,141,536,591,420,233,53,9,0,1985,18,136,118,60,51,14,0,0,407,5,11,27,19,16,5,0,0,72,3,36,34,26,17,7,0,0,121,3,29,36,41,12,5,0,0,128,11,71,139,99,50,9,0,0,380,16,33,44,41,16,3,0,0,164,8,16,16,4,0,0,0,0,40,14,42,38,23,12,8,0,0,133,3,0,0,0,0,0,0,0,4,6,15,30,17,13,0,0,0,88,188,301,344,229,144,41,12,0,1263,431,1248,1450,1005,570,155,20,0,4890,3,26,28,24,4,0,0,0,81,0,7,15,6,4,0,0,0,32,21,65,54,23,8,0,0,0,166,0,6,9,7,3,0,0,0,26,6,15,18,11,7,0,0,0,49,34,174,142,70,51,13,3,0,483,31,155,173,115,45,12,0,0,531,68,275
UCL513004,3,8,8,4,3,3,0,0,34,4,11,16,3,8,0,0,0,42,91,489,545,337,226,54,7,0,1753,19,113,85,47,44,10,4,0,314,0,13,24,14,9,0,0,0,66,4,27,26,25,19,5,0,0,102,0,34,26,23,25,4,0,0,107,8,69,93,51,38,16,0,0,280,17,35,30,18,22,3,0,0,121,4,10,5,0,4,0,0,0,23,11,12,20,19,17,0,0,0,80,0,0,0,0,0,0,0,0,4,10,21,23,16,15,0,0,0,86,171,296,281,214,197,52,16,6,1238,340,1123,1190,775,624,157,36,5,4252,6,23,26,8,3,5,0,0,62,0,10,4,0,0,0,0,0,22,11,66,28,19,3,0,0,0,132,0,3,3,3,0,0,0,0,21,0,9,12,8,6,0,0,0,27,37,134,133,73,57,13,6,0,450,24,129,93,61,52,9,0,0,381,46,231
