UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL501001,18672,17173,35838,62096,58310,120412,14183,14097,28273,11790,11658,23452,88207,84225,172436,40209,37362,77573,14793,14574,29367,15414,15118,30535,70500,67148,137652,4769,4474,9247,3880,6507,10382,5942,3479,9419,6813,11730,18544,92,89,181,21494,26286,47776,22077,28276,50358,8885,11691,20578,3674,4604,8280,8700,14243,22936,103,126,223,43437,58933,102367,65054,85345,150395,3100,3369,6473,5204,8065,13265,100,92,196,8407,11530,19938,55039,45146,100184,305871,310569,616442
UCL511001,707,639,1346,2442,2215,4660,511,522,1024,468,395,862,3421,3132,6551,1797,1835,3627,546,558,1104,417,430,847,2750,2823,5573,141,143,283,81,199,279,308,179,487,219,469,688,5,3,7,756,990,1741,95,251,352,82,219,303,35,83,115,177,415,595,0,4,4,388,977,1366,1145,1970,3111,77,84,158,169,241,408,4,0,4,241,325,567,2743,1877,4621,11011,10765,21773
UCL512001,267,223,483,787,752,1534,112,117,230,225,261,476,1120,1132,2243,723,687,1406,99,127,226,245,301,549,1072,1108,2181,67,59,125,33,83,109,135,63,198,105,214,324,3,6,7,339,417,764,42,74,114,35,65,101,13,34,52,66,203,267,0,0,0,153,379,535,498,797,1294,21,31,53,89,105,198,0,0,0,116,138,253,1175,822,2002,4240,4220,8456
UCL512002,215,222,434,686,626,1312,213,216,424,221,217,438,1124,1060,2180,580,504,1082,216,258,475,211,205,409,1009,973,1974,41,32,79,17,60,78,98,61,153,75,165,241,0,0,0,238,312,552,28,68,100,20,72,94,6,29,35,40,163,208,0,0,0,98,334,429,338,647,984,35,34,65,43,87,133,0,0,4,77,122,202,764,671,1431,3512,3695,7206
UCL512003,280,269,546,819,692,1515,360,386,741,176,199,374,1358,1281,2640,638,574,1205,311,383,701,142,164,309,1095,1125,2218,51,87,139,33,61,94,131,104,236,132,280,406,0,5,8,349,535,881,27,73,101,24,83,111,17,37,55,81,197,274,0,0,0,144,391,534,498,924,1422,27,31,63,68,97,168,4,0,0,99,135,236,1602,1469,3077,4930,5203,10136
UCL512004,297,301,593,1027,949,1972,254,233,494,78,89,172,1363,1277,2644,494,535,1036,314,283,593,66,57,123,883,880,1764,43,37,80,37,33,63,138,84,221,141,241,382,5,0,4,353,392,749,64,56,119,70,68,143,13,23,36,86,179,268,3,3,8,234,335,570,591,732,1321,44,21,60,62,103,167,4,4,4,106,124,237,1770,1308,3079,5010,4624,9629
UCL513001,130,108,236,537,506,1040,170,142,314,8,11,22,710,662,1375,308,350,659,124,136,255,9,14,18,439,497,936,6,16,30,13,16,26,34,35,63,63,134,199,0,0,0,121,199,325,19,35,52,20,54,76,0,23,24,44,138,182,0,0,0,83,253,335,202,456,660,15,14,26,17,43,61,0,0,0,28,55,85,1113,1059,2171,2624,2837,5460
UCL513002,77,88,164,332,350,684,37,22,62,32,24,53,399,405,799,283,247,527,6,14,20,65,68,126,348,327,675,20,14,32,5,4,10,36,33,67,18,78,96,0,0,3,79,128,207,10,24,28,8,14,25,3,7,14,18,37,58,0,0,0,37,82,123,118,212,328,9,3,12,15,19,31,0,0,0,19,27,41,549,479,1024,1502,1529,3029
UCL513003,203,191,396,753,723,1472,161,149,306,29,32,58,946,901,1844,418,396,816,147,138,287,6,5,10,575,537,1114,17,17,35,17,17,40,52,49,105,77,162,241,4,0,4,180,239,418,8,20,27,8,31,38,3,14,17,59,119,177,0,0,0,80,179,263,264,422,682,5,7,21,32,61,94,0,0,0,41,73,112,1403,1114,2521,3434,3241,6673
UCL513004,123,132,253,645,690,1338,74,77,153,24,10,38,744,778,1531,432,384,816,5,3,3,8,11,20,440,398,839,14,13,32,14,27,42,48,34,81,81,136,222,3,0,5,169,210,373,6,18,25,9,45,50,6,8,8,55,87,137,0,0,0,75,151,228,243,363,601,24,29,52,30,52,88,0,0,0,60,82,143,1282,1031,2315,2895,2783,5682
