UCL_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
UCL501001,136,402,356,276,560,831,277,790,56,3685,4502,1289,1170,622,3932,8759,5287,25655,773,51988,1040,1666,1510,1225,9614,11223,4581,8031,262,39152,261,239,223,246,2161,2217,835,1708,69,7958,2246,3534,3790,3714,10378,22655,7570,20681,934,75508,469,819,706,570,3901,5435,1868,4035,111,17915,1042,8877,5223,2623,7126,6746,2261,4377,345,38615,783,10223,4778,2020,3767,3524,1303,3485,348,30246,1579,2657,3051,2046,5669,8849,3488,7798,508,35653,125,576,390,288,1389,1570,377,741,30,5488,238,503,512,429,2691,3892,1021,2258,57,11597,127,638,523,334,1098,1705,743,1928,53,7159,974,2781,2230,1931,8780,16037,4302,9172,198,46400,515,2480,2195,1126,2656,3075,849,2164,172,15220,1532,1631,1355,1076,9211,10067,2871,4169,230,32147,631,3906,1960,1411,4933,5397,1821,3438,121,23622,996,3130,3213,2868,7763,6529,1854,3775,242,30366,274,2401,976,676,1590,1490,433,895,77,8819,478,1658,1506,1034,4067,5112,1831,3669,232,19575,823,2448,1766,1323,5477,7478,2050,4964,4280,30609
UCL511001,14,40,22,17,44,69,18,109,0,338,257,55,55,21,135,360,232,1140,39,2301,119,61,67,59,420,905,393,508,6,2538,24,19,15,10,149,162,81,114,0,577,113,122,114,118,353,805,314,1278,37,3255,20,17,14,14,75,121,51,136,0,438,41,241,150,101,232,221,104,151,12,1247,39,335,110,62,94,87,33,87,13,863,48,62,62,52,127,209,98,392,14,1068,0,20,10,3,31,25,11,12,0,112,5,8,3,5,35,40,17,42,0,159,11,14,11,3,30,33,19,42,0,172,15,52,35,24,96,192,59,153,3,620,22,62,42,35,65,67,19,68,4,370,59,40,49,32,222,245,57,95,3,807,20,65,48,44,135,136,49,95,6,598,52,82,122,110,216,174,49,122,3,924,3,34,5,11,19,16,5,15,0,121,28,50,38,31,131,174,77,170,4,709,41,63,29,23,125,151,71,176,129,808
UCL512001,30,52,32,26,47,82,36,122,3,435,35,8,9,4,10,8,18,189,4,283,16,25,21,13,90,147,136,106,6,560,9,0,6,4,47,28,15,10,0,121,54,52,50,64,196,307,128,214,18,1088,6,8,8,4,30,90,39,64,0,249,23,139,85,41,150,128,51,79,8,692,8,147,70,42,62,59,29,55,8,474,20,31,31,27,46,74,49,117,7,404,5,0,0,0,8,8,0,19,0,45,4,4,6,3,16,19,4,14,0,73,0,5,3,10,8,26,7,15,0,75,4,19,25,27,39,60,25,33,0,230,11,40,23,18,25,19,11,10,4,170,39,30,18,17,107,184,41,55,0,496,5,50,27,36,88,75,27,40,4,357,27,56,54,64,128,107,24,48,8,504,5,22,15,6,10,8,0,9,0,68,14,26,19,14,56,103,27,49,6,310,21,30,20,16,29,43,15,45,55,279
UCL512002,8,20,16,15,37,47,26,58,0,230,120,16,23,3,20,68,54,439,7,757,15,19,19,16,85,127,59,95,0,438,3,4,5,4,22,24,9,29,0,107,51,47,62,66,160,312,110,294,18,1121,0,8,10,0,13,29,4,23,0,95,23,119,60,48,104,102,48,67,3,578,29,167,65,38,88,96,26,60,10,578,19,39,27,23,23,26,23,79,3,270,4,6,5,0,9,3,0,3,0,28,0,0,0,6,11,21,8,16,0,59,3,5,4,3,5,20,4,15,0,70,13,35,13,14,27,45,16,39,0,199,11,39,27,12,33,40,17,28,4,217,22,14,14,3,68,103,22,35,0,287,13,22,16,10,28,48,23,63,0,219,19,44,44,43,71,62,21,32,0,338,0,15,8,3,16,12,7,7,0,64,5,23,9,10,40,68,27,41,0,217,7,21,9,18,32,39,20,41,35,232
UCL512003,30,44,36,26,16,65,38,105,7,370,91,26,26,6,40,84,94,414,21,797,8,11,11,9,45,73,37,88,3,282,3,4,0,3,37,27,14,31,4,127,53,61,41,49,154,303,117,321,17,1115,13,10,10,7,36,80,51,86,0,294,14,124,79,64,135,117,54,54,0,645,8,147,53,33,49,58,15,37,7,405,45,37,39,36,59,159,85,291,9,756,0,11,3,4,11,15,0,12,0,52,0,4,3,0,14,19,6,11,0,60,0,10,3,0,12,11,5,21,0,61,5,19,14,17,46,76,23,80,5,290,18,24,31,22,24,31,17,25,6,200,31,27,14,10,136,156,35,75,3,495,11,31,23,25,73,107,28,49,0,347,20,34,46,42,107,73,24,56,4,415,6,16,5,3,7,4,3,0,0,44,15,20,15,8,57,109,25,98,6,349,9,25,27,20,46,57,22,79,57,345
UCL512004,0,0,0,0,3,7,0,8,0,18,169,93,70,20,108,310,345,1956,52,3124,16,6,6,6,31,73,125,209,5,478,0,5,0,4,27,29,21,44,3,136,22,19,21,20,56,188,75,419,6,841,3,6,10,5,23,54,37,152,0,284,11,81,44,29,50,71,22,54,5,364,6,71,53,13,48,26,19,42,3,284,23,26,20,21,54,124,50,262,12,600,0,6,0,0,6,3,4,9,0,28,0,0,0,0,4,16,0,5,0,29,6,8,3,4,9,19,3,72,0,128,0,7,9,7,42,62,15,116,9,273,6,13,9,10,14,6,3,26,0,98,19,14,0,5,66,150,38,80,3,376,6,12,11,4,56,52,24,28,7,196,3,18,11,17,68,69,22,28,0,231,0,9,7,3,3,3,0,3,0,28,25,13,9,9,32,75,48,217,9,424,16,17,17,11,38,71,32,127,73,401
UCL513001,5,11,6,3,3,19,0,58,0,94,27,5,0,0,4,14,8,116,0,187,0,6,4,0,28,13,9,19,0,73,5,0,6,0,7,26,8,23,0,72,13,20,21,16,50,117,59,152,4,447,4,0,3,0,7,10,4,15,0,47,4,45,15,8,43,62,20,44,0,251,7,38,23,17,70,47,20,57,3,284,12,19,17,18,54,73,16,98,5,321,0,0,0,4,11,8,0,6,0,31,0,0,0,0,0,4,0,7,0,17,0,0,5,0,3,11,3,16,0,39,4,4,11,9,21,26,5,22,0,92,6,22,20,9,24,26,6,25,0,131,31,11,4,8,74,108,28,69,7,336,7,14,10,8,66,56,21,27,4,208,18,16,21,21,107,71,17,47,4,319,0,11,3,0,8,4,8,13,0,45,3,10,3,9,19,34,19,56,0,155,6,15,10,7,27,38,9,43,52,213
UCL513002,21,22,12,11,17,68,29,104,7,282,29,3,3,3,8,12,8,91,6,152,5,10,6,0,18,19,10,33,0,92,4,0,0,0,11,26,4,13,0,54,14,14,15,13,57,80,23,98,6,327,14,6,5,3,14,56,40,36,0,168,9,33,19,11,35,34,14,13,3,175,5,35,12,3,16,16,4,25,0,125,27,9,16,3,39,93,35,111,12,341,0,0,0,0,0,0,0,0,0,8,4,0,0,0,4,7,4,9,0,26,0,0,3,0,0,0,0,8,0,16,0,0,4,9,7,11,4,10,0,45,0,11,3,5,9,7,0,10,0,43,10,3,0,0,29,44,15,16,0,129,9,7,3,10,16,29,10,21,0,109,0,4,7,6,21,20,6,14,0,77,0,0,0,0,0,0,0,0,0,8,3,3,7,9,16,46,26,27,0,148,6,14,6,6,17,23,9,29,26,130
UCL513003,3,0,0,0,0,0,0,0,0,9,129,40,22,15,99,266,232,590,26,1418,4,11,0,4,22,80,35,62,0,226,6,3,3,5,17,26,23,63,0,152,29,31,21,17,36,120,92,482,14,846,4,4,0,0,11,19,13,53,0,105,6,53,14,14,31,36,13,41,0,205,5,48,16,12,33,39,19,47,3,217,14,18,16,11,47,70,35,149,3,358,6,0,0,0,3,8,0,0,0,14,0,0,0,0,0,4,0,0,0,5,6,3,4,0,13,21,11,34,0,88,0,4,8,4,9,28,10,51,0,109,4,9,12,4,23,20,23,54,0,146,20,9,3,6,45,100,42,65,0,287,3,3,0,9,27,49,24,16,0,131,5,5,4,11,16,24,4,12,5,86,0,7,0,0,9,6,4,3,0,23,0,11,0,7,12,40,18,92,0,186,14,6,6,4,25,73,35,125,35,333
UCL513004,0,0,0,0,6,0,0,0,0,8,112,51,44,9,85,149,183,812,33,1483,12,5,0,6,9,31,22,146,3,240,0,3,0,4,9,26,12,51,0,102,7,15,4,19,29,57,44,210,12,402,3,5,0,4,12,24,24,84,0,149,6,35,18,3,23,28,11,28,5,153,0,27,13,11,8,19,3,38,0,112,43,29,9,12,43,75,46,351,8,620,0,0,3,0,0,6,0,0,0,6,0,0,0,0,4,0,0,0,0,3,4,4,3,0,6,5,14,26,0,65,0,0,3,0,10,27,4,28,4,78,8,5,7,4,19,13,6,27,0,83,12,13,0,7,48,49,21,37,8,194,9,4,0,6,26,36,7,13,0,106,8,8,5,5,22,28,6,14,0,100,0,4,0,0,0,5,0,0,0,9,7,12,3,3,16,19,9,85,0,148,17,16,3,3,14,35,10,77,42,212
