UCL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL501001,133,272,17,21,34,309,290,449,1050,28161,20268,2610,51041,1959,2149,4104,55145,27632,809,83590
UCL511001,3,13,0,0,0,13,16,10,39,1103,918,141,2161,75,89,162,2327,1169,19,3519
UCL512001,3,3,0,0,0,3,7,8,18,378,392,46,809,22,26,42,859,518,18,1390
UCL512002,0,4,0,0,0,4,0,8,11,346,368,40,757,13,14,34,787,340,8,1135
UCL512003,0,3,0,0,0,3,9,17,32,466,363,57,889,47,47,90,982,616,32,1628
UCL512004,6,11,0,0,0,11,3,26,41,466,173,39,680,24,17,36,714,304,34,1054
UCL513001,0,7,0,0,0,6,10,20,37,243,117,21,381,10,12,24,404,203,25,633
UCL513002,0,0,0,0,0,0,0,7,8,127,89,15,232,4,12,16,244,157,10,411
UCL513003,0,0,0,0,0,0,0,5,8,203,64,17,284,5,10,12,301,65,4,371
UCL513004,0,5,0,0,0,5,7,12,22,221,57,23,305,13,10,26,325,152,15,494
UCL513005,3,3,0,0,0,3,0,5,11,172,141,20,331,20,21,42,372,189,3,564
UCL514001,0,0,0,0,0,0,0,0,4,65,72,6,150,18,9,27,178,162,3,338
UCL514002,0,4,0,0,0,4,0,0,4,72,95,13,178,0,4,6,184,48,0,235
UCL514003,0,0,0,0,0,0,0,0,3,105,135,13,257,5,5,7,268,79,0,346
UCL514004,0,0,0,0,0,0,6,3,11,92,82,9,182,10,11,19,202,147,4,354
UCL515001,0,0,0,0,0,0,0,0,0,5,15,0,18,3,0,0,20,8,0,28
UCL515002,0,0,0,0,0,0,0,0,0,10,20,4,34,0,3,3,35,6,0,43
UCL515003,0,0,0,0,0,0,0,0,0,24,28,0,53,0,5,5,51,24,0,84
UCL515004,0,0,0,0,0,0,0,0,0,47,31,0,85,4,5,4,84,37,0,121
UCL515005,0,0,0,0,0,0,0,0,0,37,37,5,82,3,0,4,87,42,0,127
UCL515006,0,0,0,0,0,0,7,6,8,52,34,3,87,4,5,16,98,80,5,187
UCL515007,0,0,0,0,0,0,0,0,0,17,28,0,44,0,0,0,45,8,0,55
UCL515008,0,0,0,0,0,0,0,0,0,6,5,0,12,0,0,0,18,3,0,16
UCL515009,0,0,0,0,0,0,0,0,0,25,59,5,90,0,0,4,93,35,3,130
UCL515010,0,0,0,0,0,0,0,0,0,24,7,3,41,7,0,7,48,79,0,123
UCL515011,0,0,0,0,0,0,0,0,0,18,33,6,51,3,3,4,60,62,0,121
UCL515012,0,0,0,0,0,0,0,0,0,38,28,0,68,0,0,0,68,25,0,94
UCL515013,0,0,0,0,0,0,0,0,0,26,19,0,50,0,4,4,50,13,0,68
UCL515014,0,0,0,0,0,0,0,0,0,10,6,5,18,0,0,5,21,36,0,64
UCL515015,0,0,0,0,0,0,0,0,4,34,28,0,56,0,4,8,63,55,3,117
UCL515016,0,0,0,0,0,0,0,0,0,15,9,5,29,0,7,4,39,8,0,50
UCL515017,0,0,0,0,0,0,0,0,0,9,12,3,18,0,0,0,22,14,0,31
UCL515018,0,0,0,0,0,0,0,0,0,29,11,8,45,3,3,3,50,22,0,73
UCL515019,0,0,0,0,0,0,0,5,4,26,31,3,59,5,13,13,77,72,5,151
UCL515020,0,4,0,0,0,4,6,3,18,73,28,4,103,3,4,9,115,91,9,216
UCL515021,0,0,0,0,0,0,3,0,3,12,22,0,39,0,0,0,39,12,0,47
UCL515022,0,0,0,0,0,0,5,0,5,42,47,10,99,9,7,13,112,68,0,179
UCL515023,0,0,0,0,0,5,5,3,11,19,19,9,51,0,7,7,58,35,4,100
UCL515024,0,0,0,0,0,0,0,3,3,11,19,4,34,4,0,4,38,34,5,74
UCL515025,0,0,0,0,0,0,6,0,0,19,30,0,49,0,3,0,54,37,0,89
UCL515026,0,0,0,0,0,0,3,0,3,31,23,3,63,5,0,5,67,41,0,100
UCL515027,0,0,0,0,0,0,0,3,7,50,43,6,100,14,5,18,120,58,4,186
UCL515028,0,0,0,0,0,0,0,0,0,65,12,9,86,0,0,3,87,10,0,99
UCL515029,0,0,0,0,0,0,0,0,0,22,4,4,28,0,0,0,28,0,0,28
UCL515030,0,0,0,0,0,0,0,0,0,53,46,4,97,9,8,14,114,72,4,189
UCL515031,0,0,0,0,0,0,0,0,0,27,34,0,63,5,0,5,68,41,0,108
UCL515032,0,0,0,0,0,0,3,0,3,10,10,3,22,0,0,3,25,11,0,44
UCL515033,0,0,0,0,0,0,0,0,0,27,5,3,42,0,0,0,43,0,0,42
UCL515034,0,0,0,0,0,0,0,0,0,36,21,0,65,3,4,9,69,49,0,120
UCL515035,0,0,0,0,0,0,0,0,0,14,12,4,26,5,4,3,30,28,0,60
UCL515036,0,0,0,0,0,0,0,0,5,22,25,4,49,0,9,10,56,41,0,95
UCL515037,0,0,0,0,0,0,0,0,0,20,8,3,31,0,0,0,30,0,0,38
UCL515038,0,0,0,0,0,0,0,0,3,36,24,3,58,6,7,8,63,41,0,103
UCL521001,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,5,10,0,20
UCL521002,0,0,0,0,0,0,0,0,4,10,12,0,17,0,0,0,18,12,0,37
UCL521003,0,0,0,0,0,0,0,0,0,7,6,0,14,4,0,3,18,18,0,35
UCL521004,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,8,55,0,66
UCL521005,0,0,0,0,0,0,0,0,0,16,9,0,26,0,0,3,28,20,0,47
UCL521006,0,0,0,0,0,0,0,0,3,4,11,3,20,6,0,6,23,17,0,38
UCL521007,0,0,0,0,0,0,0,0,0,10,10,0,17,0,3,3,20,14,0,33
