UCL_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
UCL501001,53482,283,20,4,0,0,11,4093,57892,54687,2906,1036,238,26,3,10,4633,63540,47857,9454,5837,1803,449,107,46,4966,70520,33053,17772,17359,5613,1610,418,232,4365,80424,18385,15603,28253,10331,2881,838,514,3771,80585,11765,11064,27512,11791,3440,1028,709,2797,70109,10136,9930,26580,12461,3723,1155,790,2756,67538,9544,9318,26053,12399,3899,1217,828,2611,65867,8313,7846,23824,12684,4266,1156,801,2433,61322,6693,6611,21823,12996,4514,1241,683,2163,56717,5258,5571,19816,12187,4319,1138,683,2169,51141,3684,4215,17561,10909,4074,1080,621,2338,44473,2226,2378,10789,8144,3340,994,629,2202,30707,1410,1430,6177,6138,3353,1150,778,2208,22639,1390,1474,5439,5700,3767,1665,1473,3652,24562,267884,105860,238085,123391,43655,13199,8800,47161,848032
UCL511001,2161,18,0,0,0,0,0,153,2329,1437,237,67,16,0,0,0,133,1888,1141,440,302,112,41,11,3,179,2225,685,508,757,311,87,36,11,147,2532,392,406,1002,477,135,44,25,113,2589,279,343,954,491,187,53,30,113,2449,288,286,997,524,188,61,31,105,2473,282,328,1000,548,203,59,25,118,2574,259,226,913,574,206,46,30,116,2368,207,201,925,635,250,78,43,116,2459,159,125,766,583,206,65,47,119,2067,137,125,735,505,206,57,29,108,1909,69,61,412,374,188,63,29,104,1309,40,50,222,238,151,75,39,94,913,26,34,143,226,177,98,74,158,942,7558,3371,9198,5613,2233,753,437,1868,31028
UCL512001,855,6,0,0,0,0,0,78,937,549,79,21,8,0,0,0,55,713,446,146,126,44,13,3,0,37,813,241,151,254,99,29,13,8,57,850,154,125,322,163,58,20,13,39,899,130,124,303,168,68,22,15,43,877,142,114,386,205,88,24,22,44,1019,150,122,359,238,98,27,22,55,1072,156,120,373,216,83,29,12,67,1056,163,115,414,232,105,29,19,62,1138,138,100,382,268,100,21,20,59,1084,110,73,318,257,100,25,20,68,977,45,57,248,193,83,30,28,61,746,32,23,135,163,120,45,34,52,597,26,36,117,152,111,53,35,80,623,3342,1383,3755,2398,1052,353,248,856,13395
UCL512002,694,0,0,0,0,0,0,61,764,405,44,10,0,0,0,0,42,503,322,124,79,30,4,0,0,59,621,240,134,199,78,21,6,0,39,714,132,140,335,157,44,10,7,39,865,107,106,342,197,60,17,7,37,863,127,111,368,215,64,19,11,34,942,121,136,374,188,59,17,15,33,944,139,87,303,209,89,16,10,43,893,124,92,360,270,84,19,11,53,1011,96,86,392,268,85,25,10,46,1007,75,83,338,260,105,29,9,65,964,50,33,242,184,71,28,0,49,669,33,23,114,131,81,27,11,47,468,33,35,102,128,130,51,34,57,570,2701,1233,3568,2304,903,254,138,700,11800
UCL512003,868,10,0,0,0,0,0,130,1010,647,100,39,10,0,0,3,117,920,473,149,157,51,18,3,0,108,960,266,198,227,132,58,14,6,98,1007,194,139,321,188,69,21,20,108,1057,115,125,358,206,88,32,26,105,1051,131,136,394,230,65,26,34,85,1107,144,139,396,254,91,34,19,95,1172,107,102,344,269,104,34,17,88,1068,79,96,334,258,129,28,31,84,1044,64,53,343,239,99,21,20,76,917,26,33,259,226,101,30,10,75,766,37,30,136,149,101,34,14,61,569,17,21,72,116,78,37,24,57,430,11,22,55,98,84,45,49,85,449,3199,1364,3451,2425,1082,355,278,1371,13528
UCL512004,655,15,0,0,0,0,0,103,772,637,111,40,6,4,0,5,112,912,569,188,162,54,9,0,0,145,1128,334,217,304,138,47,15,3,109,1181,186,164,367,190,84,21,18,118,1156,123,125,302,171,81,31,15,88,932,132,111,291,171,96,25,14,81,915,123,107,270,180,97,19,17,97,911,83,82,239,212,86,30,18,88,843,54,62,207,152,82,40,18,72,692,28,28,128,124,66,19,10,58,463,21,15,91,83,37,20,11,37,325,11,15,37,49,28,13,12,14,175,11,14,19,31,27,7,12,21,143,0,15,19,16,15,20,20,30,138,2956,1274,2474,1585,764,278,166,1186,10682
UCL513001,344,0,0,0,0,0,0,87,435,250,33,26,0,0,0,0,70,374,390,48,68,17,5,0,0,111,646,313,108,130,49,15,7,8,142,775,187,104,183,80,41,9,3,100,716,119,62,134,118,41,18,12,85,595,85,57,162,80,29,14,10,84,523,97,64,128,76,35,10,14,80,499,63,60,111,78,20,10,16,66,430,58,31,88,80,32,15,9,46,362,33,24,54,53,28,7,10,38,246,13,15,34,27,16,5,8,19,133,8,9,21,14,3,7,8,17,82,6,0,7,3,4,3,10,6,35,5,0,3,4,4,0,6,6,31,1972,618,1148,689,283,112,108,958,5887
UCL513002,241,3,0,0,0,0,0,31,283,188,31,8,3,0,0,0,25,254,154,46,47,19,6,0,0,34,302,94,66,90,33,15,3,0,31,326,45,30,104,60,28,9,6,43,327,40,36,99,44,32,16,8,26,297,37,36,116,61,23,3,4,31,318,32,34,103,74,23,5,7,25,301,31,35,132,73,31,13,6,17,339,21,21,106,91,35,11,3,33,326,24,23,96,72,36,5,6,23,277,16,16,93,74,35,8,3,27,274,3,4,62,74,44,14,7,36,245,3,4,32,40,35,10,14,25,162,4,0,25,32,36,22,19,24,157,943,389,1109,760,368,123,89,411,4191
UCL513003,350,3,0,0,0,0,0,67,417,278,39,12,3,0,0,0,71,408,383,104,70,21,5,0,0,115,706,264,173,214,103,24,11,0,149,931,143,120,312,143,45,15,4,125,910,82,69,222,126,50,4,4,97,661,66,64,199,132,46,14,11,80,609,54,56,150,90,39,14,15,72,479,28,27,101,68,27,9,8,48,314,16,25,62,43,28,8,8,37,227,7,6,32,23,13,6,0,12,106,4,0,11,15,10,3,0,13,62,0,3,3,3,3,3,3,4,22,5,0,0,0,0,5,0,0,14,0,0,0,6,0,0,0,0,8,1674,701,1376,783,296,86,63,889,5868
UCL513004,278,11,0,0,0,0,0,80,377,269,49,16,3,0,0,0,77,413,348,106,77,30,13,6,0,117,697,223,159,201,92,29,10,4,117,838,139,119,211,125,51,15,10,115,778,84,69,149,74,43,18,7,71,519,75,63,105,84,41,16,12,73,465,50,39,84,77,44,19,12,83,406,36,41,104,72,43,23,14,60,389,25,14,63,52,32,7,10,35,241,13,10,43,26,14,3,3,22,144,4,0,16,8,15,8,4,18,75,6,0,4,3,4,3,3,0,20,6,0,0,3,0,6,0,7,21,0,0,0,0,0,0,6,3,12,1553,680,1073,660,333,135,80,882,5397
