UCL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL501001,37,1900,862,350,2262,0.8,1863,2.6
UCL511001,39,1625,769,320,2003,0.7,1598,2.5
UCL512001,44,1517,703,300,1715,0.7,1307,2.3
UCL512002,45,1733,703,360,1723,0.7,1347,2.4
UCL512003,40,1517,766,250,1954,0.7,1485,2.4
UCL512004,34,1600,1204,300,2825,0.8,2325,2.6
UCL513001,34,2167,1164,330,2623,0.9,2222,2.7
UCL513002,41,1549,781,270,1988,0.7,1453,2.3
UCL513003,32,1972,1570,320,3497,0.9,3194,2.8
UCL513004,32,1500,1542,228,3278,0.9,2882,2.7
UCL513005,35,1842,762,340,1987,0.7,1697,2.8
UCL514001,43,1213,565,250,1489,0.7,1148,2.3
UCL514002,41,1907,886,450,2082,0.7,1772,2.6
UCL514003,38,1649,844,385,1948,0.8,1635,2.6
UCL514004,42,1300,653,250,1574,0.7,1246,2.3
UCL515001,63,1538,541,280,1145,0.6,845,1.9
UCL515002,44,1817,813,308,2050,0.7,1754,2.4
UCL515003,52,1300,565,292,1397,0.7,1022,2.2
UCL515004,30,1733,883,340,1914,0.7,1700,2.8
UCL515005,42,1430,694,320,1698,0.7,1394,2.5
UCL515006,40,1300,771,220,1854,0.8,1375,2.3
UCL515007,38,1950,891,420,2144,0.8,1965,2.8
UCL515008,35,2383,1698,480,3941,0.9,3664,2.9
UCL515009,49,1400,585,300,1375,0.7,1021,2.1
UCL515010,35,1674,843,181,1927,0.9,1712,2.5
UCL515011,45,1408,617,300,1520,0.7,1254,2.4
UCL515012,32,1733,1030,330,2399,0.7,2166,2.8
UCL515013,36,2090,967,340,2252,0.9,2029,2.5
UCL515014,33,1625,600,100,1183,1,1528,2.6
UCL515015,44,1500,704,275,1756,0.8,1334,2.4
UCL515016,52,1670,642,320,1490,0.6,1181,2.2
UCL515017,53,1500,640,255,1415,0.7,1100,2.1
UCL515018,36,1000,1017,200,2570,0.8,2220,2.4
UCL515019,38,1040,693,200,1582,0.8,1309,2.5
UCL515020,32,1738,1127,256,2278,1,1987,2.6
UCL515021,49,1603,717,219,1945,0.8,1431,2.4
UCL515022,41,1149,673,250,1578,0.7,1201,2.2
UCL515023,40,1000,741,220,1839,0.7,1357,2.2
UCL515024,41,989,729,230,1741,0.7,1309,2.3
UCL515025,45,1083,573,230,1311,0.7,967,2.3
UCL515026,32,1950,873,365,2097,0.8,2007,2.9
UCL515027,42,1122,713,240,1700,0.7,1218,2.2
UCL515028,31,1032,1624,110,3359,0.9,2995,2.7
UCL515029,35,1563,1969,30,3558,0.8,3215,2.5
UCL515030,44,1600,559,300,1574,0.7,1194,2.5
UCL515031,54,1537,609,255,1539,0.7,1056,2.1
UCL515032,39,2200,861,350,2459,0.8,2314,3
UCL515033,31,1200,1768,48,3426,0.9,3150,2.9
UCL515034,39,1730,670,320,1681,0.7,1305,2.5
UCL515035,52,888,621,196,1566,0.6,1052,2
UCL515036,47,1500,594,270,1567,0.7,1188,2.3
UCL515037,31,834,1680,115,3705,0.9,3374,2.9
UCL515038,56,1348,554,260,1403,0.7,1011,2.1
UCL521001,45,1733,767,263,2259,0.7,1933,2.6
UCL521002,48,1733,625,283,1557,0.8,1399,2.6
UCL521003,60,953,492,200,1212,0.7,866,1.9
UCL521004,26,0,305,80,676,1.2,912,3.7
UCL521005,39,1500,788,280,2097,0.7,1608,2.5
UCL521006,48,1608,723,290,1886,0.8,1519,2.5
UCL521007,50,900,575,220,1276,0.7,930,2
UCL521008,51,1000,458,200,1388,0.7,1017,2.1
UCL521009,52,748,655,160,1525,0.7,1046,2.2
UCL521010,42,1300,549,236,1463,0.8,1205,2.4
UCL521011,36,1668,961,310,2439,0.8,2215,2.8
UCL521012,51,1630,783,280,2103,0.8,1380,2
UCL521013,40,1846,754,373,2086,0.8,1780,2.7
UCL521014,49,927,771,250,1850,0.7,1302,2.1
UCL521015,52,867,781,185,1805,0.7,1170,2
UCL521016,37,1207,792,200,1984,0.7,1547,2.3
UCL521017,35,1092,981,233,2221,0.8,1850,2.6
UCL521018,40,1618,737,270,1974,0.7,1705,2.5
UCL521019,51,1387,699,220,1441,0.8,1006,1.9
UCL521020,52,1733,553,250,1552,0.7,1296,2.6
UCL521021,40,1699,746,305,1840,0.7,1603,2.6
UCL521022,45,1733,1062,420,2343,0.8,1933,2.6
UCL521023,39,680,697,200,2012,0.7,1458,2.6
UCL521024,30,1600,459,125,902,1.1,1225,2.9
UCL521025,42,1170,873,250,2317,0.7,1758,2.1
UCL521026,41,1950,908,313,2308,0.8,2054,2.7
UCL521027,34,900,922,170,2356,0.7,1839,2.2
UCL521028,53,745,527,160,1514,0.7,890,2.1
UCL521029,47,1000,766,200,1697,0.7,1185,2.2
UCL521030,53,1731,732,250,1437,0.6,1036,1.9
UCL521031,39,683,914,167,1642,0.9,1442,2.3
UCL521032,32,781,541,110,1286,0.9,1261,2.5
UCL521033,43,535,711,175,1375,0.8,1204,2
UCL521034,47,2000,752,340,2011,0.7,1827,2.7
UCL521035,56,1159,610,256,1343,0.7,1042,2
UCL521036,52,600,529,150,1050,0.7,771,1.8
UCL521037,41,1196,497,270,1254,0.7,997,2.4
UCL521038,57,1100,473,200,1232,0.7,868,2.1
UCL521039,50,1547,736,350,1797,0.8,1325,2.5
UCL521040,35,1825,1392,240,3075,0.8,2596,2.5
UCL521041,30,0,2105,28,3042,1,2388,2.9
UCL521042,48,1213,660,270,1419,0.7,1022,2.1
UCL521043,49,1733,828,359,2218,0.6,1862,2.4
UCL521044,54,867,491,200,1093,0.7,845,2
UCL521045,59,758,518,130,1231,0.6,969,2
UCL521046,34,1500,376,178,1009,1,1097,2.9
UCL521047,50,758,716,150,1924,0.6,1304,1.9
UCL521048,55,1300,547,280,1183,0.7,888,2
UCL521049,28,0,429,63,1018,1.2,1581,3.5
UCL521050,41,867,720,180,1395,0.7,1136,2.1
UCL521051,43,1192,673,250,1633,0.8,1437,2.4
