UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL515031,5,3,4,0,8,10,0,3,0,28,7,4,0,8,7,8,6,10,10,63,58,191,117,87,151,174,54,209,36,1077
UCL515032,0,8,5,4,11,10,0,7,0,38,3,7,7,3,8,11,0,5,10,47,56,93,100,60,116,143,49,148,21,775
UCL515033,0,13,3,0,5,6,4,4,0,36,4,4,0,0,3,9,0,10,12,43,132,144,104,62,110,224,113,546,38,1466
UCL515034,0,11,3,3,6,5,0,9,0,43,0,5,0,0,3,3,0,15,8,40,57,158,146,81,186,188,53,244,23,1137
UCL515035,4,3,0,0,0,5,0,4,0,30,0,5,0,0,5,4,5,3,7,30,42,85,61,42,65,87,32,94,11,521
UCL515036,0,3,3,0,0,3,4,4,0,26,0,5,7,4,0,8,5,3,10,40,63,136,108,68,148,107,60,181,22,894
UCL515037,0,5,0,0,0,0,0,0,0,18,0,8,3,3,3,11,3,10,3,30,70,92,51,58,95,160,133,310,18,981
UCL515038,0,9,3,0,3,13,3,4,0,30,0,3,0,0,9,3,0,4,12,37,52,126,107,84,120,134,50,175,30,875
UCL521001,0,4,0,3,0,0,0,0,0,18,0,0,0,0,5,0,0,0,0,8,24,38,23,18,46,51,20,49,0,264
UCL521002,6,4,0,0,3,9,0,5,0,29,0,6,0,0,7,5,0,3,3,20,19,56,30,25,58,50,11,62,6,322
