UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL521026,3,6,0,0,0,6,0,0,0,12,3,0,0,8,10,0,4,0,0,25,9,4,50,10,15,4,11,10,0,116,0,0,0,0,0,0,0,0,0,11,3,0,0,0,3,5,0,0,0,12,0,4,0,0,0,0,0,0,0,5,0,0,0,5,0,0,4,0,0,14,32,52,60,29,35,10,23,13,9,263
UCL521027,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,6,4,34,7,10,3,18,0,0,75,0,0,0,5,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,15,35,8,17,6,27,4,0,123
UCL521028,0,6,0,3,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,8,5,0,26,10,6,0,9,9,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,15,18,28,24,16,0,12,15,5,132
UCL521029,0,0,0,4,0,0,0,0,0,14,5,0,3,4,0,0,0,3,0,17,13,0,27,4,4,0,10,14,0,74,0,0,0,0,0,4,0,3,0,8,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,5,0,0,4,0,0,3,3,4,0,14,36,34,36,19,11,8,21,35,0,202
UCL521030,9,3,0,5,0,0,0,0,0,18,3,4,4,8,0,0,0,0,0,18,11,5,24,0,4,3,3,12,0,61,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,4,0,10,0,0,0,0,0,0,0,3,0,4,5,3,0,0,0,0,0,10,0,23,26,23,29,15,9,9,18,50,8,187
UCL521031,0,0,0,3,0,0,0,3,0,10,3,0,0,6,0,0,3,0,0,13,9,0,24,6,3,0,10,9,3,60,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,8,20,22,30,18,14,0,13,14,8,141
UCL521032,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,6,0,0,0,11,5,7,7,0,5,3,3,3,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,17,31,9,11,8,9,6,9,7,111
UCL521033,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,8,8,4,7,0,5,0,3,3,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,20,7,10,11,4,5,8,3,86
UCL521034,0,3,3,4,4,0,0,0,0,16,0,0,0,3,6,0,3,0,0,17,10,0,36,12,12,4,15,9,8,108,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,0,3,4,4,20,30,29,50,26,17,3,22,16,14,209
UCL521035,0,5,6,5,0,0,0,0,0,13,0,0,4,3,0,0,0,3,0,12,7,0,18,5,6,0,6,11,0,57,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,4,20,27,23,19,12,0,9,20,0,132
