UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL501001,9981,32199,9057,13073,1560,79482,16370,7444,50383,20292,25134,3505,123130,996,408,4099,2030,3529,360,11419,1468,617,5063,4951,16673,882,29645,2823,627,7896,4340,10928,3898,30508,81356,33568,240616,115276,237069,24631,732509
UCL511001,344,1014,334,703,47,2627,334,202,1485,689,1460,119,4287,0,5,38,33,107,9,199,37,21,106,138,736,21,1058,18,10,88,86,426,127,758,1011,824,4911,3356,12470,811,23383
UCL512001,146,418,160,255,12,1097,169,100,670,384,654,59,2039,13,0,18,34,50,3,116,14,12,40,68,304,14,449,4,6,28,34,128,34,236,450,364,1944,1530,4524,306,9119
UCL512002,123,375,127,222,10,928,105,92,479,250,458,45,1417,0,0,14,9,53,4,82,8,11,36,39,258,5,354,5,3,29,31,120,35,227,306,334,1694,1270,4123,290,8022
UCL512003,137,504,171,359,27,1302,157,114,640,347,557,57,1876,3,4,18,10,33,6,66,11,8,34,69,341,15,475,7,3,25,42,160,43,285,418,369,1903,1472,4958,336,9461
UCL512004,102,383,89,211,18,898,124,68,394,207,257,36,1088,0,0,13,18,32,0,70,6,4,24,53,391,13,492,9,5,30,34,196,55,333,560,278,1911,1199,5053,370,9374
UCL513001,91,294,93,162,20,736,139,98,430,205,239,51,1157,9,4,24,18,27,3,78,8,7,31,35,118,3,206,11,5,50,21,95,56,237,387,285,1489,871,1964,260,5254
UCL513002,54,161,56,85,8,384,19,21,124,65,138,11,384,0,0,3,0,6,5,16,0,0,4,26,150,3,184,0,0,20,11,58,19,110,82,108,546,411,1538,146,2835
UCL513003,79,282,71,129,9,643,66,50,207,84,106,15,533,0,0,11,11,20,6,50,6,3,32,34,163,7,251,22,9,42,36,178,30,319,332,230,1328,891,3241,215,6246
UCL513004,51,214,44,109,10,459,47,37,219,98,144,18,557,0,4,5,8,9,0,25,7,0,15,22,117,8,182,5,4,25,11,105,44,194,199,143,970,749,2834,204,5107
UCL513005,40,106,40,94,9,317,15,25,145,127,174,19,513,5,0,3,6,20,0,37,4,0,15,34,110,0,156,3,4,13,16,58,25,114,102,104,518,600,1686,136,3150
UCL514001,18,51,21,74,10,178,8,6,45,41,113,4,213,0,0,0,0,11,0,9,0,0,3,14,64,0,78,0,0,3,8,39,5,48,20,34,159,175,1129,55,1563
UCL514002,35,108,21,42,6,236,33,26,135,65,51,9,315,0,0,13,19,9,3,43,0,0,12,15,57,3,91,0,0,28,23,42,9,116,129,99,747,474,1030,94,2578
UCL514003,33,132,25,67,3,297,39,31,122,61,67,4,322,0,0,11,9,17,0,37,3,3,17,11,70,4,105,9,4,18,18,41,15,101,149,111,769,442,1106,90,2667
UCL514004,28,62,20,43,4,183,27,12,84,53,93,9,279,0,0,0,0,4,0,11,0,0,4,3,62,5,82,0,0,3,3,30,11,48,82,62,265,197,817,77,1500
UCL515001,6,11,3,9,0,23,5,3,0,12,11,0,40,0,0,0,0,0,0,9,0,0,0,0,4,0,7,0,0,3,3,5,0,11,15,11,45,54,123,14,258
UCL515002,10,30,8,13,4,62,4,4,16,12,24,0,65,0,0,0,0,5,0,6,0,0,0,6,6,0,12,0,0,0,0,5,0,8,13,17,74,63,236,11,414
UCL515003,6,36,14,21,0,76,4,6,37,25,37,0,111,0,0,3,4,0,0,11,0,0,6,0,22,0,25,3,0,0,0,7,3,13,22,25,132,107,307,27,620
UCL515004,7,14,5,19,0,45,3,0,21,14,38,0,78,0,0,0,0,3,0,3,0,0,0,6,33,0,36,0,0,3,7,13,0,28,17,14,108,74,416,7,643
UCL515005,12,23,11,23,0,71,3,7,22,23,62,5,120,0,0,0,0,3,0,8,0,0,3,4,28,0,38,0,0,0,0,12,6,21,12,29,91,92,377,29,622
UCL515006,11,51,14,33,0,122,12,16,51,21,57,9,163,0,0,0,4,0,0,9,0,0,3,3,29,0,43,0,0,3,6,12,12,38,44,40,212,138,519,65,1013
UCL515007,18,57,7,20,0,100,7,6,45,16,16,3,96,0,0,4,0,0,0,5,0,0,7,6,11,0,31,0,0,6,5,8,4,24,34,38,259,107,301,21,769
UCL515008,6,18,5,11,0,42,0,3,11,5,3,0,26,0,0,5,0,0,0,5,0,0,0,0,6,0,11,0,0,7,3,8,0,16,17,18,97,72,290,19,512
UCL515009,25,50,18,26,4,130,17,12,41,25,33,9,140,0,0,5,0,4,0,15,0,0,3,7,13,3,28,4,0,4,0,5,3,19,62,59,203,131,310,32,793
UCL515010,16,43,5,21,0,103,21,8,59,19,51,6,160,0,0,9,0,3,0,17,0,0,5,6,19,0,32,0,0,3,0,12,8,26,43,39,171,93,304,28,682
UCL515011,7,21,9,16,0,61,0,10,22,17,47,5,102,0,0,0,0,4,0,5,4,0,4,0,21,0,25,0,0,3,0,10,3,18,14,24,119,113,359,30,666
