UCL_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL501001,34082,50930,117044,116960,105934,75562,18318,1580,108,520512,21810,9743,26492,27761,22715,38488,73514,47993,21164,289677,1999,2864,7409,5970,4754,3991,3777,3778,3295,37841,57892,63540,150941,150691,133403,118041,95610,53346,24562,848032,9233,43281,150955,155707,142708,94321,17421,1033,51,614708,43343,46587,62599,67913,56742,49268,21970,3213,199,351838,1799,3006,11862,9237,6620,7444,2272,254,24,42518,832,2076,4643,3249,2483,1591,510,177,63,15614,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680,2221,4220,6873,5600,5495,4330,659,40,3,29440,9167,3988,4289,3707,2899,2758,949,83,8,27842,11383,8208,11161,9306,8393,7086,1608,130,13,57284,66590,103155,241217,245414,216952,159706,43783,4805,342,1081965,47822,18915,37585,37559,34439,60276,131037,88110,34480,490236,4131,6275,17088,14951,12296,9698,7494,6627,5115,83679,118535,128352,295897,297929,263686,229678,182320,99540,39936,1655875
UCL511001,1497,1457,3385,3917,4032,2890,624,51,3,17861,751,329,1095,922,824,1728,3157,2008,796,11616,84,102,275,195,194,210,195,165,145,1550,2329,1888,4762,5039,5044,4828,3978,2221,942,31028,598,1725,4362,4782,5090,3604,565,24,0,20751,1706,909,1897,2468,2162,1856,801,93,4,11905,104,129,413,314,345,418,102,15,3,1848,45,56,120,109,90,54,21,3,3,496,2450,2821,6793,7675,7685,5932,1487,136,12,34998,122,143,213,171,167,150,21,0,0,986,259,95,140,114,115,87,26,5,0,846,382,239,352,286,275,237,40,5,0,1829,2838,3055,7148,7968,7964,6164,1532,141,12,36824,1641,555,1568,1429,1311,2718,5750,3700,1293,19983,165,227,607,524,517,490,386,278,221,3420,4649,3838,9322,9920,9801,9377,7670,4119,1523,60227
UCL512001,589,538,1185,1384,1654,1383,377,34,5,7147,312,130,409,311,346,702,1581,1220,553,5560,39,32,72,77,91,101,105,95,66,682,937,713,1658,1774,2087,2192,2063,1351,623,13395,282,637,1512,1541,1904,1416,278,16,3,7584,735,368,743,971,939,1041,466,58,11,5321,29,35,146,91,138,180,60,12,0,689,20,30,43,30,46,30,14,4,0,223,1065,1070,2444,2639,3030,2660,812,96,14,13823,41,51,59,43,55,34,10,0,0,291,88,24,55,32,31,47,16,0,0,292,127,77,115,68,82,84,24,0,0,579,1186,1144,2564,2712,3112,2742,838,96,16,14405,662,270,734,568,577,1159,2818,2171,946,9902,82,67,176,171,185,214,207,167,108,1383,1929,1484,3469,3451,3878,4117,3864,2432,1066,25694
UCL512002,532,405,989,1379,1581,1179,290,25,0,6377,194,66,269,293,240,643,1590,1028,526,4842,42,25,75,63,67,83,91,88,42,577,764,503,1334,1734,1885,1900,1968,1139,570,11800,212,463,1196,1513,1785,1179,212,15,0,6574,693,292,618,924,953,900,386,48,0,4815,45,40,135,131,145,161,48,5,0,715,13,16,34,36,23,18,9,5,7,153,960,821,1978,2600,2909,2258,653,71,5,12258,23,28,53,39,39,30,4,0,0,218,69,18,36,41,33,38,13,0,0,245,90,50,89,77,72,64,13,0,0,460,1056,865,2070,2682,2983,2327,665,72,5,12719,432,132,364,401,403,986,2884,1961,804,8381,62,46,185,182,179,179,164,162,70,1235,1548,1042,2622,3266,3560,3486,3722,2196,884,22335
UCL512003,648,666,1338,1544,1748,1325,342,26,9,7645,283,171,433,359,357,651,1206,863,358,4694,79,85,193,207,168,139,128,100,86,1190,1010,920,1964,2109,2276,2114,1677,1002,449,13528,292,726,1695,1874,2087,1606,330,21,5,8637,759,444,782,894,926,854,376,62,3,5103,39,47,173,126,151,156,52,6,0,751,21,19,60,37,54,34,6,11,7,242,1105,1240,2717,2940,3213,2653,766,97,14,14735,50,76,86,81,94,69,9,0,0,468,104,36,53,56,49,67,14,0,0,384,150,110,142,137,151,134,26,0,0,853,1252,1349,2856,3069,3365,2787,793,96,8,15587,644,283,569,530,600,1112,2202,1567,623,8126,195,162,414,442,394,335,246,199,133,2524,2090,1795,3846,4050,4359,4229,3237,1863,762,26236
UCL512004,477,678,1647,1530,1438,1046,230,15,0,7058,224,146,425,363,236,339,478,273,116,2603,71,93,234,195,152,141,82,29,23,1024,772,912,2308,2085,1829,1526,785,322,138,10682,369,1061,2595,2439,2330,1734,353,19,0,10889,478,257,690,687,503,494,199,22,0,3324,26,52,176,110,129,145,26,0,0,661,8,47,77,52,49,32,8,0,0,286,883,1417,3532,3289,3011,2403,582,45,0,15164,42,58,60,64,64,42,3,0,0,333,64,25,33,31,21,25,6,0,0,203,102,78,94,99,87,70,10,0,0,533,988,1491,3625,3389,3099,2471,594,45,0,15702,490,251,615,522,413,580,974,551,168,4575,137,219,499,432,378,341,210,76,30,2319,1616,1961,4745,4344,3886,3399,1770,669,202,22594
UCL513001,243,247,1003,993,755,533,134,16,0,3921,129,71,189,154,124,159,183,91,22,1120,61,67,230,158,152,105,53,13,10,848,435,374,1424,1310,1024,791,380,123,31,5887,90,287,1206,1254,1106,690,172,12,0,4817,262,115,367,434,289,232,117,17,0,1831,11,20,110,79,45,61,21,0,0,351,14,16,55,39,24,23,5,0,0,182,377,439,1735,1809,1473,1003,315,31,0,7176,32,28,50,34,24,24,0,0,0,189,19,16,21,19,18,11,0,0,0,111,48,46,73,54,46,35,0,0,0,299,426,482,1806,1859,1516,1035,320,31,0,7478,256,126,296,247,231,309,392,168,46,2074,125,139,403,304,329,227,112,36,16,1686,804,748,2504,2413,2075,1573,819,237,63,11236
UCL513002,157,196,434,458,483,407,108,19,0,2264,101,32,149,101,85,213,396,347,143,1569,28,22,50,66,50,39,43,43,17,360,283,254,632,627,618,659,556,409,157,4191,117,260,561,572,654,518,97,8,0,2797,172,96,249,277,259,262,107,23,0,1438,15,17,75,45,49,73,22,0,0,302,13,9,23,19,17,16,0,0,0,106,316,388,904,914,973,872,235,39,5,4639,9,14,9,19,15,10,0,0,0,67,21,9,5,14,6,12,7,0,0,71,27,19,18,28,19,17,13,0,0,139,340,404,921,945,998,890,241,40,5,4784,225,52,177,136,144,345,753,632,227,2691,60,52,116,121,118,103,96,94,27,788,635,506,1217,1197,1256,1337,1090,760,255,8258
UCL513003,248,290,1123,1146,822,367,60,0,0,4060,119,50,265,209,123,97,74,28,5,972,46,68,247,213,148,83,25,9,0,835,417,408,1633,1571,1092,544,164,37,8,5868,147,488,1659,1834,1381,727,119,0,0,6348,307,104,428,539,317,143,37,4,0,1870,23,18,181,140,72,67,9,0,0,508,14,10,54,30,19,9,4,0,0,135,489,619,2315,2536,1792,942,168,4,0,8866,18,15,36,26,30,18,0,0,0,143,40,11,24,12,13,7,3,0,0,106,56,26,59,39,35,22,4,0,0,254,545,645,2377,2578,1829,962,172,4,0,9117,259,81,314,255,172,154,150,54,6,1451,124,163,504,518,346,208,62,12,0,1940,924,890,3195,3353,2357,1328,384,75,11,12514
UCL513004,196,272,1060,936,578,381,68,4,0,3499,124,74,240,187,142,163,116,35,7,1090,55,74,235,180,148,89,34,4,0,813,377,413,1531,1299,868,633,215,44,12,5397,138,362,1559,1519,1096,760,120,4,0,5563,212,89,354,371,188,151,30,0,0,1396,17,30,149,124,80,71,15,0,0,480,11,25,66,59,16,24,0,0,0,201,377,508,2133,2068,1379,1002,174,6,0,7643,25,39,36,31,21,24,5,0,0,183,26,11,17,19,3,14,4,0,0,96,44,51,57,52,27,34,3,5,0,276,421,562,2192,2116,1408,1038,176,9,0,7916,261,119,315,248,216,261,211,79,23,1721,116,148,501,419,333,268,68,16,0,1877,793,825,3009,2783,1956,1568,455,103,25,11520
