UCL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL501001,2937,41215,2612,12630,4721,1840,468,1204,430,68053,3448,25319,560,11721,3597,1262,248,878,230,47263,14219,20017,2164,7959,29423,7890,1099,3622,975,87367,5431,17760,1503,19113,9189,2954,621,2647,590,59809,1925,5440,1036,2237,2658,1865,234,708,149,16247,2295,835,6228,5571,4012,2740,541,1936,235,24401,30,35,14,93,66,75,19,83,7,420,538,1080,252,915,859,373,112,263,96,4493,545,849,372,1331,1272,675,178,614,1283,7117,35736,128180,20084,65243,60870,22069,4490,14172,4383,355238,4153,14437,3513,2230,2480,1246,745,1141,299,30246,3613,10874,3058,1340,1931,1139,1317,1440,267,24979,17772,30112,53747,3679,5921,3283,11078,7975,1619,135193,5157,4608,18588,1199,1938,1115,3034,3669,507,39822,1716,2549,2593,720,949,596,902,1529,134,11695,4926,55054,3654,15695,5319,2237,1230,1916,624,90656,5170,32865,1130,12735,3970,1493,877,1278,328,59852,32648,39182,6240,11514,37152,12981,5644,7118,1885,154371,9232,27169,3175,25628,11405,4155,2429,4561,983,88741,3123,9326,2777,3288,3444,2889,1076,1684,268,27873
UCL511001,101,1236,94,443,172,82,24,54,15,2214,127,982,23,557,125,56,16,46,0,1933,330,364,94,242,1035,318,52,172,22,2629,127,375,45,893,254,133,25,135,24,2017,29,93,39,43,48,47,8,23,4,331,69,25,256,201,127,131,25,100,12,956,0,0,0,10,0,0,0,3,0,14,12,32,16,27,30,6,8,14,3,147,8,24,15,48,32,22,7,44,43,243,866,3367,798,2562,1966,856,221,702,132,11480,58,185,118,35,30,13,25,43,3,512,49,86,97,34,45,37,33,53,3,438,459,562,2937,104,187,117,599,354,79,5397,127,84,778,43,61,37,218,232,15,1598,81,102,99,26,44,21,67,98,10,554,138,1653,133,515,181,90,61,82,14,2873,198,1285,61,583,136,68,66,62,0,2461,636,614,243,306,1169,419,179,266,42,3863,179,518,85,1097,289,171,82,200,29,2646,47,131,66,68,60,61,28,52,10,517
UCL512001,46,536,37,259,70,40,9,31,6,1033,49,362,10,183,53,16,3,23,9,700,137,144,30,100,371,126,5,65,6,982,69,191,22,387,99,59,6,58,4,908,14,52,12,33,22,20,0,10,0,160,33,15,94,82,60,41,6,32,5,357,0,0,0,0,0,3,0,7,0,10,9,10,9,13,7,0,0,4,0,46,10,12,3,23,14,7,0,15,6,86,397,1409,271,1125,755,348,41,294,39,4678,41,80,32,16,21,11,7,12,0,219,14,26,39,13,12,16,14,38,0,174,138,96,676,66,40,47,159,141,23,1377,80,41,369,20,16,23,50,38,3,647,71,86,82,34,33,39,57,85,3,490,63,738,46,304,75,40,13,43,7,1331,86,519,23,207,55,18,11,32,9,955,261,245,54,141,415,186,41,104,15,1452,88,286,41,502,106,79,31,82,12,1218,17,81,34,41,30,32,5,22,0,269
UCL512002,33,431,39,169,63,32,10,25,7,807,52,337,5,201,54,31,3,34,6,717,131,122,33,98,319,98,18,67,5,884,60,131,26,277,86,44,14,61,0,701,14,42,14,23,24,26,0,12,0,160,46,8,116,83,43,46,6,44,8,393,0,0,0,5,0,4,0,0,0,6,7,11,0,5,10,5,0,4,0,48,0,4,3,18,16,21,0,11,5,84,366,1169,283,906,649,323,59,291,37,4083,25,79,29,11,16,3,0,14,5,180,14,28,16,13,15,16,0,14,0,115,117,93,682,39,42,45,159,129,18,1324,77,31,359,21,20,17,69,54,8,668,64,34,71,10,18,16,32,51,8,295,48,556,57,196,65,38,17,37,9,1019,86,433,17,224,55,40,13,39,7,919,247,229,71,129,360,154,41,109,13,1352,87,178,45,333,94,50,16,76,0,883,27,67,35,34,24,26,0,20,0,238
UCL512003,48,576,48,211,73,33,8,20,0,1015,55,464,8,236,52,16,3,6,0,852,132,153,19,98,433,104,13,60,14,1021,55,194,9,334,95,46,7,37,6,784,13,31,10,17,20,26,0,19,0,138,31,9,84,96,56,39,10,35,0,363,0,0,6,0,0,5,0,0,0,7,0,0,0,13,9,3,0,7,0,35,12,11,3,23,22,9,0,19,19,106,387,1529,243,1081,800,323,65,224,47,4707,26,75,35,22,17,10,9,12,0,198,18,36,20,10,19,10,12,10,0,142,199,200,1005,66,50,61,250,211,27,2058,70,37,335,36,19,22,68,72,15,667,44,50,53,23,20,39,21,48,9,318,69,756,52,232,86,40,19,32,3,1288,89,606,21,258,55,24,17,14,5,1083,250,248,65,137,485,150,58,83,16,1490,91,255,17,412,104,54,18,52,8,1029,18,50,26,26,28,40,3,27,0,218
UCL512004,41,388,32,123,69,33,20,21,5,722,66,363,11,161,33,4,15,11,0,668,142,118,30,72,383,101,53,54,10,970,41,153,22,197,93,33,25,33,5,609,12,24,10,8,24,3,8,3,0,94,37,17,77,74,79,38,37,37,3,404,0,0,0,0,0,4,0,0,0,10,6,10,0,12,7,0,7,7,0,44,4,13,11,24,17,9,13,21,15,135,388,1239,260,699,765,238,215,223,47,4068,35,235,37,13,20,0,13,12,0,364,14,30,24,6,7,4,11,12,0,106,285,327,1843,42,70,48,379,145,33,3175,44,15,176,20,10,8,94,33,6,399,18,24,18,9,20,4,37,23,0,150,69,491,43,140,71,30,42,23,9,922,75,450,20,168,40,4,40,13,4,820,254,194,75,95,425,124,117,86,17,1376,60,202,44,266,98,41,54,50,7,821,13,29,24,18,28,7,24,10,0,149
UCL513001,45,415,13,58,42,10,0,15,0,602,43,253,5,102,26,10,0,0,0,441,125,80,17,76,217,60,3,43,4,619,68,139,10,124,69,28,3,25,7,467,13,41,9,27,20,4,6,4,0,124,25,11,26,50,40,17,0,20,0,185,0,0,0,0,0,0,0,0,0,0,9,11,0,7,7,0,0,0,0,32,7,15,3,17,26,14,0,11,21,113,351,1028,95,492,491,154,25,137,41,2816,22,46,15,13,20,7,3,13,0,140,12,12,7,5,7,10,0,8,0,63,92,142,320,48,39,24,66,62,9,807,62,19,159,27,7,8,30,46,9,364,31,31,26,12,14,9,9,21,0,159,56,518,12,81,43,12,9,10,0,746,58,336,12,122,30,15,5,12,5,585,219,129,39,102,243,79,11,59,14,897,95,196,25,187,85,30,11,28,6,670,28,65,19,29,19,12,8,9,0,186
UCL513002,13,124,12,26,26,6,0,4,3,208,22,135,3,62,25,5,3,0,4,260,50,44,9,25,135,35,9,20,5,330,23,31,8,92,33,13,3,10,4,219,10,15,0,6,10,7,3,5,5,53,3,3,38,37,17,18,3,19,5,140,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,12,0,4,0,12,9,8,0,16,3,55,136,393,87,262,275,95,28,82,26,1378,7,29,5,0,4,0,0,0,0,46,6,7,4,0,0,0,3,0,3,36,65,40,293,3,28,11,87,51,10,587,24,10,91,6,6,7,35,22,6,203,33,46,31,4,6,12,25,19,6,182,16,159,8,27,28,9,11,4,3,264,49,183,8,62,24,11,9,3,3,346,85,72,21,30,148,48,23,26,6,460,24,43,17,114,37,12,9,10,3,268,10,16,4,6,11,0,4,9,5,60
UCL513003,34,225,22,49,43,9,10,5,0,400,40,284,14,80,34,4,0,10,0,473,106,91,45,56,284,76,22,45,5,727,36,96,8,137,56,24,5,27,0,390,7,26,7,7,14,5,0,0,0,73,28,5,38,41,37,28,7,13,6,211,0,0,0,0,0,0,0,0,0,3,5,0,8,9,5,0,0,0,0,38,0,12,6,10,13,9,3,7,10,71,306,809,233,407,530,162,81,126,37,2691,16,40,36,8,13,0,5,3,5,132,11,9,22,6,9,3,6,3,0,66,195,240,1151,28,69,31,158,99,42,2013,57,16,193,0,22,3,58,48,4,402,24,28,22,6,5,7,16,8,0,114,47,276,38,67,49,9,16,10,0,513,64,351,33,79,33,4,13,13,4,597,217,121,117,74,322,97,51,64,15,1091,58,124,22,185,57,25,15,42,3,544,12,34,16,12,17,9,3,6,0,111
UCL513004,25,188,18,68,33,12,11,13,3,374,32,181,17,66,24,9,6,12,0,338,91,73,44,47,205,46,25,40,8,573,25,69,15,100,51,14,12,20,0,308,10,11,6,10,15,4,4,0,0,60,18,8,23,26,36,11,15,17,4,158,0,0,0,0,0,0,0,3,0,0,3,4,3,3,5,5,5,3,0,29,9,10,10,13,9,3,0,14,15,83,225,586,187,338,418,110,107,141,36,2156,9,25,21,5,14,0,0,4,0,81,10,3,7,8,11,3,5,6,0,55,122,171,1073,16,57,13,186,92,39,1763,31,12,173,6,3,0,52,32,3,305,11,4,16,0,10,0,21,11,3,78,39,237,32,81,39,15,19,11,5,467,41,239,20,66,24,8,18,15,4,433,160,99,94,52,234,67,62,62,13,832,35,91,27,126,62,14,30,32,0,416,10,16,16,9,15,3,7,6,0,79
