UCL_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL501001,26585,47456,118342,124376,106970,80244,24362,3132,235,531710,73,152,513,524,547,398,164,34,4,2411,93,1030,4552,4576,3113,1451,199,17,0,15024,782,1018,2945,3483,3410,2323,542,62,5,14567,36,163,808,1072,798,420,78,4,0,3386,192,944,3770,3803,3033,2096,496,41,0,14374,192,595,1698,1978,1946,1328,306,38,4,8079,8485,9133,10178,8213,8308,6767,1635,119,6,52846,11059,7252,7128,4620,3474,2218,539,29,4,36314,189,801,2340,2496,2529,1789,435,37,0,10622,218,387,896,723,593,415,102,13,0,3351,112,707,3363,4071,3274,1882,401,39,9,13862,109,569,1780,1862,1782,1356,493,91,8,8037,296,2758,9594,9884,6883,3924,1217,125,6,34682,361,1508,4219,4037,3509,2552,651,46,0,16887,247,1542,6050,7513,7221,5304,1050,64,0,28992,1422,3899,12195,15672,17772,12869,3028,196,6,67056,1727,9634,27929,26647,24822,19659,4807,264,8,115495,1118,1436,2178,1813,1375,921,317,37,0,9205,1024,2247,5333,4579,3785,2475,669,84,3,20212
UCL511001,1159,1467,3564,3907,3792,3153,880,90,10,18015,8,21,40,22,35,24,22,4,0,170,6,42,97,105,98,47,9,0,0,399,51,83,154,187,150,76,10,4,0,713,0,14,33,31,22,24,5,0,0,128,15,36,125,129,120,99,13,3,0,540,9,3,34,38,57,24,11,0,0,175,360,232,428,465,452,353,56,4,0,2348,517,182,228,226,201,90,27,0,0,1474,14,22,45,52,77,83,22,3,0,314,23,18,25,18,12,6,3,0,0,106,0,11,69,73,72,46,14,0,0,291,13,23,54,60,54,48,12,0,0,267,6,35,115,169,129,86,37,4,0,578,6,31,99,132,135,105,19,0,0,537,10,50,169,220,254,163,32,0,0,901,46,68,338,564,734,512,96,3,0,2369,110,330,838,996,1012,803,176,3,0,4265,32,26,59,38,30,23,3,0,0,216,32,77,187,133,166,101,24,0,0,722
UCL512001,526,562,1305,1285,1409,1319,441,58,16,6921,6,3,19,28,21,28,32,5,5,136,0,0,9,3,3,4,0,0,0,27,17,23,36,42,40,29,10,0,0,190,0,0,7,10,0,9,0,0,0,31,3,11,44,39,53,24,10,0,0,177,0,10,11,7,18,14,5,0,0,64,181,95,162,162,187,149,39,0,0,973,196,65,108,100,93,82,27,3,0,671,3,4,14,19,33,28,10,0,0,109,7,6,10,10,9,0,3,0,0,37,3,18,31,25,24,23,0,0,0,125,0,12,19,18,37,14,4,5,0,118,3,15,65,80,63,47,20,0,0,295,0,11,29,41,47,54,11,0,0,197,3,9,42,88,118,78,18,3,0,351,4,37,118,176,312,210,52,5,0,912,51,135,325,399,478,443,97,5,0,1923,14,6,25,12,15,23,5,0,0,96,19,30,58,67,48,48,23,0,0,291
UCL512002,470,430,1025,1265,1371,1117,372,43,6,6101,6,12,12,16,18,11,5,7,0,87,0,7,22,20,35,5,0,0,0,95,18,9,31,41,44,33,12,0,0,181,0,0,0,5,4,3,0,0,0,18,0,8,43,45,43,19,5,0,0,167,4,6,8,14,13,16,6,0,0,61,159,70,117,130,186,178,40,4,0,889,195,81,127,166,126,99,18,0,0,823,3,0,12,21,30,29,8,0,0,105,3,3,3,9,10,4,4,0,0,42,0,6,15,24,33,24,3,0,0,104,4,10,28,17,20,11,7,0,0,104,0,6,36,66,74,41,13,3,0,243,16,19,63,67,77,40,13,0,0,293,7,8,37,55,74,44,11,0,0,237,17,22,98,211,270,167,31,4,0,826,20,72,202,326,354,335,69,0,0,1387,13,3,8,15,18,4,0,0,0,64,16,33,51,49,69,42,8,0,0,269
UCL512003,513,620,1436,1453,1534,1391,432,68,7,7456,3,3,7,13,19,19,16,7,3,89,0,6,28,29,33,15,0,0,0,118,9,5,19,31,17,15,4,0,0,97,0,0,9,5,3,4,0,0,0,21,4,12,41,52,34,44,14,0,0,199,7,14,16,25,18,13,0,0,0,90,186,127,143,157,185,162,34,3,0,994,231,89,97,94,87,71,19,0,0,688,6,10,32,37,42,36,17,0,0,179,3,9,9,4,6,4,3,0,0,36,0,11,23,26,30,23,4,0,0,118,6,6,17,16,25,15,3,0,0,85,6,19,59,52,63,36,14,0,0,253,6,11,38,39,61,42,9,0,0,205,8,15,58,98,117,87,20,0,0,406,19,59,206,278,329,259,51,3,0,1206,56,152,390,426,477,331,91,5,0,1927,9,12,11,12,14,17,0,0,0,74,25,38,57,61,65,37,12,5,0,298
UCL512004,451,775,1925,1808,1608,1378,360,28,0,8334,0,0,4,0,6,0,0,0,0,12,33,102,275,221,179,78,11,3,0,901,8,15,59,44,28,18,13,0,0,178,0,3,8,10,6,8,0,0,0,33,4,12,46,51,35,37,10,0,0,192,8,18,39,24,33,20,0,0,0,140,147,82,136,121,134,106,37,0,0,747,106,63,113,100,106,57,15,7,0,566,8,11,31,41,56,59,13,0,0,227,0,9,3,6,0,0,0,0,0,25,0,3,21,19,11,9,4,0,0,67,4,21,29,30,35,27,3,0,0,149,15,28,70,63,48,40,12,0,0,278,6,22,53,48,52,41,6,0,0,237,3,28,103,100,86,61,5,0,0,388,10,72,175,202,214,173,31,6,0,884,24,99,299,248,244,223,43,0,0,1175,8,5,18,24,17,10,3,0,0,95,19,34,78,61,52,29,7,0,0,278
UCL513001,160,212,766,836,736,481,174,13,0,3389,0,4,8,9,0,7,0,0,0,32,0,4,8,4,5,0,0,0,0,23,0,0,11,5,0,11,0,0,0,34,0,0,4,7,5,0,0,0,0,16,3,0,11,29,21,18,6,0,0,90,0,0,8,7,4,4,0,0,0,20,73,21,59,59,62,62,16,0,0,350,57,29,139,52,40,20,9,0,0,359,5,11,47,32,28,16,6,0,0,152,0,0,6,4,11,8,0,0,0,33,0,4,15,7,11,0,0,0,0,38,0,8,16,12,16,4,5,0,0,68,0,8,25,28,27,19,5,0,0,121,4,8,27,43,28,21,9,0,0,138,0,7,63,89,61,44,10,0,0,279,14,31,142,200,147,86,21,0,0,640,27,64,301,274,205,151,32,0,0,1061,3,3,16,18,13,17,0,0,0,70,10,7,23,41,24,16,3,0,0,119
UCL513002,164,202,482,472,502,473,124,18,5,2443,0,4,16,18,20,15,16,3,0,99,0,5,8,0,3,5,0,0,0,22,5,5,3,8,5,7,0,4,0,40,0,0,0,3,0,0,0,0,0,14,0,4,21,7,9,10,0,0,0,48,0,3,11,11,17,0,0,0,0,42,53,35,51,63,57,37,5,0,0,301,39,29,28,39,37,32,8,0,0,212,0,3,24,22,19,9,4,0,0,77,0,4,0,5,0,0,0,0,0,16,0,0,13,17,6,3,0,0,0,45,0,4,5,10,5,6,0,0,0,39,0,7,22,15,13,11,3,0,0,73,0,5,14,20,14,18,4,0,0,77,4,7,14,22,32,23,8,0,0,112,4,12,69,73,92,76,17,0,0,351,9,37,70,80,101,107,20,4,0,432,6,0,9,3,5,0,0,0,0,20,10,11,27,20,25,11,7,0,0,100
UCL513003,260,343,1223,1416,995,584,108,0,0,4935,0,0,0,0,0,0,0,0,0,4,4,31,136,130,71,14,9,0,0,394,8,3,17,11,15,9,0,0,0,61,0,0,27,27,14,0,0,0,0,68,7,12,61,51,27,8,0,0,0,162,6,6,14,9,10,5,0,0,0,48,69,24,89,85,78,35,8,0,0,388,49,23,71,51,47,29,12,0,0,278,6,16,32,38,37,23,0,0,0,163,3,0,11,5,5,4,0,0,0,23,3,0,10,12,6,0,0,0,0,33,3,15,26,28,24,13,0,0,0,105,4,5,33,36,12,11,3,0,0,99,5,19,52,64,57,24,7,0,0,238,9,10,82,96,72,37,7,0,0,307,0,32,152,201,161,47,12,0,0,605,19,53,162,174,111,66,5,0,0,593,4,6,5,18,13,6,0,0,0,53,3,11,58,42,26,7,0,0,0,157
UCL513004,197,252,1105,1157,815,641,103,3,0,4275,0,0,0,0,0,0,0,0,0,6,12,47,204,154,74,25,0,0,0,516,5,4,24,9,11,0,0,0,0,61,0,3,11,13,9,0,0,0,0,34,6,12,26,21,26,10,0,0,0,92,0,7,19,20,11,4,0,0,0,61,52,19,70,70,54,46,9,0,0,310,42,23,47,45,37,12,6,0,0,211,4,9,52,47,32,30,4,0,0,183,0,3,4,0,0,0,0,0,0,11,0,0,11,8,0,0,0,0,0,30,3,11,40,12,10,6,0,0,0,82,5,3,26,30,10,3,0,0,0,79,0,9,38,40,21,15,0,0,0,121,9,16,81,51,39,29,3,0,0,224,5,30,130,136,90,55,12,0,0,457,17,53,171,166,100,87,15,0,0,608,3,0,8,11,3,3,0,0,0,36,8,5,40,34,20,14,0,0,0,115
