UCL_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
UCL501001,402,1255,740,421,167,0,0,0,2984,203,470,366,326,256,0,0,0,1624,267,1753,3105,5235,6326,9077,6116,3078,34951,874,3474,4203,5978,6754,9077,6116,3078,39554,118393,130671,133340,116453,99072,73991,37280,10383,719577,6196,10809,9692,7842,5815,3639,2797,1918,48709,125463,144955,147237,130284,111637,86701,46197,15377,807849,216,320,162,67,28,0,0,0,794,52,122,89,80,34,0,0,0,381,103,375,722,1294,1378,1088,688,428,6079,372,822,975,1441,1440,1088,688,428,7247,115808,142418,143545,127119,112631,90850,48805,20599,801772,5249,7698,6175,4849,3971,3678,3849,3537,39014,121434,150941,150691,133403,118041,95610,53346,24562,848032,618,1576,900,488,191,0,0,0,3777,256,594,452,403,293,0,0,0,2003,368,2128,3827,6528,7702,10162,6806,3505,41031,1241,4298,5175,7419,8191,10162,6806,3505,46804,234202,273089,276886,243573,211701,164840,86086,30976,1521352,11449,18512,15868,12691,9787,7313,6648,5457,87720,246891,295897,297929,263686,229678,182320,99540,39936,1655875
UCL511001,0,4,4,3,3,0,0,0,8,4,4,8,5,7,0,0,0,28,13,41,102,213,262,488,300,134,1555,17,47,112,219,276,488,300,134,1591,3983,4001,4266,4120,3957,2982,1490,363,25163,267,515,503,410,325,224,110,89,2443,4269,4567,4882,4750,4551,3690,1901,584,29199,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,16,21,45,70,59,31,12,259,5,19,28,45,68,59,31,12,272,4032,4464,4808,4796,4562,3730,2024,764,29174,187,276,208,205,191,187,165,159,1581,4218,4762,5039,5044,4828,3978,2221,942,31028,0,0,7,3,5,0,0,0,16,9,8,5,5,7,0,0,0,32,17,56,120,262,334,547,332,148,1816,23,65,138,267,345,547,332,148,1865,8014,8473,9074,8912,8522,6714,3512,1123,54347,451,791,713,620,512,408,271,252,4020,8488,9322,9920,9801,9377,7670,4119,1523,60227
UCL512001,0,0,0,0,0,0,0,0,4,4,7,4,3,3,0,0,0,24,5,17,33,90,117,207,117,103,676,6,27,38,95,125,207,117,103,708,1641,1545,1439,1560,1686,1496,909,312,10580,119,239,199,141,121,106,60,39,1013,1760,1812,1675,1788,1929,1803,1085,450,12299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,18,31,34,14,10,114,0,4,9,21,31,34,14,10,117,1565,1588,1687,1991,2057,1924,1244,549,12608,83,72,78,84,98,107,89,64,669,1651,1658,1774,2087,2192,2063,1351,623,13395,0,0,0,0,0,0,0,0,4,4,7,8,3,3,0,0,0,23,5,20,34,107,145,237,133,109,793,6,28,45,109,155,237,133,109,820,3205,3128,3126,3548,3741,3417,2156,862,23182,200,313,279,216,220,209,144,96,1686,3413,3469,3451,3878,4117,3864,2432,1066,25694
UCL512002,0,3,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,12,0,12,26,72,78,209,171,98,676,0,17,31,78,83,209,171,98,691,1278,1157,1383,1483,1409,1468,818,197,9193,50,116,118,116,101,73,59,29,659,1327,1294,1536,1675,1586,1755,1054,319,10536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,4,23,19,42,25,16,136,3,5,5,25,19,42,25,16,139,1193,1245,1654,1793,1801,1840,1038,510,11078,73,78,72,70,81,84,82,47,578,1262,1334,1734,1885,1900,1968,1139,570,11800,0,3,0,0,0,0,0,0,4,0,0,4,7,3,0,0,0,18,0,16,33,96,98,256,194,111,808,0,22,32,102,102,256,194,111,827,2467,2404,3040,3275,3207,3309,1860,702,20267,123,199,189,180,176,154,137,70,1234,2591,2622,3266,3560,3486,3722,2196,884,22335
UCL512003,0,4,5,0,0,0,0,0,11,0,8,0,3,0,0,0,0,16,6,16,27,65,111,206,104,85,619,3,26,33,71,112,206,104,85,646,1739,1630,1668,1786,1809,1239,677,182,10733,204,226,237,229,196,114,88,54,1331,1954,1879,1933,2085,2117,1561,870,319,12707,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,26,21,29,9,4,103,3,8,9,26,21,29,9,4,99,1762,1769,1893,2079,1952,1528,887,351,12230,169,189,209,170,140,129,96,89,1194,1936,1964,2109,2276,2114,1677,1002,449,13528,0,5,5,0,0,0,0,0,14,0,4,0,3,0,0,0,0,20,5,19,40,91,131,230,115,83,715,6,33,44,95,134,230,115,83,744,3506,3399,3558,3871,3766,2768,1567,535,22960,380,411,446,395,336,236,186,145,2527,3882,3846,4050,4359,4229,3237,1863,762,26236
UCL512004,0,3,0,0,4,0,0,0,9,7,3,5,4,3,0,0,0,19,5,22,46,92,101,92,41,18,426,9,33,51,95,109,92,41,18,456,1658,2073,1914,1704,1548,768,266,36,9959,230,334,294,257,211,116,41,12,1502,1893,2434,2255,2060,1866,980,354,60,11912,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,10,14,11,7,3,4,61,7,9,11,14,11,7,3,4,68,1503,2062,1875,1654,1383,697,287,114,9564,175,235,200,161,141,82,27,24,1047,1688,2308,2085,1829,1526,785,322,138,10682,4,4,0,0,4,0,0,0,11,7,4,5,4,3,0,0,0,22,3,32,54,103,115,104,48,21,484,20,41,61,110,118,104,48,21,523,3155,4134,3783,3357,2927,1461,555,148,19526,409,573,499,416,351,201,69,31,2549,3575,4745,4344,3886,3399,1770,669,202,22594
UCL513001,0,4,0,0,0,0,0,0,6,0,8,3,7,0,0,0,0,18,3,10,19,52,43,36,19,8,199,3,21,30,55,48,36,19,8,217,597,864,899,805,602,342,80,18,4204,145,195,175,187,137,61,16,6,924,743,1081,1106,1048,783,438,118,33,5349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,12,13,8,3,0,38,0,4,10,11,13,8,3,0,41,665,1175,1131,855,674,318,99,23,4951,141,241,172,157,104,56,21,12,898,812,1424,1310,1024,791,380,123,31,5887,0,4,0,0,0,0,0,0,6,0,5,4,4,0,0,0,0,17,3,19,26,60,60,45,20,8,234,3,25,39,65,57,45,20,8,260,1264,2044,2030,1657,1276,660,178,41,9158,285,432,350,347,242,114,37,19,1818,1552,2504,2413,2075,1573,819,237,63,11236
UCL513002,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,6,14,38,65,35,24,185,0,4,6,12,39,65,35,24,188,526,506,507,559,580,423,269,64,3443,79,68,52,70,65,47,44,9,437,606,583,573,641,679,531,353,96,4065,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,4,0,31,3,0,0,7,9,6,4,0,29,478,576,550,567,611,504,361,144,3792,57,49,71,52,48,42,41,15,374,533,632,627,618,659,556,409,157,4191,4,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,9,15,37,73,40,28,212,3,8,9,15,40,73,40,28,213,1000,1091,1062,1122,1191,929,633,208,7230,135,121,126,119,108,95,85,21,811,1140,1217,1197,1256,1337,1090,760,255,8258
UCL513003,3,5,15,5,0,0,0,0,34,0,11,5,4,0,0,0,0,24,0,29,51,70,57,20,0,0,230,9,47,68,83,59,20,0,0,280,813,1250,1411,972,600,161,30,4,5245,174,264,300,211,126,37,5,0,1120,992,1557,1780,1266,787,222,41,5,6644,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,3,3,4,17,17,16,0,0,0,56,3,4,19,20,16,0,0,0,65,692,1386,1331,929,446,140,28,5,4958,130,245,219,148,80,25,4,0,839,820,1633,1571,1092,544,164,37,8,5868,3,5,13,11,0,0,0,0,33,0,11,5,4,0,0,0,0,26,3,29,69,85,72,21,0,0,286,13,49,92,104,73,21,0,0,347,1503,2637,2747,1898,1047,299,62,6,10200,298,510,523,349,206,61,14,0,1959,1816,3195,3353,2357,1328,384,75,11,12514
UCL513004,0,3,0,4,0,0,0,0,9,0,7,3,5,0,0,0,0,10,0,15,44,33,50,20,0,0,164,0,20,51,39,53,20,0,0,187,682,1188,1189,863,713,182,45,9,4868,151,264,237,184,174,38,7,3,1065,833,1471,1483,1087,933,242,57,10,6121,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,8,6,4,0,0,0,25,0,5,8,9,5,0,0,0,30,648,1303,1111,711,538,189,37,14,4545,139,232,181,151,92,26,6,0,823,785,1531,1299,868,633,215,44,12,5397,0,3,0,3,0,0,0,0,9,0,10,3,3,0,0,0,0,17,0,14,53,36,54,20,7,0,186,0,24,60,41,53,20,7,0,214,1330,2491,2301,1577,1248,365,80,21,9419,292,496,422,335,263,67,16,5,1885,1619,3009,2783,1956,1568,455,103,25,11520
