UCL_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL501001,5033,7225,12264,2006,2540,4544,2324,6550,8878,2670,13066,15738,7676,29998,37670,9200,19920,29120,25206,13167,38373,23669,16375,40044,29028,19189,48220,33507,16270,49782,26940,14372,41310,28776,11197,39977,65158,19818,84969,51607,2508,54118,45469,5259,50722,29795,1085,30872,94027,7635,101664,51281,5448,56732,4758,5453,10213,538147,217069,755215
UCL511001,150,220,368,63,81,148,87,247,330,108,572,682,356,1393,1759,447,821,1267,1322,593,1908,1060,670,1734,1235,706,1941,1345,556,1899,1036,479,1510,1185,382,1566,2523,596,3118,1965,54,2023,1634,164,1801,911,31,941,2082,176,2258,2177,141,2313,169,245,415,19856,8126,27979
UCL512001,69,112,179,41,56,97,26,148,174,50,302,346,173,758,931,198,553,751,654,302,961,516,357,874,617,351,967,704,216,923,489,191,684,500,131,626,1033,209,1238,743,12,757,516,39,555,277,10,287,583,59,642,699,54,751,101,147,252,7982,4008,11993
UCL512002,69,81,147,33,32,67,44,106,144,40,215,249,151,580,729,167,437,605,594,266,859,461,264,729,568,251,815,613,181,790,400,129,529,394,100,494,848,156,1007,615,24,637,482,39,518,303,7,311,623,57,678,851,58,910,93,127,221,7333,3109,10445
UCL512003,89,103,198,32,44,80,54,167,220,49,294,341,156,630,785,183,414,598,534,283,819,449,340,782,471,339,811,544,256,798,452,194,643,448,173,619,1009,295,1302,790,26,813,643,53,697,388,9,401,804,68,874,964,65,1029,100,119,226,8167,3867,12033
UCL512004,40,90,132,22,28,50,28,66,96,22,121,140,60,273,328,92,135,231,191,115,306,174,179,351,196,249,443,253,218,480,220,299,517,282,260,537,825,507,1325,759,38,801,795,137,934,526,26,550,1577,151,1726,721,87,801,111,109,218,6890,3083,9972
UCL513001,22,33,54,10,14,20,17,45,56,28,111,138,40,105,141,54,59,111,82,60,142,80,70,154,111,118,227,113,95,211,104,107,213,122,96,219,385,164,545,345,33,374,358,35,390,227,14,246,555,65,619,489,66,554,71,53,123,3201,1333,4532
UCL513002,18,40,55,12,26,34,16,44,58,21,92,111,49,238,290,37,143,189,151,88,238,130,99,233,154,122,270,180,83,260,127,57,185,154,55,208,345,84,432,228,11,231,197,29,223,84,5,99,235,28,259,322,24,349,39,58,95,2498,1327,3828
UCL513003,12,20,28,7,4,11,4,20,20,7,23,29,16,31,49,16,19,39,23,31,50,28,42,73,53,70,116,63,93,152,81,129,208,132,141,271,373,275,644,327,22,346,452,99,546,317,20,340,1415,175,1595,435,40,469,23,38,57,3774,1288,5062
UCL513004,24,28,57,7,6,15,12,22,36,18,47,61,28,33,55,30,33,58,48,28,79,53,38,86,63,76,143,74,95,174,73,135,213,118,126,238,315,331,645,308,21,332,400,122,521,303,17,321,1041,156,1197,386,39,426,69,48,113,3367,1401,4766
UCL513005,31,27,62,3,12,12,7,25,35,15,48,68,45,130,177,75,84,163,174,36,209,157,65,221,170,69,232,205,67,273,146,47,195,151,41,191,403,74,475,257,9,266,228,18,241,120,0,122,253,16,268,457,10,467,27,26,55,2926,809,3737
UCL514001,19,36,53,6,5,16,9,42,53,20,100,122,54,262,311,55,90,141,201,57,256,129,75,202,128,76,204,155,43,206,95,44,139,104,34,130,176,59,235,157,3,161,128,16,135,61,0,59,117,5,121,187,13,197,26,36,67,1813,1002,2819
UCL514002,18,17,31,8,8,17,11,21,32,5,22,31,21,73,98,24,60,84,91,44,140,84,46,129,129,65,195,119,58,178,98,30,127,118,22,142,232,44,278,197,3,208,141,18,155,63,7,68,233,8,240,263,32,296,20,19,33,1880,604,2480
