UCL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL501001,3445,5811,7119,6139,21759,32158,12776,30970,804,120974,10604,24326,25555,20068,50406,62676,18005,32952,1535,246123,6166,10450,10563,8047,29585,37490,12516,31969,2209,148990,5765,31701,25056,14213,18891,14187,4051,7749,1765,123372,5052,17607,18410,11215,34424,25602,6065,8613,932,127920,2842,28890,15215,6334,11574,8867,2484,4482,881,81572,4177,5962,5531,3608,12252,12128,5477,19780,1418,70332,3702,24912,14309,7151,12644,11106,3347,9761,1585,88524,759,1683,1177,784,2608,2689,708,1978,4489,16875,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
UCL511001,108,136,175,149,508,712,356,867,15,3023,291,622,655,575,1079,1272,419,749,28,5683,355,405,341,260,1048,1587,604,1767,84,6448,229,936,917,592,682,421,117,259,58,4208,191,592,618,394,1020,677,151,303,26,3979,149,1059,561,310,467,299,102,158,29,3131,271,206,201,121,396,639,372,1283,61,3555,223,1077,556,347,669,620,258,594,72,4415,36,48,27,23,72,94,32,92,130,553,1848,5086,4053,2766,5948,6323,2410,6069,496,34998
UCL512001,83,120,103,78,221,335,145,352,20,1446,114,282,295,274,476,496,153,282,9,2383,90,160,154,144,480,528,228,355,27,2162,99,433,395,294,321,275,72,123,36,2050,88,252,233,171,380,205,50,73,17,1475,61,424,234,108,248,171,61,63,12,1383,57,84,72,47,97,148,103,324,23,955,75,535,255,145,243,239,126,135,36,1782,22,15,19,10,26,29,14,19,44,189,689,2297,1752,1269,2494,2422,947,1724,223,13823
UCL512002,54,81,80,71,216,315,134,336,8,1296,114,229,237,219,337,368,135,253,4,1895,135,142,163,128,390,545,193,476,23,2182,104,416,316,229,236,201,48,88,21,1643,70,228,220,129,289,191,59,75,8,1266,53,418,220,130,203,123,33,65,5,1250,111,79,78,52,80,104,66,359,12,948,74,459,284,151,191,170,65,157,31,1581,11,26,11,15,12,32,3,31,46,190,715,2082,1614,1116,1953,2046,741,1833,153,12258
UCL512003,40,69,76,71,236,343,147,434,7,1423,169,267,260,242,506,530,190,363,15,2536,123,158,157,123,405,585,249,613,40,2445,91,400,366,280,334,264,95,158,30,2018,66,242,210,184,453,289,66,118,12,1650,52,439,242,139,240,139,57,75,14,1392,105,108,94,55,123,199,142,481,26,1328,97,476,262,160,210,209,49,223,42,1732,15,20,15,0,35,24,8,31,62,217,751,2173,1674,1252,2544,2595,1005,2496,242,14735
UCL512004,40,35,67,47,191,298,122,558,16,1376,96,147,134,104,368,543,278,542,20,2233,139,127,113,81,285,562,371,1625,60,3366,67,220,206,127,258,255,88,170,17,1416,72,149,177,142,418,394,112,203,12,1681,36,293,182,87,161,115,29,71,14,990,152,102,86,47,159,283,267,1355,54,2499,48,264,213,122,171,159,60,279,19,1341,21,25,17,6,28,28,15,54,75,267,661,1364,1196,760,2034,2650,1343,4867,286,15164
UCL513001,43,24,47,40,207,223,91,290,4,977,119,107,143,151,405,357,105,263,19,1675,34,57,49,42,151,226,89,256,20,918,62,124,100,116,247,181,50,127,19,1031,31,83,84,93,317,164,38,85,13,916,15,142,57,36,105,78,25,46,11,519,25,22,15,20,40,59,18,145,8,353,22,123,74,46,103,105,32,110,16,630,3,11,8,8,17,28,0,18,62,158,351,688,588,553,1594,1420,447,1351,182,7176
UCL513002,31,40,35,26,75,116,47,168,6,545,45,54,69,59,113,166,47,115,0,662,40,41,37,33,138,212,83,161,15,756,40,80,90,59,84,72,17,25,14,477,29,93,90,63,106,100,19,44,4,537,21,122,63,36,80,59,19,31,11,439,51,36,25,17,58,103,58,208,16,568,41,135,86,45,60,75,16,84,20,560,10,15,4,0,11,19,8,17,28,107,302,620,496,333,723,918,314,840,106,4639
UCL513003,33,33,34,26,129,221,119,384,11,977,94,84,93,92,230,346,135,258,15,1348,167,96,58,52,201,436,242,917,39,2203,47,165,102,82,149,146,50,84,6,833,48,82,110,64,226,248,96,144,8,1020,25,154,73,54,83,66,28,43,0,530,60,36,34,24,87,134,144,353,14,875,29,153,101,64,88,111,82,238,13,879,14,13,7,3,18,31,16,65,34,198,508,811,605,462,1212,1739,908,2491,135,8866
UCL513004,32,21,21,32,92,144,79,282,9,705,91,47,42,52,207,282,99,172,5,999,114,70,72,41,162,259,223,934,47,1915,40,111,67,60,112,135,34,73,15,644,40,67,77,42,214,181,71,149,10,851,18,100,58,33,80,53,20,51,10,421,84,55,27,17,81,89,89,662,26,1133,53,118,82,51,81,97,42,221,19,763,14,17,9,7,17,19,18,52,54,202,480,612,455,328,1045,1255,668,2595,201,7643
