UCL_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
UCL515008,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,8,0,3,18,4,3,0,0,0,31,0,3,7,12,4,4,0,0,35,9,36,64,57,40,4,0,0,211,6,3,0,0,0,0,0,0,12,0,0,4,3,0,0,0,0,10,17,38,68,60,46,6,0,0,227,0,0,0,0,0,0,0,0,0,8,12,17,16,7,3,0,0,66,26,61,111,96,57,9,0,0,365,0,0,9,7,0,0,0,0,13,0,4,8,3,0,0,0,0,12,0,27,28,17,6,0,0,0,79,0,11,13,10,16,0,0,0,55,6,13,17,24,8,0,0,0,69,0,0,3,6,0,0,0,0,11,0,0,0,4,0,0,0,0,6,5,19,26,24,7,0,0,0,85,0,0,0,0,0,0,0,0,0,7,14,14,18,12,6,5,0,70,19,72,89,82,49,7,5,0,313,0,4
UCL515009,0,0,9,4,15,14,12,4,52,0,4,4,0,3,3,5,0,22,0,10,22,35,31,36,12,3,142,0,6,13,15,14,26,18,4,96,30,36,46,48,52,42,19,6,265,7,0,4,0,5,0,5,0,19,0,0,0,0,0,8,6,0,16,34,38,50,48,53,52,24,8,298,0,0,0,0,0,0,0,0,5,21,16,20,18,15,20,16,7,135,54,68,115,128,130,150,80,22,749,0,0,13,9,14,12,5,0,58,0,4,12,11,9,12,0,0,58,0,27,44,39,46,29,16,5,210,0,12,26,27,35,45,25,8,169,15,19,31,28,27,14,9,0,138,11,9,7,3,0,5,0,0,25,0,0,8,3,6,8,4,3,35,21,25,39,29,39,29,16,5,200,0,0,0,0,0,5,0,0,6,14,13,21,28,23,34,25,11,165,39,88,149,153,164,165,90,28,871,0,4
UCL515010,0,5,7,3,4,4,0,0,21,0,3,0,0,0,5,0,0,13,8,23,13,3,10,7,0,0,58,3,11,8,6,6,13,0,0,49,19,38,28,49,56,28,8,0,241,5,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,26,40,35,54,61,28,11,0,259,0,0,0,0,0,0,0,0,0,46,55,44,47,57,40,8,0,304,82,140,109,117,135,101,19,0,709,0,5,5,10,3,0,0,0,25,0,5,9,5,0,5,0,0,27,20,46,24,13,18,8,0,0,133,3,9,13,15,16,16,0,0,74,3,28,15,23,17,5,0,0,99,14,11,6,4,0,0,0,0,37,0,0,3,3,12,4,0,0,19,20,40,25,30,31,6,0,0,153,0,0,0,0,0,0,0,0,5,64,80,60,65,37,38,17,4,357,102,187,139,137,111,76,18,4,780,0,13
UCL515011,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,4,0,5,0,6,10,8,10,8,6,0,53,4,5,14,19,14,17,4,0,81,31,41,66,40,57,35,33,7,302,9,0,3,0,3,0,0,0,15,0,5,0,3,3,0,0,0,15,34,42,67,44,63,35,32,13,337,0,0,0,0,0,0,0,0,4,5,16,12,14,15,17,10,3,96,50,76,106,86,94,84,61,15,579,0,0,4,3,3,3,0,0,17,0,0,4,5,10,7,0,0,25,6,19,30,22,19,16,9,3,122,0,15,24,21,19,18,15,0,108,21,35,34,25,35,13,9,0,171,16,0,4,0,5,0,0,0,27,0,0,4,4,11,8,3,0,25,38,42,44,28,44,23,10,0,227,0,0,0,0,0,3,0,0,5,9,6,13,7,13,26,13,7,100,48,86,118,91,107,95,49,14,610,0,4
UCL515012,0,5,3,8,0,0,0,0,10,0,0,3,3,4,0,0,0,10,0,14,4,19,13,3,6,0,62,0,15,12,7,8,9,0,0,51,21,81,67,53,30,17,0,0,268,5,4,0,0,3,0,0,0,15,0,0,7,0,0,0,0,0,6,22,80,69,55,38,20,0,0,294,0,0,3,0,0,0,0,0,8,9,15,16,12,13,4,3,0,72,31,126,109,110,71,36,14,0,499,0,5,8,9,0,5,0,0,25,0,8,0,8,4,4,0,0,21,8,50,41,35,9,0,6,0,148,3,23,31,31,15,8,0,0,111,19,50,34,36,20,6,0,0,160,12,9,4,5,0,0,0,0,28,0,5,11,3,6,3,0,0,22,32,58,41,37,23,11,0,0,209,0,0,0,4,0,0,0,0,5,7,13,8,11,6,5,0,0,49,50,162,132,127,54,31,6,0,561,0,7
UCL515013,0,8,7,4,0,0,0,0,25,0,0,0,4,0,0,0,0,4,0,34,35,21,11,7,0,0,106,0,21,30,18,17,6,3,0,92,29,95,85,74,66,34,18,0,413,0,4,0,3,0,0,0,0,17,0,3,0,4,6,0,4,0,17,39,105,96,82,71,40,21,0,449,0,0,0,3,4,0,0,0,7,31,22,24,25,19,20,9,3,149,77,187,183,159,127,73,25,3,832,0,13,18,7,5,3,0,0,41,0,8,10,8,0,3,0,0,28,13,97,51,30,14,8,0,0,207,3,29,22,26,18,3,0,0,94,20,44,40,33,15,4,3,0,161,12,11,5,4,0,0,0,0,40,3,0,4,3,5,3,4,0,21,34,55,46,41,26,12,9,0,219,0,0,0,0,4,0,0,0,3,13,22,22,19,21,18,7,3,125,63,223,164,127,81,45,19,9,723,0,23
UCL515014,0,0,3,0,0,0,0,0,3,0,4,0,5,0,0,0,0,8,0,5,3,10,0,0,0,0,19,0,0,8,0,0,0,0,0,12,4,20,12,5,10,3,0,0,58,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,7,7,24,15,5,10,3,0,0,72,0,0,0,0,0,0,0,0,0,14,16,5,5,8,3,0,0,55,21,53,27,29,23,7,0,0,167,0,7,10,0,8,0,0,0,22,0,5,0,4,3,0,0,0,9,10,26,10,10,10,0,0,0,63,0,3,6,0,4,4,0,0,17,5,8,10,8,0,0,0,0,35,0,4,5,3,3,0,0,0,14,0,0,0,3,5,0,0,0,5,8,12,18,10,9,0,0,0,53,0,0,0,0,0,0,0,0,0,13,18,10,10,8,0,0,0,55,26,74,46,28,37,8,0,0,221,0,7
UCL515015,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,5,0,24,27,22,6,3,5,0,96,0,10,7,13,11,5,0,0,51,29,52,49,50,28,31,21,11,271,0,3,0,4,3,0,0,0,8,4,0,0,0,0,4,5,0,8,33,53,50,59,40,29,25,11,295,5,4,0,0,0,0,0,0,13,13,13,11,25,15,12,21,12,122,48,116,105,124,73,58,51,24,590,0,0,0,0,0,0,0,0,9,0,7,5,3,0,4,0,0,18,0,41,31,18,10,3,3,0,125,7,16,10,11,7,12,9,3,80,20,45,34,32,23,14,0,0,163,10,0,0,0,7,6,0,0,24,0,0,0,4,4,6,4,0,25,25,44,36,38,30,20,8,0,210,0,3,5,0,0,0,0,0,14,10,9,6,10,19,24,25,17,123,52,127,97,85,75,76,44,23,582,0,3
UCL515016,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,8,0,13,0,11,9,6,0,0,42,0,5,3,6,8,10,6,0,40,6,32,26,34,49,50,22,0,214,4,0,3,0,0,0,0,0,8,0,0,0,3,0,3,0,0,5,8,32,32,35,50,51,24,0,229,0,0,0,0,0,4,0,0,3,8,8,15,13,13,21,9,3,88,21,58,56,71,78,96,42,4,418,0,3,0,5,0,0,0,0,7,0,0,4,3,0,0,0,0,7,5,22,15,5,18,8,0,0,74,0,12,14,10,19,15,3,0,75,0,18,11,13,18,11,6,0,80,0,9,0,0,6,0,0,0,14,0,0,0,5,4,4,0,0,22,5,22,19,22,23,19,6,0,116,0,0,0,0,0,4,0,0,4,8,12,13,10,13,16,14,3,84,17,66,58,53,74,64,20,6,371,0,4
UCL515017,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,6,11,4,0,6,0,29,0,0,4,9,5,4,3,0,26,8,22,19,28,38,42,10,8,178,0,0,0,0,6,0,0,0,12,0,0,0,0,6,0,0,0,6,15,22,25,32,45,48,14,8,198,0,0,0,0,0,0,0,0,0,3,8,13,17,22,29,9,3,111,25,34,45,72,78,84,31,11,373,0,0,0,0,8,0,0,0,8,0,0,4,4,0,0,0,0,6,0,10,3,6,3,4,0,0,35,0,0,6,10,10,10,3,0,43,8,10,6,16,11,7,0,0,58,0,0,3,4,6,0,0,0,13,0,0,0,0,0,0,0,0,5,8,15,8,17,17,9,5,0,74,0,0,0,0,0,0,0,0,0,11,11,7,15,21,22,4,5,98,23,36,34,51,54,50,21,3,270,0,0
UCL515018,0,4,6,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,6,6,3,0,0,0,21,0,3,0,3,5,0,0,0,13,17,46,27,50,42,10,6,0,199,0,6,0,0,0,0,0,0,11,0,0,0,0,3,5,0,0,7,14,51,27,48,46,13,6,0,212,0,0,0,0,0,0,0,0,0,14,22,25,28,17,13,4,0,120,31,84,57,92,74,31,14,0,380,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,12,7,8,9,7,7,0,0,0,39,0,8,13,10,5,4,0,0,35,13,16,26,10,13,0,0,0,82,7,0,7,0,3,0,0,0,14,0,0,0,3,0,0,0,0,5,15,20,36,17,12,0,0,0,105,0,0,0,0,0,0,0,0,6,31,16,30,25,17,15,3,0,131,55,59,96,55,37,18,6,0,326,0,4
UCL515019,0,0,0,0,0,0,0,0,10,0,4,4,0,0,0,0,0,11,0,11,13,6,17,8,4,0,62,0,5,4,10,10,9,3,0,53,38,64,52,43,50,31,19,3,296,11,6,7,6,4,0,3,0,33,4,4,6,3,0,5,0,0,23,51,76,61,53,57,34,24,3,352,0,3,0,0,0,0,0,0,10,38,37,41,31,28,24,13,8,214,86,136,125,107,112,83,46,14,705,0,6,6,6,0,0,0,0,17,0,5,5,3,3,0,0,0,24,11,26,25,16,13,13,3,0,116,7,15,10,11,12,10,10,0,76,37,50,32,19,16,12,0,0,167,14,11,7,7,5,5,0,0,41,7,11,5,3,0,0,0,0,28,59,60,42,30,24,13,5,0,228,0,0,0,0,0,5,4,0,8,33,25,24,15,28,30,21,17,189,102,141,115,91,90,70,37,17,662,0,13
UCL515020,0,15,10,4,13,0,0,0,42,0,8,3,3,9,0,0,0,23,13,66,28,23,21,5,0,0,160,3,27,20,8,15,5,0,0,90,26,95,85,80,53,19,9,0,370,3,6,0,0,3,0,0,0,12,3,0,3,3,4,6,0,0,18,32,102,87,79,60,27,9,0,407,0,3,4,0,0,0,0,0,10,59,92,51,57,53,32,11,4,364,124,308,210,186,162,77,27,4,1083,4,28,23,13,7,0,0,0,77,0,19,9,13,11,0,0,0,48,24,121,70,49,24,7,3,0,306,4,34,36,26,31,6,0,0,141,32,55,38,46,22,5,0,0,192,11,14,4,4,4,5,0,0,34,3,5,0,4,5,0,0,0,27,44,74,47,58,28,13,3,0,252,0,6,5,0,3,0,0,0,15,64,102,68,63,37,22,8,12,386,136,381,263,219,144,54,16,12,1216,4,38
UCL515021,0,0,0,3,5,8,0,0,17,0,0,3,0,0,0,0,0,9,0,9,12,17,15,18,3,0,67,0,6,4,11,14,11,7,0,55,23,29,43,33,49,32,11,4,224,7,0,0,0,0,0,0,0,11,0,0,3,3,5,4,0,0,18,27,36,43,31,55,38,15,5,256,0,0,0,0,0,0,0,0,7,8,5,3,8,5,8,4,6,50,38,49,74,80,95,87,34,11,458,0,0,5,3,3,5,0,0,24,0,0,0,3,0,5,0,0,21,0,15,21,23,23,19,10,0,112,6,4,12,14,20,19,7,0,75,11,18,20,14,18,10,4,0,87,4,4,6,3,0,0,0,0,14,0,0,0,8,7,10,0,0,26,21,22,21,25,22,16,0,0,130,0,0,0,3,0,0,3,0,9,4,4,5,6,13,7,8,4,50,25,52,74,80,85,64,35,5,419,0,0
UCL515022,0,0,9,9,0,0,0,0,15,0,0,0,0,0,0,0,0,3,5,19,15,11,10,17,7,0,85,0,6,14,18,20,8,3,0,72,54,81,67,62,74,51,31,8,430,22,17,0,0,3,0,0,0,37,3,3,3,4,8,5,0,0,27,79,100,74,63,84,56,33,8,489,0,0,0,0,0,5,0,0,5,25,16,12,29,15,19,20,7,143,104,151,122,128,129,108,65,16,816,0,6,3,3,0,0,0,0,20,0,10,10,4,0,0,0,0,29,3,37,39,23,14,17,3,4,141,11,23,20,19,26,19,7,0,127,34,56,53,46,37,26,8,0,250,24,15,8,3,0,6,0,0,58,4,3,5,6,14,4,0,0,36,63,72,65,59,58,29,8,0,353,0,0,0,0,0,0,0,0,9,22,7,21,18,16,27,24,13,147,98,148,159,137,118,106,43,18,820,0,6
UCL515023,0,6,3,9,3,3,0,0,25,0,5,0,5,0,0,0,0,7,4,6,14,8,10,3,0,0,48,0,8,12,3,7,3,0,0,38,27,60,39,43,39,27,9,0,246,7,4,5,0,0,0,0,0,21,0,0,0,4,7,4,0,0,7,35,60,38,47,52,34,9,0,274,0,0,0,0,0,0,0,0,3,19,24,19,21,24,24,19,6,151,63,109,89,91,85,61,33,7,545,0,0,6,3,0,0,0,0,9,0,0,0,6,0,3,0,0,13,3,22,20,11,10,6,4,0,76,4,9,6,7,18,4,4,0,60,18,24,25,9,20,9,0,0,110,8,10,8,3,4,0,0,0,37,0,5,0,0,3,5,0,0,20,33,36,32,22,26,9,0,0,164,0,0,0,0,0,3,0,0,5,13,20,22,19,22,22,14,8,142,60,101,89,64,72,50,22,14,468,0,6
UCL515024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,5,4,0,0,0,24,0,0,6,4,0,3,3,0,14,10,34,19,21,34,25,3,0,148,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,13,38,24,23,33,28,7,0,168,0,0,0,0,0,0,0,0,0,16,17,10,15,15,13,10,0,109,33,57,45,47,56,43,24,7,318,0,5,4,0,3,0,0,0,14,0,9,5,0,6,0,0,0,8,3,14,15,5,11,4,0,3,51,0,6,4,7,11,4,9,0,37,5,23,13,10,11,10,0,0,77,6,4,0,4,4,0,0,0,24,0,0,0,0,4,0,0,0,7,15,27,14,18,19,19,0,0,105,0,0,0,0,0,0,0,0,7,7,7,13,21,13,28,10,11,115,27,60,56,47,58,53,20,15,338,0,5
UCL515025,0,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,5,10,8,7,0,0,30,0,0,7,5,6,5,3,0,35,26,20,29,23,24,25,13,6,164,3,0,0,0,0,4,0,0,7,3,0,0,0,0,3,0,0,5,30,27,30,27,23,30,13,6,180,0,0,0,0,0,0,0,0,0,17,5,16,14,18,18,22,9,119,49,39,59,53,64,62,34,22,378,0,0,4,5,0,0,0,0,5,0,0,4,0,0,0,0,0,5,0,9,11,12,15,12,0,3,67,0,6,12,20,22,8,12,0,79,14,24,23,28,19,7,0,0,122,7,5,9,3,3,0,3,0,24,7,0,3,0,3,4,0,0,13,23,28,30,33,27,13,4,0,159,0,0,0,0,0,0,0,0,6,17,12,11,16,19,23,19,21,135,41,62,60,82,82,61,35,25,457,0,0
UCL515026,0,0,3,5,4,5,0,0,8,0,0,5,0,0,0,0,0,4,4,13,12,6,0,0,0,0,37,3,6,6,11,3,9,0,0,32,41,95,55,52,44,23,8,5,327,8,9,0,0,0,0,0,0,15,0,0,3,0,5,0,0,0,7,44,105,58,49,44,23,7,5,351,0,0,0,0,5,0,0,0,4,7,16,7,10,15,10,4,0,69,58,149,91,86,71,44,10,4,518,0,0,4,0,0,0,0,0,8,0,6,0,0,0,0,0,0,12,8,33,19,13,12,11,0,0,96,3,34,27,20,15,3,0,0,106,33,57,21,26,17,5,0,0,169,12,5,0,4,0,0,0,0,29,0,3,4,7,6,4,0,0,21,50,61,27,39,25,11,0,0,212,0,0,0,0,0,0,0,0,3,8,15,8,9,10,4,5,6,64,69,162,86,80,66,32,10,6,507,0,3
UCL515027,0,9,4,5,6,5,0,0,22,0,0,0,4,11,6,0,0,16,6,32,21,16,13,17,3,0,114,0,6,7,16,13,18,6,3,71,39,89,47,53,46,51,20,5,350,12,0,0,3,0,0,0,0,25,0,0,0,0,8,0,0,0,10,50,88,45,59,55,60,20,6,386,0,0,0,0,0,0,0,0,3,36,31,29,38,33,32,17,17,230,100,166,109,139,127,124,52,25,839,0,8,3,8,0,0,0,0,18,0,5,5,4,8,8,0,0,33,15,51,38,22,29,10,7,4,180,9,21,24,23,32,19,14,0,141,22,40,47,35,40,19,6,0,201,17,8,0,4,7,3,0,0,41,0,0,4,9,6,3,0,0,23,36,54,53,51,44,24,3,0,264,0,4,4,4,0,0,0,0,9,27,32,28,33,21,29,29,40,238,88,164,157,142,138,95,63,48,891,0,9
UCL515028,0,12,8,4,4,5,0,0,27,0,0,3,0,0,0,0,0,11,3,41,25,23,3,3,0,0,101,0,12,27,25,12,5,0,0,88,35,178,168,109,80,15,0,0,592,12,12,3,4,3,0,0,0,34,0,3,11,0,0,0,0,0,21,45,194,184,120,86,15,0,0,643,0,0,0,0,5,0,0,0,0,27,57,53,42,31,13,0,0,218,83,325,297,214,143,43,4,0,1095,0,10,18,4,0,0,0,0,31,0,16,11,0,5,0,0,0,27,10,77,52,39,18,3,0,0,199,6,48,46,33,15,4,0,0,156,32,83,88,34,14,0,0,0,253,15,8,4,3,0,0,0,0,41,3,13,4,5,0,0,0,0,27,54,103,98,44,18,0,0,0,318,0,0,0,0,0,0,0,0,3,36,71,47,35,24,0,4,0,206,100,326,277,150,76,11,8,0,943,0,22
UCL515029,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16,0,7,4,5,10,0,0,0,23,0,45,70,39,18,3,0,0,182,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,50,75,40,20,3,0,0,189,3,0,0,0,0,0,0,0,4,19,34,48,31,19,0,4,0,159,24,90,138,88,51,6,4,0,402,0,0,3,0,0,0,0,0,8,0,0,0,6,4,0,0,0,10,0,21,17,3,0,0,0,0,41,0,12,11,11,5,0,0,0,41,6,22,25,15,8,0,0,0,74,0,0,3,0,0,0,0,0,8,0,7,0,0,0,0,0,0,7,7,31,28,17,11,0,0,0,88,0,0,0,0,4,0,0,0,6,11,16,27,14,10,0,0,0,79,23,79,87,45,31,3,0,0,268,0,7
UCL515030,0,5,3,3,4,0,0,0,19,0,5,0,4,5,5,0,0,12,3,15,8,15,17,15,3,0,67,0,6,11,18,22,8,10,6,78,35,58,72,71,77,55,27,14,405,18,0,4,3,0,0,0,0,33,0,4,4,0,6,3,3,0,21,50,62,73,83,82,65,27,11,456,0,0,0,0,0,0,3,0,4,21,24,23,22,29,22,33,17,186,76,109,121,134,148,116,79,30,818,0,0,4,3,0,0,0,0,10,0,4,0,3,9,8,0,0,19,4,21,29,26,10,15,6,0,119,8,17,29,22,23,20,6,7,130,39,52,51,48,37,25,4,0,257,16,3,9,5,5,10,0,0,48,4,3,13,9,4,3,0,0,46,63,60,68,56,54,35,4,0,344,0,0,0,0,3,0,0,0,9,22,21,31,21,24,40,37,36,230,99,126,159,137,120,124,60,41,866,0,5
UCL515031,0,3,0,0,3,6,0,0,10,0,0,3,0,0,0,0,0,3,0,7,3,15,9,4,4,0,39,3,0,8,7,12,11,7,6,55,12,24,44,50,77,80,35,3,328,5,4,4,3,4,5,0,0,21,3,0,4,3,0,4,0,3,18,20,27,49,57,85,82,38,9,368,0,0,0,0,0,4,0,0,7,14,22,23,25,30,30,21,9,175,37,62,87,102,146,142,72,20,663,0,4,0,5,8,0,0,0,14,0,0,3,7,11,4,4,0,25,3,12,25,22,12,20,10,0,98,8,8,14,32,20,24,5,0,107,15,29,25,28,29,21,4,0,154,0,3,6,6,8,3,0,0,35,3,0,4,0,0,0,5,0,15,25,33,32,42,36,22,13,0,204,0,0,0,0,0,4,5,0,15,13,19,16,22,26,40,27,4,159,47,68,94,114,106,111,68,9,622,0,4
UCL515032,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,0,7,0,10,3,4,0,0,29,0,6,6,16,14,0,0,0,34,18,37,46,52,30,26,0,0,212,10,0,0,0,0,0,0,0,11,0,0,0,4,0,4,0,0,5,24,39,51,53,30,26,3,0,231,0,0,0,0,0,0,0,0,3,16,12,5,17,10,3,0,3,68,38,69,65,103,54,33,7,3,379,0,0,0,4,0,0,0,0,3,0,3,0,4,0,0,0,0,9,0,9,23,16,8,3,3,0,64,0,10,12,10,12,8,0,0,50,16,22,30,22,10,7,0,0,109,4,0,0,0,0,0,0,0,16,0,0,3,3,8,4,0,0,14,18,29,34,21,20,6,0,0,132,0,4,0,0,5,0,0,0,7,8,4,16,5,6,4,0,0,45,30,58,85,65,49,30,5,0,319,0,3
UCL515033,0,7,8,0,0,0,0,0,18,0,4,3,3,0,0,0,0,10,6,12,23,17,8,0,0,0,72,0,10,15,13,10,3,0,0,54,17,104,156,84,49,11,0,0,420,7,8,3,0,0,0,0,0,19,3,0,4,3,0,0,0,0,11,24,109,164,85,59,11,0,0,450,0,0,0,0,0,0,0,0,0,28,31,50,29,21,5,0,0,155,60,174,265,152,94,18,3,0,753,0,9,7,0,0,4,0,0,19,0,7,5,6,4,0,0,0,22,9,59,51,13,14,0,5,0,143,4,32,32,21,13,0,0,0,102,13,57,61,24,11,4,0,0,178,8,9,4,4,0,0,0,0,18,0,5,9,0,0,0,0,0,14,20,65,73,34,18,3,0,0,214,0,0,3,0,0,0,0,0,3,24,32,41,31,12,4,0,0,144,55,200,211,110,55,15,4,0,658,0,15
