UCL_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
UCL501001,323,576,4505,3121,637,6139,2092,8783,424,26585,1666,5505,12020,5979,2528,5751,4886,8194,937,47456,10672,27529,31615,8468,6773,5601,13257,11973,2454,118342,20930,30851,29410,6544,7254,4213,13717,9139,2323,124376,21231,23398,23988,5383,6447,3888,12760,7908,1968,106970,14810,16209,17112,3972,5413,3190,11372,6862,1310,80244,4261,5939,4086,1052,1693,1411,3067,2399,456,24362,634,921,313,85,227,218,224,354,145,3132,37,52,10,4,28,21,4,20,48,235,74556,110981,123062,34610,30998,30429,61386,55633,10055,531710,347,672,962,7867,1685,12540,417,3745,389,28619,2053,7555,2959,13876,7221,9011,983,3164,665,47486,9971,38151,7319,19427,19129,8070,2117,5850,1688,111712,13021,37575,5970,17399,21747,6580,1807,6087,1549,111734,12133,28444,4805,16203,22857,7176,1896,6801,1261,101583,7202,17901,3171,11427,18772,6051,1398,5620,835,72375,1532,4492,701,2423,5064,1583,301,1451,266,17809,153,347,48,140,434,137,23,156,114,1540,6,13,6,0,24,9,0,10,40,99,46414,135147,25932,88759,96928,51142,8945,32881,6813,492968
UCL511001,5,9,261,79,14,269,78,425,24,1159,30,66,529,81,44,118,215,360,21,1467,244,392,1308,154,102,168,545,576,72,3564,452,519,1278,158,148,106,705,465,86,3907,527,539,1077,170,173,133,727,376,78,3792,393,453,801,142,164,118,694,351,42,3153,114,158,172,40,57,48,179,93,20,880,27,14,9,6,3,9,14,6,5,90,0,0,0,3,0,3,0,0,4,10,1786,2156,5428,831,705,974,3150,2649,341,18015,15,16,44,325,86,570,19,198,19,1292,71,155,115,386,214,206,39,140,19,1357,222,818,269,584,589,344,85,294,38,3234,320,974,221,695,715,338,86,370,51,3767,332,840,226,765,836,363,94,389,49,3893,219,576,121,518,675,280,70,290,22,2777,50,149,26,101,151,46,17,70,10,611,11,10,0,7,4,3,3,8,4,46,0,0,0,0,0,0,0,0,0,3,1235,3529,1018,3382,3276,2162,406,1766,208,16983
UCL512001,6,8,135,41,13,117,20,192,6,526,20,25,218,47,5,53,47,134,12,562,105,166,471,81,28,82,154,200,14,1305,175,187,345,101,49,65,154,183,20,1285,215,231,316,128,46,62,203,176,24,1409,202,219,243,133,59,75,213,151,22,1319,100,62,73,23,20,25,72,59,9,441,12,7,8,4,0,5,7,7,3,58,3,0,0,0,0,0,0,4,4,16,844,902,1816,550,220,494,869,1108,116,6921,10,10,19,155,31,226,0,70,10,535,17,60,41,162,62,92,12,58,7,507,69,295,81,238,210,128,15,86,14,1141,136,350,63,282,238,129,14,130,13,1355,185,382,73,346,302,157,17,151,16,1619,133,290,55,269,318,131,14,133,16,1343,56,78,16,55,92,29,3,41,0,365,5,6,0,3,4,3,0,0,3,34,0,0,0,0,0,0,0,0,0,5,598,1480,349,1501,1255,888,82,672,76,6901
UCL512002,7,3,104,55,3,141,20,132,6,470,16,8,184,27,13,46,40,102,0,430,85,99,408,61,26,55,112,162,17,1025,163,151,428,66,29,57,169,156,36,1265,216,196,376,69,49,67,220,147,32,1371,183,146,247,68,68,47,193,148,13,1117,74,49,62,16,20,31,68,42,9,372,8,10,4,0,5,4,5,0,3,43,0,0,0,0,0,0,0,0,0,6,754,661,1819,368,219,447,828,896,126,6101,3,5,14,163,13,214,0,60,3,491,23,43,40,108,37,58,3,67,5,389,99,221,84,195,123,91,17,112,9,951,137,347,80,263,250,103,14,122,18,1335,151,355,80,291,307,155,42,151,10,1539,95,211,49,210,242,143,29,141,12,1141,23,48,13,46,70,43,7,31,7,278,7,0,0,0,6,0,0,6,6,25,0,0,0,0,0,0,0,0,0,0,538,1229,369,1278,1051,806,120,687,70,6154
UCL512003,7,9,143,25,7,113,33,174,11,513,24,20,248,38,23,69,62,134,10,620,98,166,500,87,57,84,198,218,28,1436,208,208,425,89,49,71,194,192,17,1453,210,232,358,106,66,69,298,164,30,1534,189,199,312,91,66,56,316,140,20,1391,86,70,79,29,18,17,79,41,9,432,21,11,9,3,0,7,9,6,8,68,5,0,0,0,0,0,0,0,0,7,837,910,2074,460,290,482,1179,1078,135,7456,7,10,30,165,29,252,9,88,4,591,27,98,49,187,89,109,10,53,6,619,88,371,79,283,224,116,21,90,8,1285,128,423,69,285,310,127,27,106,13,1488,167,411,78,326,340,148,44,142,20,1677,129,244,48,246,273,131,34,146,15,1267,38,61,9,56,94,32,4,40,8,334,5,7,5,0,0,0,0,6,5,26,0,0,0,0,0,0,0,0,3,3,580,1624,368,1554,1362,907,150,654,80,7279
UCL512004,0,7,167,27,5,99,41,111,9,451,11,59,336,29,13,44,145,119,12,775,100,260,775,76,49,42,429,163,30,1925,247,231,632,82,46,31,407,100,35,1808,199,160,531,75,44,39,443,78,37,1608,182,130,384,48,47,31,414,117,27,1378,42,41,78,14,17,9,119,28,10,360,0,3,4,0,0,0,3,4,0,28,0,0,0,0,0,0,0,0,0,0,795,894,2905,345,224,286,2002,722,157,8334,5,7,43,88,37,162,22,56,11,428,18,131,64,112,124,75,62,44,12,638,105,425,136,236,337,125,120,107,14,1604,165,318,78,255,305,109,107,115,24,1481,150,254,88,193,337,108,115,140,23,1406,101,170,52,153,241,105,62,123,20,1027,34,23,10,28,62,23,12,34,6,225,4,3,0,0,4,0,0,5,3,15,0,0,0,0,0,0,0,0,0,0,578,1335,466,1069,1453,708,503,619,105,6828
UCL513001,0,0,25,15,0,56,4,49,6,160,7,15,68,29,3,21,18,48,3,212,80,167,195,94,42,22,62,77,20,766,144,171,206,79,41,28,75,73,27,836,143,117,179,80,37,27,63,66,23,736,102,84,83,45,23,23,60,50,7,481,31,28,28,9,12,11,30,22,5,174,10,0,0,0,0,4,5,4,0,13,0,0,0,0,0,0,0,0,0,0,523,581,791,353,169,183,308,386,91,3389,4,11,10,58,31,72,4,33,9,217,11,45,8,70,42,26,0,11,4,226,91,341,40,201,158,65,8,70,12,972,138,316,28,148,201,50,12,55,17,966,112,194,21,112,181,57,10,40,11,739,77,148,12,75,99,52,13,33,9,521,23,35,5,14,35,16,0,4,0,135,4,5,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,451,1095,125,682,752,340,39,246,63,3794
UCL513002,3,0,49,10,4,35,16,45,7,164,11,9,92,3,3,17,36,18,6,202,43,50,167,20,10,36,77,72,13,482,71,47,125,22,12,23,97,53,10,472,103,60,97,18,17,24,120,54,14,502,65,55,100,7,13,24,135,57,14,473,23,13,12,3,9,8,34,15,3,124,7,4,0,0,0,0,0,0,3,18,4,0,0,0,0,0,0,0,0,5,333,248,643,83,77,160,511,315,74,2443,0,0,10,30,16,63,0,30,4,147,5,29,15,46,42,29,8,13,6,188,41,113,21,62,84,42,18,36,3,427,32,105,22,77,93,50,7,44,6,439,65,85,22,80,117,48,6,44,5,472,38,72,16,81,89,32,10,61,8,403,18,19,3,18,25,3,0,16,0,103,3,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,208,419,116,387,461,276,55,237,32,2199
UCL513003,0,0,76,17,3,66,12,81,8,260,14,20,156,16,11,21,43,62,11,343,99,138,541,47,45,25,153,157,26,1223,210,151,571,56,68,19,189,101,46,1416,156,110,342,46,49,16,166,71,37,995,78,60,181,28,27,17,122,53,15,584,14,16,31,0,0,0,34,10,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,493,1903,215,209,158,719,536,132,4935,4,5,22,35,28,89,4,25,10,223,17,44,31,60,64,32,15,16,0,281,109,313,98,136,229,84,39,83,13,1091,130,254,92,180,242,62,32,79,27,1117,91,156,50,131,169,67,41,79,10,794,49,68,11,60,71,27,19,46,0,359,7,17,0,13,10,4,4,14,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,855,301,618,815,376,155,349,63,3928
UCL513004,0,3,54,16,8,34,22,52,10,197,9,6,107,10,3,15,33,56,7,252,63,98,517,37,26,24,187,112,37,1105,133,120,494,28,40,21,199,80,41,1157,88,66,278,18,43,9,234,56,28,815,82,56,168,14,33,14,202,58,15,641,15,14,30,7,5,4,21,11,0,103,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,381,361,1655,133,157,117,902,430,135,4275,0,6,20,37,19,59,6,23,7,175,3,52,24,35,50,31,22,25,5,258,90,229,94,135,207,78,93,85,22,1031,94,172,56,167,204,56,55,95,16,911,81,99,39,78,114,44,38,66,11,563,47,66,20,52,89,39,14,42,9,362,10,13,0,3,18,8,4,9,0,65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,322,641,260,507,697,306,230,339,70,3369
