UCL_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
UCL501001,21,178,361,2274,1271,1132,1839,1285,336,8689,3,26,58,140,119,253,466,573,364,1999,64,345,759,2633,761,774,647,175,67,6221,469,3448,5129,32229,6225,4209,3476,2090,715,57989,134,683,1373,5682,2264,1183,1114,392,106,12937,22,323,524,3133,948,641,389,158,62,6198,15,250,377,1513,708,421,167,58,13,3524,61,855,901,7813,1876,1730,1543,973,345,16100,17,206,324,2410,965,1744,4241,3767,2426,16109,98,303,347,1819,1037,389,225,85,33,4341,54,344,425,3651,882,413,165,53,13,5998,3,45,63,317,231,228,179,65,12,1143,116,1303,3106,11070,4607,4251,4378,1780,434,31049,0,6,12,59,50,134,269,163,52,743,6,140,498,2140,563,666,538,245,111,4909,13,143,559,2836,1466,1557,1372,578,299,8838,14,112,728,3044,195,72,30,4,0,4201,31,141,242,866,702,714,1877,1520,663,6752,395,3590,5452,19622,10248,9991,5744,1772,339,57154,6,34,75,793,538,645,715,359,154,3318
UCL511001,0,3,8,38,23,41,80,50,14,260,0,0,0,3,4,3,6,9,3,25,0,6,3,27,4,7,0,0,0,48,5,58,25,362,58,30,24,18,8,586,0,9,18,73,15,6,7,0,0,132,0,5,0,30,5,0,0,0,0,46,0,7,4,20,6,5,0,0,0,43,6,18,30,110,55,34,43,17,4,326,0,0,6,23,16,27,100,89,67,325,0,8,0,28,20,4,0,0,0,63,0,3,12,87,12,0,0,0,0,116,0,0,0,15,6,11,7,5,0,45,0,9,11,86,34,25,19,14,0,194,0,0,0,0,0,8,4,6,0,18,0,0,3,24,6,9,10,8,3,59,0,3,4,25,7,8,6,4,0,51,0,4,7,53,0,0,0,0,0,62,0,6,0,20,36,34,89,61,22,275,17,143,208,698,430,427,261,65,19,2267,0,0,0,0,0,3,0,0,0,4
UCL512001,0,0,0,34,20,15,55,36,11,171,0,0,0,0,0,3,0,3,0,6,0,0,0,8,6,3,0,0,0,21,0,5,3,62,19,9,10,14,4,127,0,7,9,29,9,3,9,0,0,56,0,0,0,4,0,4,6,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,15,4,6,10,10,0,56,0,0,0,12,8,10,30,36,28,131,0,0,0,11,9,6,0,0,0,21,0,0,5,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,28,10,14,11,4,0,65,0,0,0,0,0,6,0,3,0,8,0,0,0,8,0,5,0,0,0,11,0,0,7,47,20,11,15,8,0,98,0,0,0,8,0,0,0,0,0,6,0,4,0,15,16,19,69,57,16,200,0,20,39,147,111,109,76,36,7,541,0,0,0,0,3,0,0,0,0,4
UCL512002,0,0,4,42,11,7,27,22,10,123,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,4,0,0,0,14,0,0,6,67,7,12,4,11,13,119,0,5,3,20,18,8,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,33,16,14,17,13,4,101,0,0,0,16,3,7,11,13,9,51,0,0,0,14,4,0,3,0,0,30,0,5,0,29,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,12,6,4,0,31,0,0,0,0,0,6,0,3,0,12,0,0,0,3,3,5,0,0,0,13,0,0,0,5,0,0,3,0,0,20,0,0,4,15,0,0,0,0,0,16,0,5,3,16,5,7,41,25,5,106,0,26,32,169,112,138,101,42,6,634,0,0,0,0,0,0,0,0,0,0
UCL512003,0,3,7,20,10,21,28,14,5,97,0,0,0,0,0,3,0,3,0,9,0,0,0,7,0,0,0,0,0,11,4,22,9,121,25,17,8,9,0,211,0,12,3,34,18,0,3,7,3,78,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,4,5,27,15,3,10,6,3,76,0,0,0,9,4,8,29,38,21,112,0,0,0,0,4,0,0,0,0,3,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,33,17,15,4,0,0,72,0,0,0,0,0,0,0,7,0,12,0,0,4,4,0,0,0,0,0,8,0,0,0,5,3,4,5,0,0,16,0,3,0,19,4,0,0,0,0,25,0,0,0,6,5,9,25,23,8,76,4,27,33,138,96,137,97,29,8,564,0,0,0,0,0,0,4,0,0,5
UCL512004,0,0,0,24,13,8,15,7,3,69,0,0,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,7,3,27,28,235,50,14,14,11,0,377,0,5,10,39,15,4,5,0,0,75,0,3,3,26,8,0,0,0,0,42,0,5,0,5,0,0,0,0,0,5,0,3,3,66,7,9,0,4,0,90,0,0,0,14,0,10,4,3,6,36,0,0,0,0,4,0,0,0,0,4,0,6,0,27,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,26,4,10,3,0,0,42,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,12,0,0,0,14,0,0,0,0,0,20,0,0,0,5,0,7,13,0,0,30,18,144,241,730,357,383,142,26,5,2039,0,0,0,0,0,0,0,0,0,0
UCL513001,0,0,3,40,15,11,9,5,6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,18,3,3,0,49,5,3,9,0,0,69,0,0,0,12,0,5,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,5,6,4,0,46,0,0,0,29,6,0,5,0,0,45,0,0,0,14,7,0,0,0,0,24,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,4,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,8,9,8,10,7,0,0,35,0,6,19,94,67,52,31,8,0,280,0,0,0,0,0,0,0,0,0,0
UCL513002,0,0,0,5,3,9,11,14,0,46,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,14,0,5,0,11,0,0,0,3,0,22,0,0,0,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,16,0,0,0,0,4,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,4,0,27,4,9,11,82,45,63,46,15,0,267,0,0,0,0,0,0,0,0,0,0
UCL513003,0,0,8,11,0,10,3,0,0,34,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,6,0,0,0,9,4,23,8,163,28,15,0,0,0,245,4,4,5,31,14,0,0,0,0,56,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,72,3,8,0,0,0,84,0,0,0,5,0,0,0,0,0,9,0,0,0,10,3,0,0,0,0,13,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,22,7,6,0,0,0,37,0,0,0,0,0,0,3,0,0,3,0,3,0,9,0,0,0,0,0,13,0,7,0,13,5,0,0,0,0,22,0,0,5,18,4,0,0,0,0,32,0,0,0,7,3,4,0,0,0,26,3,35,56,315,150,119,37,3,0,716,0,0,0,0,0,4,4,0,0,18
UCL513004,0,0,0,14,4,0,5,4,0,40,0,0,0,0,3,0,0,0,0,10,0,3,0,4,0,0,0,0,0,8,0,19,7,141,33,7,0,0,0,206,0,13,13,44,14,7,0,0,0,99,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,40,3,4,0,0,0,46,0,0,0,3,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,4,0,4,3,26,4,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,4,5,3,0,0,0,13,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,3,0,0,0,7,3,61,72,310,152,177,31,0,0,809,0,0,0,6,5,3,6,0,0,11
