UCL_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL501001,3123,13340,19559,16527,13842,13147,13887,7706,2583,103724,2112,14720,28100,21945,19468,16502,11718,4943,1662,121175,1093,12972,36824,29497,25399,21911,11075,3520,981,143275,448,7795,31407,25898,21839,17538,7196,1922,480,114529,230,4295,27881,25626,21745,16878,5721,1544,534,104459,103,1966,19440,21210,18353,12865,3781,807,225,78754,115,2393,30531,44224,38612,25275,6167,1207,351,148884,22,354,6298,11844,10627,6596,1722,418,120,38002,67,303,5846,18916,21317,12934,3790,1170,311,64649,5584,8005,20220,17499,14727,11713,9551,8679,7536,103516,118535,128352,295897,297929,263686,229678,182320,99540,39936,1655875
UCL511001,190,471,681,647,690,582,628,345,112,4355,130,623,984,820,804,700,444,189,50,4753,54,463,1074,967,995,840,464,128,25,5012,18,256,850,797,790,683,226,65,17,3705,13,162,678,831,798,631,165,42,21,3343,4,86,587,670,673,564,110,28,6,2729,0,130,899,1381,1376,1016,170,19,14,4995,0,13,170,314,337,236,48,10,10,1132,6,11,144,343,436,282,98,18,8,1347,241,287,815,771,682,606,482,329,256,4461,4649,3838,9322,9920,9801,9377,7670,4119,1523,60227
UCL512001,91,217,266,271,268,296,346,206,64,2033,57,252,396,353,364,383,267,106,56,2237,27,202,523,449,461,446,233,76,15,2430,5,81,317,321,385,321,125,21,11,1592,3,44,268,278,348,299,78,33,16,1371,0,14,171,174,226,190,76,18,10,884,0,16,178,331,432,309,73,21,11,1377,0,0,34,51,67,56,17,0,5,235,0,4,34,70,112,98,45,20,8,379,106,118,328,287,258,251,267,251,213,2083,1929,1484,3469,3451,3878,4117,3864,2432,1066,25694
UCL512002,68,180,216,238,279,316,307,181,55,1845,48,155,283,299,310,320,228,104,35,1780,13,142,327,377,435,359,200,85,19,1956,4,63,248,292,333,254,117,34,14,1365,0,23,193,248,297,202,75,37,16,1089,0,12,132,193,258,173,34,17,3,830,4,17,196,374,420,275,73,17,8,1390,0,0,40,89,116,66,20,3,0,342,0,0,38,112,138,87,23,20,8,426,81,59,207,216,208,206,215,210,172,1578,1548,1042,2622,3266,3560,3486,3722,2196,884,22335
UCL512003,109,226,313,260,286,270,235,118,38,1855,64,257,372,337,333,353,196,60,26,1997,26,194,443,394,432,401,176,50,15,2139,12,111,350,340,348,300,95,32,0,1592,3,87,334,308,365,291,92,34,17,1525,3,31,232,267,294,240,73,6,0,1148,3,38,329,502,608,385,105,17,3,2003,0,6,56,117,119,89,26,6,0,419,0,5,41,125,149,106,37,16,3,487,212,181,433,466,423,363,287,245,203,2805,2090,1795,3846,4050,4359,4229,3237,1863,762,26236
UCL512004,93,166,202,205,165,137,99,46,8,1117,93,202,268,221,228,191,78,17,3,1302,59,238,376,303,316,301,95,15,4,1707,40,198,366,321,286,214,72,9,0,1505,28,184,455,324,348,272,73,12,0,1695,0,117,406,343,329,242,57,7,0,1500,6,137,775,834,724,579,109,0,0,3170,0,20,232,274,223,140,21,0,0,918,3,11,146,247,232,148,33,0,0,821,171,264,617,513,456,383,233,101,30,2771,1616,1961,4745,4344,3886,3399,1770,669,202,22594
UCL513001,32,68,135,98,82,64,48,14,3,546,27,85,230,172,107,74,44,6,4,753,22,88,270,216,193,153,61,12,0,1022,7,72,243,222,195,151,29,8,0,922,3,24,270,266,183,127,45,0,0,922,6,21,196,211,157,117,37,0,0,751,0,17,251,362,339,183,43,8,0,1206,0,4,33,68,60,40,11,0,0,212,0,0,43,101,102,48,22,7,0,327,147,149,444,340,355,251,124,38,20,1871,804,748,2504,2413,2075,1573,819,237,63,11236
UCL513002,34,71,89,82,87,82,72,51,18,592,11,74,130,100,115,107,65,39,13,652,9,54,138,133,134,142,74,21,10,709,0,40,96,103,111,95,38,12,3,497,3,25,102,96,101,80,25,13,0,450,0,13,76,71,75,67,30,8,0,343,0,16,107,156,170,137,28,16,0,635,0,6,24,29,29,21,5,5,0,121,3,5,18,27,49,45,16,16,0,180,83,60,129,128,130,138,111,117,48,947,635,506,1217,1197,1256,1337,1090,760,255,8258
UCL513003,38,58,108,95,75,34,15,3,0,436,42,92,146,153,108,53,17,3,0,619,39,124,254,217,142,89,19,0,0,872,17,80,216,187,143,87,14,3,0,753,10,67,263,216,182,96,19,0,0,851,6,37,280,255,185,109,34,0,0,905,0,87,522,611,454,245,27,0,0,1951,0,17,161,195,158,81,17,0,0,636,0,16,255,439,272,130,18,0,0,1133,140,171,531,532,358,225,72,22,5,2048,924,890,3195,3353,2357,1328,384,75,11,12514
UCL513004,39,44,94,87,60,38,15,0,0,381,26,51,118,91,69,72,16,0,3,445,31,82,203,156,109,81,26,3,0,693,18,88,214,166,122,87,21,0,0,727,13,86,268,198,147,117,17,0,0,841,3,53,248,167,140,114,23,0,0,748,8,69,517,591,374,261,32,4,0,1856,0,13,222,214,134,93,13,0,0,683,3,6,164,281,172,125,16,0,0,764,135,168,527,439,351,278,80,25,7,2004,793,825,3009,2783,1956,1568,455,103,25,11520
