UCL_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL501001,126,691,81,233,31,14,1178,29,1134,144,168,34,12,1522,421,7195,604,1423,234,73,9959,1390,3336,1377,2154,344,71,8666,2614,1289,373,2553,310,51,7185,9334,1770,546,5224,1075,59,18008,28709,1284,379,12614,1468,144,44597,45353,553,289,14873,1513,163,62737,19956,97,63,5235,423,43,25811,7155,18,11,1717,106,16,9018,3117,21,15,737,50,7,3949,1656,19,4,390,40,0,2112,922,12,5,194,23,0,1162,1501,8,4,347,45,8,1911,1750,1096,285,2272,497,470,6368,124036,18516,4185,50123,6184,1142,204186
UCL511001,4,21,3,8,8,0,40,3,48,11,4,9,0,80,29,319,39,54,9,5,453,52,202,118,83,31,6,493,121,85,42,155,10,4,414,433,105,24,313,37,4,913,1316,50,19,728,54,6,2167,1648,15,24,492,54,6,2235,335,0,0,64,5,0,413,66,0,0,16,4,0,82,16,0,0,11,0,0,24,5,3,0,0,0,0,8,0,0,0,6,0,0,6,4,0,0,0,0,0,8,62,46,22,72,33,20,252,4104,904,298,1999,244,50,7594
UCL512001,0,16,8,0,0,0,26,0,23,5,11,0,0,35,13,189,42,33,9,7,286,13,107,83,61,18,5,291,22,49,20,68,8,0,166,108,77,53,117,22,0,372,530,80,28,330,52,7,1011,612,18,12,196,34,0,873,119,6,0,36,3,0,173,19,0,0,9,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,40,17,32,7,5,117,1439,594,263,900,156,25,3380
UCL512002,5,11,0,8,0,0,26,0,13,0,6,0,0,17,0,166,17,7,7,0,201,5,98,31,21,11,4,172,12,28,5,39,12,0,97,26,56,13,53,14,0,164,220,44,9,174,25,0,466,690,15,0,272,22,0,1009,309,0,0,62,3,5,377,52,0,0,14,0,0,61,6,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,15,20,3,17,14,3,80,1346,451,85,677,121,14,2698
UCL512003,4,20,0,7,0,0,29,4,23,0,10,3,0,41,40,157,19,68,12,0,292,210,114,39,126,22,8,519,201,33,11,176,27,4,462,361,61,10,247,40,5,716,547,55,22,261,48,0,930,331,7,0,136,15,0,490,62,3,0,20,6,0,89,17,0,0,6,0,0,23,9,0,0,3,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,31,31,8,53,23,6,146,1821,501,107,1112,196,28,3757
UCL512004,0,8,0,4,5,0,15,3,23,0,4,14,0,44,21,126,40,28,55,9,277,22,78,13,43,61,4,226,64,69,0,68,60,0,256,189,117,5,108,78,3,497,538,58,0,165,70,0,832,625,18,0,168,29,0,849,261,6,0,45,8,0,322,119,4,0,19,6,0,145,30,0,0,3,0,0,37,7,0,0,0,3,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,8,29,17,8,32,37,7,137,1922,525,66,692,424,27,3668
UCL513001,4,15,0,0,7,0,22,0,21,3,0,4,0,31,4,139,5,5,34,0,187,7,138,15,19,46,0,225,6,62,6,10,36,3,120,18,105,10,23,58,0,216,89,111,17,49,50,0,308,154,38,9,68,28,0,296,165,10,0,50,23,0,246,120,3,0,35,3,0,168,89,0,0,37,9,0,132,56,3,0,20,4,0,86,26,0,0,13,0,0,48,33,0,0,12,0,0,40,30,60,10,11,43,11,168,801,708,79,347,352,23,2299
UCL513002,0,11,0,4,4,0,21,0,5,0,3,0,0,14,8,65,24,18,7,0,131,34,24,13,44,9,3,129,37,19,4,47,9,0,115,79,43,4,73,21,0,212,130,9,6,135,13,0,296,128,0,0,104,8,0,247,23,0,0,11,3,0,36,7,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,14,12,3,49,453,190,49,459,90,16,1261
UCL513003,11,8,0,0,422,0,442,0,6,0,0,17,0,25,5,55,0,0,74,0,145,8,26,0,3,56,0,104,16,57,0,7,77,0,155,20,86,0,13,122,0,242,66,114,4,15,134,0,328,134,20,6,43,84,0,277,176,7,0,25,52,0,263,179,0,0,12,30,0,227,133,4,0,10,18,0,172,97,6,0,17,16,0,135,73,0,0,6,15,0,97,115,0,0,4,30,0,155,56,33,0,18,166,3,281,1094,422,18,177,1314,5,3035
UCL513004,31,17,0,7,413,0,471,5,31,0,0,35,0,72,3,85,5,4,431,0,527,15,89,4,4,80,0,193,15,70,12,9,73,0,172,27,105,16,11,75,0,238,60,71,18,16,46,0,216,172,37,8,29,28,0,285,233,11,0,25,13,0,286,140,0,0,7,9,0,165,79,0,0,3,10,0,96,49,0,0,7,9,0,57,44,0,0,4,4,0,52,59,0,0,8,14,0,84,59,48,9,16,170,5,305,987,563,79,155,1407,15,3208
UCL513005,0,0,0,0,0,0,4,0,0,0,5,0,0,5,0,0,0,8,0,0,11,0,0,0,6,0,0,15,19,0,0,10,0,0,29,57,5,5,19,7,0,89,192,4,0,59,0,0,262,214,0,0,60,10,0,283,60,0,0,18,0,0,82,9,0,0,0,0,0,14,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8,0,0,26,574,8,5,204,16,0,811
UCL514001,0,0,0,0,0,0,3,0,9,0,0,0,0,3,3,45,0,14,0,0,61,14,20,5,21,5,0,67,23,20,0,42,4,0,87,93,22,0,52,5,0,172,77,6,0,38,9,0,141,25,0,0,20,4,0,45,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,13,6,4,37,249,128,12,195,32,3,615
UCL514002,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,4,0,0,12,9,4,0,0,0,0,20,17,5,0,5,0,0,31,0,0,0,7,4,0,10,14,0,0,16,5,0,33,67,0,0,54,0,0,125,124,0,0,47,4,0,172,56,0,0,12,0,0,68,14,0,0,3,0,0,17,3,0,0,0,0,0,3,0,0,0,3,0,0,4,3,0,0,0,0,0,5,7,0,0,10,3,0,19,310,23,4,170,16,4,529
UCL514003,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,5,0,0,33,0,15,3,6,0,0,36,12,5,0,7,0,0,23,17,13,0,16,0,0,42,42,16,0,43,9,0,103,175,5,0,123,4,0,302,83,0,0,43,0,0,132,8,0,0,14,0,0,25,0,0,0,0,13,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,13,5,3,31,339,73,7,280,37,3,743
UCL514004,0,0,0,0,0,0,6,0,7,5,0,0,0,12,0,54,0,8,5,0,71,8,38,0,11,8,0,80,24,16,0,30,0,0,74,98,29,3,48,6,0,183,94,19,3,47,23,0,182,54,10,0,34,5,0,98,9,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,3,6,0,0,31,297,194,17,192,47,0,745
UCL515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,10,4,5,0,0,3,0,15,0,0,0,6,0,0,7,12,0,0,3,0,0,15,28,0,0,8,0,0,36,16,0,0,11,0,0,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,19,0,34,4,0,118
UCL515002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,4,3,0,5,3,0,0,4,0,0,4,7,0,0,4,0,0,18,33,0,0,13,0,0,45,30,0,0,6,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,72,0,0,33,13,0,117
UCL515003,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,12,0,4,0,0,11,7,4,7,0,0,0,23,9,0,0,5,0,0,13,4,4,6,12,5,0,21,41,7,0,27,0,0,69,33,0,0,12,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,96,31,15,58,9,0,205
UCL515004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,3,5,4,0,0,12,0,0,0,7,0,0,3,0,0,0,3,0,0,8,29,0,0,20,0,0,53,38,0,0,16,0,0,59,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,85,3,6,58,0,5,162
