UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL515036,0,0,0,3,3,13,23,49,21,123,0,0,0,0,0,0,0,3,4,11,11,8,24,18,34,24,29,37,31,210,62,97,234,242,296,341,335,194,85,1885
UCL515037,0,0,0,0,5,5,3,0,0,13,0,0,0,0,0,0,0,0,0,0,20,17,80,67,42,39,10,5,0,288,48,103,369,412,247,150,38,9,0,1380
UCL515038,0,0,0,3,0,10,16,35,17,85,0,0,0,0,0,3,0,0,0,5,5,9,19,19,35,37,37,47,18,228,54,62,183,201,269,391,505,290,92,2033
UCL521001,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,19,25,25,37,64,86,100,57,14,3,407
UCL521002,0,0,0,0,4,5,8,3,3,21,0,0,0,0,0,0,0,0,0,0,7,0,3,17,12,7,16,0,0,62,27,22,65,90,119,106,155,50,6,636
UCL521003,0,0,0,0,0,3,13,21,5,52,0,0,0,0,0,0,0,0,0,0,3,3,6,7,11,3,21,21,7,80,19,23,48,82,90,132,193,118,49,755
UCL521004,4,0,0,0,0,0,3,0,0,12,0,0,0,3,0,0,3,0,0,7,0,0,4,0,9,0,0,0,0,14,32,53,109,73,76,45,16,0,0,402
UCL521005,0,0,0,0,0,5,5,5,3,12,0,0,0,4,0,0,0,0,0,4,7,3,16,11,23,25,12,13,3,121,20,45,140,138,142,176,125,52,10,843
UCL521006,0,0,0,0,0,0,7,7,4,17,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7,12,14,12,0,56,17,29,67,102,103,163,120,70,5,683
UCL521007,0,0,0,0,0,7,3,7,0,19,0,0,0,0,0,0,0,5,0,4,0,0,6,7,14,8,13,12,0,59,10,34,47,54,59,89,80,56,21,444
UCL521008,0,7,0,0,4,3,8,10,8,35,0,0,0,0,0,0,0,0,0,4,3,4,6,11,6,15,6,5,0,53,9,27,41,55,61,73,70,68,39,438
UCL521009,0,0,0,0,4,0,11,6,3,23,0,0,0,0,0,0,0,0,0,0,5,4,4,9,9,16,21,17,9,83,8,19,44,51,57,72,110,65,25,457
UCL521010,0,0,4,0,0,0,12,10,5,28,0,0,0,0,0,0,0,0,0,0,9,3,9,5,4,16,11,5,0,63,38,52,97,79,109,105,95,52,12,646
