UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL522030,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,6,5,4,4,0,0,35,3,12,37,33,27,42,22,8,0,192
UCL522031,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,3,0,0,0,10,0,0,3,0,5,0,0,0,0,6,21,10,52,34,27,21,7,0,0,177
UCL522032,4,0,0,0,4,8,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,22,40,42,45,53,49,38,11,3,0,283
UCL522033,0,0,0,0,4,0,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,6,11,0,40,14,12,29,24,53,75,101,53,4,364
UCL522034,4,0,7,5,3,3,5,0,0,35,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,6,15,8,38,29,15,20,10,4,0,142
UCL522035,0,0,0,0,0,0,5,0,5,16,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,6,3,0,20,8,9,22,20,38,43,32,11,10,189
UCL522036,0,0,0,0,0,0,7,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,0,20,6,5,12,18,39,38,44,16,0,181
UCL522037,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,3,0,3,0,0,4,5,5,8,3,0,0,31,9,4,31,37,36,39,38,25,9,228
UCL522038,0,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,3,0,5,0,5,3,3,3,5,0,18,11,35,66,59,47,56,43,35,9,362
UCL522039,0,0,0,0,0,8,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,19,3,8,13,5,0,0,53,8,26,73,48,48,82,35,5,5,337
UCL522040,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,6,0,0,26,0,7,10,5,42,46,61,24,3,204
UCL522041,0,0,0,0,0,4,4,0,5,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,12,6,5,4,37,3,12,26,25,38,85,86,17,8,299
UCL522042,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,12,12,7,9,0,0,0,59,4,36,75,58,51,33,9,0,0,271
UCL522043,0,3,0,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,6,6,9,4,9,10,0,0,0,42,23,33,72,48,44,24,12,0,0,253
UCL522044,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,5,0,6,6,4,0,0,26,10,9,19,20,21,26,22,7,0,133
UCL522045,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,5,7,4,0,0,0,0,0,28,14,19,41,23,24,14,5,0,0,135
UCL522046,0,0,0,0,0,0,9,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,18,12,5,0,51,4,6,18,25,28,53,41,24,9,209
UCL522047,0,0,0,0,0,3,3,4,0,10,0,0,0,0,0,0,0,0,0,0,21,0,9,10,4,9,28,5,3,89,24,15,38,40,40,56,75,28,18,344
UCL522048,0,0,0,0,0,0,4,8,0,15,0,0,0,0,0,0,0,0,0,0,4,0,7,0,3,0,0,5,0,27,7,12,35,30,31,36,30,30,11,227
UCL522049,0,0,0,0,0,0,3,9,4,23,0,0,0,0,0,0,0,0,0,0,0,8,12,10,12,14,14,0,0,72,12,12,33,34,42,50,47,17,3,250
UCL522050,0,0,0,0,0,0,3,10,5,24,0,0,0,0,0,0,0,0,0,0,4,0,0,8,12,13,7,9,13,66,8,12,38,38,48,63,58,45,36,356
UCL522051,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,15,11,6,26,23,45,43,24,20,4,202
UCL522052,0,0,0,0,0,4,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,5,0,0,14,5,14,23,19,16,14,12,7,0,121
UCL522053,0,0,0,0,3,6,4,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,7,5,4,5,0,0,0,22,12,15,31,17,26,15,6,0,0,119
UCL522054,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,5,4,0,4,30,3,13,12,22,38,23,15,7,5,136
UCL522055,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,4,11,4,0,28,3,0,35,30,50,40,27,8,0,195
UCL522056,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,8,3,13,3,9,0,0,0,40,10,20,48,50,51,56,28,17,8,277
UCL522057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,4,0,0,0,17,7,18,52,19,23,19,3,0,0,149
UCL522058,0,0,4,0,0,0,3,3,4,15,0,0,0,0,0,0,0,0,0,6,4,4,0,3,3,5,0,0,0,34,13,20,21,26,24,42,25,26,8,216
UCL522059,0,0,0,0,0,0,5,7,3,14,0,0,0,0,0,0,0,0,0,4,0,3,9,13,5,9,10,10,0,56,7,12,33,40,37,49,46,43,6,283
UCL522060,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,7,9,9,13,3,0,0,50
UCL522061,0,0,0,0,0,0,7,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,7,9,4,25,0,5,24,23,39,73,68,59,8,298
UCL522062,0,0,0,4,3,6,0,0,0,19,0,0,0,0,4,3,4,0,0,12,0,0,0,0,0,0,0,0,0,5,7,27,44,33,35,10,6,4,0,159
UCL522063,0,0,0,0,4,10,3,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,4,0,0,0,19,10,8,30,33,21,22,10,3,0,127
UCL522064,4,0,5,13,9,3,0,0,0,34,0,0,0,0,4,0,10,4,0,18,0,4,8,6,12,4,0,11,0,40,36,53,79,58,58,25,13,8,0,332
UCL522065,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,14,5,4,4,46,7,12,29,15,23,49,33,31,5,210
UCL522066,0,0,0,0,0,4,4,6,0,12,0,0,0,0,0,0,0,0,0,4,0,0,5,9,4,12,5,6,4,46,4,17,53,61,39,48,38,29,13,304
UCL522067,0,0,0,0,4,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,7,14,11,6,8,0,0,51,12,24,33,38,44,19,25,3,0,199
UCL522068,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,9,13,10,7,0,0,41,20,21,37,56,67,69,43,29,5,344
UCL522069,0,0,0,0,0,4,4,7,0,13,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,0,9,7,0,43,8,7,28,32,32,41,60,42,4,259
UCL522070,0,0,0,0,3,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,8,7,0,21,9,23,32,35,46,57,56,14,4,271
UCL522071,3,0,9,3,0,4,0,0,0,18,0,3,0,0,5,0,0,0,0,16,5,0,0,0,0,0,0,0,0,8,37,46,75,51,40,21,8,0,0,287
UCL531001,53,37,149,168,302,477,960,965,355,3464,15,16,44,87,136,108,71,90,37,607,778,1179,2943,3001,3160,2879,1992,980,199,17114,4397,7715,17358,20796,25401,27120,19966,8076,1649,132476
UCL579997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
UCL599994,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
