UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL501001,37732,264663,298046,95428,50308,746172,9043,755215
UCL511001,1209,9512,11150,3856,1854,27579,407,27979
UCL512001,626,4289,4423,1586,879,11803,187,11993
UCL512002,412,3866,4052,1324,631,10291,156,10445
UCL512003,653,4293,4525,1575,788,11830,199,12033
UCL512004,473,3049,3859,1516,863,9758,214,9972
UCL513001,334,1409,1628,660,354,4381,150,4532
UCL513002,213,1318,1486,487,258,3762,62,3828
UCL513003,132,1278,2231,886,436,4965,100,5062
UCL513004,248,1413,1971,716,313,4662,108,4766
UCL513005,95,1362,1542,457,232,3688,42,3737
UCL514001,158,945,1006,406,241,2751,64,2819
UCL514002,23,814,1197,294,116,2440,44,2480
UCL514003,87,921,1102,316,129,2555,43,2596
UCL514004,177,891,865,340,161,2434,52,2484
UCL515001,30,217,215,57,17,530,8,547
UCL515002,4,144,233,80,30,487,8,498
UCL515003,39,374,341,118,68,941,12,947
UCL515004,21,211,298,111,71,707,8,718
UCL515005,24,279,349,177,63,886,15,902
UCL515006,142,536,494,160,73,1406,30,1440
UCL515007,5,159,332,113,33,641,13,648
UCL515008,7,72,175,73,48,376,8,388
UCL515009,44,528,437,113,27,1152,12,1167
UCL515010,108,312,229,77,56,779,37,819
UCL515011,30,364,419,143,79,1036,13,1044
UCL515012,6,184,381,123,51,741,4,750
UCL515013,16,299,382,155,122,975,22,992
UCL515014,107,127,54,24,7,316,8,326
UCL515015,62,387,388,147,86,1068,12,1084
UCL515016,14,232,244,97,35,624,7,639
UCL515017,18,182,183,53,34,463,19,479
UCL515018,25,183,227,90,51,573,9,580
UCL515019,104,444,450,166,105,1274,36,1313
UCL515020,143,482,421,142,68,1260,77,1336
UCL515021,14,177,275,93,86,643,0,645
UCL515022,120,624,586,211,108,1650,31,1677
UCL515023,60,342,324,124,39,886,20,909
UCL515024,33,221,183,63,50,545,25,572
UCL515025,30,275,245,86,55,695,10,706
UCL515026,10,136,313,150,130,741,12,748
UCL515027,113,587,465,179,90,1433,32,1465
UCL515028,47,423,528,179,90,1275,31,1305
UCL515029,8,160,100,37,23,329,3,338
UCL515030,54,510,482,198,126,1373,32,1406
UCL515031,51,446,419,144,67,1121,29,1147
UCL515032,8,70,176,101,103,461,10,468
UCL515033,12,282,326,126,45,794,6,797
UCL515034,34,393,439,130,57,1049,19,1072
UCL515035,40,188,196,69,44,532,11,550
UCL515036,40,306,342,139,71,899,23,925
UCL515037,12,118,233,87,43,502,10,509
UCL515038,40,383,357,134,78,989,19,1004
UCL521001,0,38,59,45,37,184,0,186
UCL521002,0,51,111,60,46,273,12,284
UCL521003,18,145,138,58,27,380,8,387
UCL521004,74,52,21,8,0,148,0,151
UCL521005,9,134,151,70,40,401,12,419
UCL521006,4,94,124,64,42,326,9,327
UCL521007,17,88,77,26,20,218,5,221
UCL521008,15,68,71,27,10,194,3,199
UCL521009,9,82,75,17,18,206,4,208
UCL521010,8,108,105,52,17,298,11,304
UCL521011,0,40,86,46,26,199,7,206
UCL521012,6,103,91,31,15,241,6,253
UCL521013,0,76,124,69,44,312,5,317
UCL521014,18,81,83,55,23,269,12,276
UCL521015,6,120,102,27,12,267,6,271
UCL521016,17,79,97,52,15,262,3,263
UCL521017,9,67,106,25,11,220,5,227
UCL521018,5,60,95,34,14,208,0,207
UCL521019,17,118,88,24,25,287,13,295
UCL521020,4,53,96,67,42,267,6,271
UCL521021,9,79,134,50,27,309,8,319
UCL521022,6,67,111,25,19,232,10,239
UCL521023,9,57,71,31,28,196,6,197
UCL521024,188,146,66,13,15,432,33,460
UCL521025,16,154,115,27,15,322,9,328
UCL521026,4,50,119,56,42,267,5,277
UCL521027,7,82,70,34,18,221,3,219
UCL521028,28,104,99,47,32,313,9,321
UCL521029,34,124,120,38,32,349,13,362
UCL521030,11,113,99,44,24,291,9,296
UCL521031,28,59,47,23,9,157,16,170
UCL521032,33,82,53,18,9,197,17,211
UCL521033,6,47,41,15,14,122,0,123
UCL521034,3,42,94,58,67,261,5,265
UCL521035,13,86,85,22,17,225,0,223
UCL521036,22,99,59,15,15,211,28,239
UCL521037,14,155,138,43,31,386,11,394
UCL521038,8,92,113,49,29,287,19,309
UCL521039,5,85,131,65,19,301,7,303
UCL521040,12,78,100,38,17,246,9,254
UCL521041,4,28,8,3,0,46,0,51
UCL521042,20,97,82,28,10,242,3,242
UCL521043,0,54,102,25,10,194,3,188
UCL521044,21,122,109,36,22,311,7,315
UCL521045,7,77,68,28,14,196,3,200
UCL521046,41,56,62,23,13,199,5,202
UCL521047,16,91,83,24,16,223,11,232
UCL521048,28,165,125,35,33,388,30,418
UCL521049,84,28,10,4,0,129,5,129
UCL521050,11,115,121,46,8,303,3,307
UCL521051,10,113,107,54,42,319,12,329
UCL521052,51,85,61,16,6,213,8,226
UCL522001,61,28,4,0,0,100,0,100
UCL522002,0,64,43,14,3,132,5,134
UCL522003,20,45,18,11,0,94,7,95
UCL522004,45,17,0,4,0,72,0,72
UCL522005,30,37,12,8,3,87,14,96
UCL522006,0,23,55,43,25,145,0,142
UCL522007,0,31,43,15,7,98,0,94
UCL522008,0,28,31,9,12,86,0,83
UCL522009,0,16,48,38,16,120,0,123
UCL522010,0,14,45,20,24,108,0,108
UCL522011,4,45,57,15,3,126,3,132
UCL522012,3,57,89,32,12,190,7,195
UCL522013,0,24,65,29,29,148,0,154
UCL522014,0,8,26,12,19,70,3,74
UCL522015,6,35,13,0,7,63,0,64
UCL522016,4,49,32,16,12,106,0,107
UCL522017,5,41,51,29,23,151,0,151
UCL522018,0,20,23,11,3,53,12,70
UCL522019,3,31,32,6,4,77,0,74
UCL522020,18,35,17,5,0,73,0,73
UCL522021,5,57,66,20,9,152,3,162
UCL522022,3,37,39,3,9,97,6,100
UCL522023,8,48,44,21,12,128,0,133
UCL522024,4,48,44,16,0,116,0,118
UCL522025,6,79,65,26,10,189,9,200
UCL522026,5,55,51,25,5,144,0,145
UCL522027,8,55,56,25,11,154,0,158
UCL522028,0,26,30,6,3,62,0,62
UCL522029,3,50,45,25,15,133,0,141
UCL522030,4,32,32,16,9,93,0,94
UCL522031,28,23,7,0,0,58,0,58
UCL522032,59,18,6,0,0,83,0,85
UCL522033,5,79,79,21,12,196,8,200
UCL522034,16,13,0,0,0,33,0,33
UCL522035,3,35,37,10,3,92,9,96
UCL522036,5,45,32,11,5,98,4,99
UCL522037,4,39,47,16,7,116,0,110
UCL522038,8,62,81,18,6,181,4,185
UCL522039,15,53,27,10,4,118,6,120
