UCL_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
UCL501001,138,165,274,459,670,1028,1546,1688,1194,7165,205,146,259,483,1336,3170,4937,4122,1779,16426,3590,18120,22169,18649,15979,13003,7749,3901,2452,105616,52,47,113,301,631,1080,1725,2035,1520,7505,6261,7273,10325,12172,13133,14560,12498,7441,4522,88174,158292,82594,101306,99937,79213,58335,35825,13057,3612,632172,12841,8811,10698,9610,8854,7374,5711,4057,2854,70807,188701,121434,150941,150691,133403,118041,95610,53346,24562,1036733,352,1274,3802,8155,17467,31680,42474,31525,14053,150792,21343,19036,23320,23415,20191,17302,14498,7806,2709,149625,370,486,1207,2926,6165,11223,16436,12011,4454,55273,15,39,37,69,152,545,1810,5039,6084,13782,593,1284,2588,6282,12284,19682,24769,15773,5302,88559,472,476,792,1813,5391,12853,21377,18919,9498,71588,340,323,526,948,1377,2251,3435,3753,2229,15191,467,305,514,952,2465,5806,9428,7999,3222,31153,7601,27282,34331,30412,26625,21504,13357,6506,3424,171025,90,109,215,602,1275,2479,4181,4662,2699,16314,15675,13174,16400,19762,22654,25406,22339,12790,6888,155098,319602,175883,205558,202562,160692,116058,68140,25129,6350,1279967
UCL511001,5,3,4,20,34,52,64,58,56,291,15,10,9,25,54,169,246,177,66,774,179,787,895,799,785,637,383,160,109,4736,0,0,12,12,25,52,92,90,57,345,286,253,370,440,503,628,487,277,187,3444,5748,2639,2846,3038,2728,2128,1349,563,137,21169,595,353,403,339,357,354,281,195,133,3003,7208,4218,4762,5039,5044,4828,3978,2221,942,38239,22,66,193,431,939,1634,2090,1392,562,7317,1215,764,908,960,841,732,661,335,100,6522,15,13,46,122,237,499,705,484,166,2284,0,0,4,8,9,34,82,220,241,596,28,60,115,240,526,854,1120,639,220,3804,23,23,33,71,190,501,860,749,388,2838,9,3,23,35,71,102,141,146,91,629,24,16,24,41,115,292,462,366,119,1461,395,1165,1373,1260,1250,1079,685,285,152,7631,0,0,17,22,54,113,215,174,99,694,694,475,571,697,830,1091,868,482,265,5977,11624,5574,5792,6133,5443,4277,2631,1045,248,42762
UCL512001,0,0,4,3,13,12,30,36,22,128,4,6,0,9,31,79,104,86,40,357,68,329,351,336,355,328,210,133,50,2147,0,0,6,10,7,15,49,59,52,192,111,112,136,178,235,284,256,192,93,1596,2132,1014,961,1007,1107,964,729,308,96,8326,223,134,119,127,163,174,154,96,62,1254,2664,1651,1658,1774,2087,2192,2063,1351,623,16062,5,23,61,141,359,712,986,848,394,3533,425,353,381,352,361,367,325,188,57,2805,3,5,15,40,106,206,369,283,115,1145,0,0,0,6,3,15,33,151,177,385,10,24,46,85,212,390,497,399,126,1782,5,8,16,27,76,256,442,450,270,1556,6,3,7,7,28,35,75,72,44,270,10,12,3,7,45,133,214,180,90,692,150,522,563,495,546,560,369,190,81,3474,0,0,3,11,20,43,110,141,92,416,287,207,226,263,375,470,440,327,147,2739,4188,2197,2051,1997,2137,1836,1376,557,182,16519
UCL512002,3,0,0,6,4,23,27,33,34,138,0,0,0,4,21,62,99,85,41,312,66,193,255,274,287,235,193,96,61,1664,0,4,0,0,8,14,38,56,44,162,92,79,103,138,186,233,230,151,84,1294,1923,828,802,1069,1057,902,716,296,73,7669,207,119,105,127,138,144,120,82,39,1081,2399,1262,1334,1734,1885,1900,1968,1139,570,14197,6,17,39,124,310,568,947,717,371,3101,323,218,223,305,298,293,305,187,93,2244,5,0,14,40,97,177,356,270,95,1050,0,0,0,0,3,12,47,106,133,296,7,4,30,62,126,254,437,300,126,1338,6,6,6,17,70,167,376,388,225,1269,4,4,5,11,15,46,61,77,57,285,3,8,5,12,33,105,209,180,61,606,132,306,396,427,488,393,326,179,72,2725,0,4,3,7,16,43,93,97,68,333,212,171,160,231,306,376,411,266,125,2250,3849,1781,1659,2054,2041,1676,1367,574,129,15132
UCL512003,0,0,3,10,21,31,54,53,32,211,5,3,5,10,33,70,110,83,35,351,59,275,337,320,328,270,160,94,72,1914,0,0,3,9,17,24,46,36,34,165,114,105,144,180,203,228,194,131,77,1380,2385,1186,1142,1172,1196,907,536,235,64,8819,478,248,235,265,252,216,168,108,75,2041,3203,1936,1964,2109,2276,2114,1677,1002,449,16731,7,19,60,142,368,636,785,592,270,2868,504,364,367,402,402,377,293,162,62,2929,5,9,22,35,109,218,326,237,111,1062,0,0,0,7,11,20,39,127,151,345,14,25,61,120,244,496,503,325,107,1908,9,6,15,31,109,273,400,352,222,1421,8,0,13,22,35,69,101,103,77,419,7,4,4,18,70,150,213,153,71,694,128,414,516,508,554,484,274,146,108,3132,0,0,3,14,23,51,78,93,56,316,289,199,236,300,329,415,329,223,120,2436,4721,2505,2341,2329,2325,1848,1090,459,112,17724
UCL512004,6,0,10,8,16,30,21,18,13,120,3,0,4,4,16,45,59,26,14,168,31,207,289,234,203,115,53,21,28,1184,0,0,9,0,16,16,19,16,7,84,83,67,137,149,150,150,86,44,34,901,2517,1113,1435,1311,991,698,274,75,18,8423,380,224,299,257,238,179,99,33,20,1741,3123,1688,2308,2085,1829,1526,785,322,138,13805,11,13,64,141,277,451,399,203,75,1639,316,258,353,286,245,241,122,57,19,1899,4,9,25,42,96,137,142,73,26,554,0,0,0,0,0,11,26,35,41,114,9,14,59,103,228,365,305,124,28,1232,11,7,12,15,88,209,211,111,48,722,7,4,19,14,34,51,59,43,23,245,7,0,9,13,34,95,131,63,16,361,67,298,409,369,341,217,112,39,34,1885,0,5,9,6,17,44,47,31,11,166,192,142,199,236,274,296,164,82,43,1626,5093,2439,3145,2774,2187,1616,594,159,27,18046
UCL513001,0,0,4,9,9,16,7,7,3,60,0,0,0,0,12,30,27,10,0,94,19,69,120,126,99,50,22,3,6,507,0,0,0,0,5,9,3,3,0,29,33,28,53,67,64,64,37,9,3,366,1296,538,950,813,546,380,135,38,7,4698,258,138,242,203,175,125,56,18,7,1233,1662,812,1424,1310,1024,791,380,123,31,7553,0,9,15,48,95,167,131,50,15,526,106,67,117,142,133,92,71,17,4,745,0,0,4,26,48,79,60,31,5,253,0,0,0,0,0,3,11,10,13,40,6,10,23,46,96,129,92,33,7,436,14,9,16,16,34,85,79,27,8,305,7,0,6,14,20,29,25,13,6,124,10,0,3,3,22,53,54,16,5,164,32,99,163,174,157,101,42,11,4,779,0,0,0,0,10,16,15,8,3,60,86,51,82,112,122,131,71,23,6,674,2608,1052,1698,1550,1130,726,320,73,16,9171
UCL513002,0,0,3,0,10,6,10,14,5,37,0,0,0,6,8,25,27,35,7,106,13,68,87,84,81,78,31,27,10,484,0,0,0,0,0,3,5,6,12,38,32,18,33,36,43,56,38,43,34,331,738,354,405,367,337,333,221,104,24,2886,135,70,63,77,63,56,49,46,18,568,961,533,632,627,618,659,556,409,157,5152,0,3,20,46,93,194,236,231,85,913,131,107,116,123,110,124,92,70,25,901,3,5,7,18,26,62,88,84,33,309,0,0,0,0,0,3,4,37,36,82,3,10,23,25,75,112,134,112,36,527,0,4,4,3,34,80,108,136,63,435,4,3,15,3,11,13,20,26,3,93,0,3,0,8,13,47,47,59,24,202,42,109,130,135,131,140,67,41,10,808,0,0,0,0,5,7,34,25,18,85,66,29,55,51,89,102,84,72,54,602,1470,759,786,755,707,654,419,189,44,5795
UCL513003,0,0,0,4,7,5,3,0,0,19,6,0,0,3,10,6,5,4,0,31,28,68,154,133,82,31,4,0,0,513,0,0,0,0,4,0,0,0,0,7,63,27,66,66,72,42,8,10,0,358,1682,528,1038,1000,605,255,64,9,0,5180,342,144,275,256,173,100,35,0,3,1325,2169,820,1633,1571,1092,544,164,37,8,8036,0,7,40,47,134,149,53,16,0,447,163,106,212,195,139,87,31,8,0,936,0,3,16,40,53,37,22,8,4,174,0,0,0,0,0,0,4,5,0,12,10,10,26,47,90,110,51,15,0,361,8,8,8,15,37,61,31,14,0,174,0,0,3,7,11,8,8,4,0,47,4,3,4,3,16,16,13,4,0,73,61,120,240,206,150,77,17,3,0,871,0,0,0,6,9,0,3,7,0,26,130,73,111,117,130,79,23,9,0,673,3433,1189,2094,2185,1348,633,157,11,0,11057
UCL513004,0,0,4,6,17,10,8,0,3,43,0,0,3,3,8,8,12,0,0,36,26,59,158,106,62,39,11,4,0,454,0,0,0,4,6,14,9,0,3,33,58,26,73,84,57,57,26,0,5,389,1440,511,956,800,455,282,54,10,0,4517,275,155,264,204,159,102,37,8,3,1212,1876,785,1531,1299,868,633,215,44,12,7271,3,0,25,65,94,155,90,20,5,456,164,98,212,199,106,118,44,6,0,949,0,0,3,19,33,51,26,7,5,141,0,0,0,0,0,9,0,4,4,13,10,11,29,57,112,146,79,23,5,468,3,4,8,20,54,75,52,17,0,231,0,0,9,8,20,21,16,6,3,87,6,0,4,7,14,35,20,3,0,94,35,93,213,184,107,75,17,6,0,729,0,0,0,3,14,25,16,4,3,71,130,42,114,120,111,91,51,14,11,682,2880,1074,1928,1760,1097,730,136,20,4,9635
