UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL501001,18854,5466,39936,355602,455374,186237,138256,424023,96390,1655875
UCL511001,657,272,1523,11637,16627,7491,5931,14220,4323,60227
UCL512001,484,115,1066,4995,7225,3310,2482,5849,1828,25694
UCL512002,430,88,884,4385,6244,3061,2245,5035,1372,22335
UCL512003,338,141,762,4731,6897,3016,2433,6424,2734,26236
UCL512004,115,35,202,4298,5694,2162,1752,5981,2703,22594
UCL513001,31,18,63,2251,3052,1049,643,2317,1920,11236
UCL513002,108,26,255,1696,2205,991,741,1770,863,8258
UCL513003,6,4,11,2411,3417,1134,978,2559,2013,12514
UCL513004,13,7,25,2141,2757,910,773,2970,1966,11520
UCL513005,78,31,151,1555,2106,888,855,2244,604,8253
UCL514001,47,55,162,912,1388,706,758,1558,571,5884
UCL514002,37,8,101,1165,1723,792,584,895,463,5629
UCL514003,53,14,117,1225,1703,759,521,1139,443,5783
UCL514004,90,31,182,883,1265,598,529,1496,619,5392
UCL515001,41,16,96,170,282,190,131,247,88,1102
UCL515002,11,0,10,186,345,157,105,192,64,1054
UCL515003,31,7,68,320,525,321,264,365,146,1947
UCL515004,9,0,19,343,405,200,172,423,128,1671
UCL515005,15,5,36,362,498,255,215,438,138,1905
UCL515006,28,11,67,504,838,348,254,784,641,3366
UCL515007,10,0,20,295,457,211,190,204,149,1512
UCL515008,0,0,0,199,268,126,93,119,113,928
UCL515009,38,9,102,437,721,361,285,421,226,2457
UCL515010,13,4,24,368,532,193,152,491,621,2362
UCL515011,50,6,88,382,547,326,317,556,153,2273
UCL515012,6,0,14,341,516,187,175,327,106,1644
UCL515013,3,3,17,531,655,251,198,426,220,2291
UCL515014,0,0,3,281,191,47,50,164,88,828
UCL515015,61,13,124,375,524,250,236,777,158,2320
UCL515016,10,6,36,238,364,186,135,299,143,1364
UCL515017,7,4,27,159,250,146,127,238,192,1106
UCL515018,4,0,11,188,312,149,133,287,225,1290
UCL515019,42,20,89,534,630,324,245,856,347,2929
UCL515020,9,9,16,616,937,300,192,763,642,3452
UCL515021,10,3,36,251,448,218,156,244,70,1383
UCL515022,67,8,112,635,880,391,349,896,216,3366
UCL515023,32,6,61,364,483,213,197,441,241,1946
UCL515024,20,9,47,198,323,122,99,348,179,1269
UCL515025,21,33,82,258,344,196,176,356,217,1541
UCL515026,8,0,23,327,491,195,216,398,110,1739
UCL515027,46,50,143,614,795,338,239,713,393,3090
UCL515028,0,0,0,628,829,278,247,688,396,3060
UCL515029,0,0,0,182,246,85,76,179,233,1009
UCL515030,33,45,126,508,734,395,383,791,348,3160
UCL515031,27,12,71,366,619,324,300,523,292,2429
UCL515032,7,3,11,222,300,165,144,249,95,1174
UCL515033,0,0,0,393,534,237,182,341,286,1960
UCL515034,9,8,31,371,545,281,263,566,185,2213
UCL515035,19,5,44,217,262,132,114,273,132,1128
UCL515036,23,30,85,310,451,242,267,475,194,1945
UCL515037,0,0,0,239,369,142,105,285,288,1437
UCL515038,40,15,92,324,495,295,277,486,202,2075
UCL521001,0,0,3,92,118,67,57,80,6,428
UCL521002,4,0,6,102,160,104,76,154,67,660
UCL521003,23,9,49,115,193,95,105,184,90,770
UCL521004,0,0,0,176,134,33,15,47,21,423
UCL521005,6,3,10,156,225,108,104,185,87,867
UCL521006,0,0,5,120,198,99,103,131,53,703
UCL521007,10,0,21,75,104,56,60,104,63,458
UCL521008,29,0,39,62,91,40,44,151,57,442
UCL521009,9,9,25,72,102,49,46,126,72,469
UCL521010,5,0,12,118,162,102,80,143,63,664
UCL521011,0,0,0,105,131,69,56,59,17,433
UCL521012,3,0,9,68,118,52,57,135,34,462
UCL521013,3,0,8,163,204,98,77,150,42,729
UCL521014,3,0,4,79,140,61,56,186,125,648
UCL521015,17,6,38,103,151,72,56,111,44,535
UCL521016,4,3,25,96,127,59,83,139,44,541
UCL521017,10,0,19,102,126,44,66,134,85,552
UCL521018,3,0,11,95,121,50,62,88,20,440
UCL521019,0,5,8,106,145,67,70,127,112,625
UCL521020,7,6,8,89,156,78,123,153,47,653
UCL521021,3,0,13,117,184,81,103,154,52,686
UCL521022,0,0,4,142,185,87,49,57,75,592
UCL521023,5,0,12,83,98,59,80,89,43,449
UCL521024,0,3,3,239,193,68,39,448,219,1200
UCL521025,5,0,15,101,165,77,74,134,64,617
UCL521026,0,0,3,123,180,78,76,114,39,607
UCL521027,0,0,4,93,101,57,40,124,220,633
UCL521028,25,10,39,103,140,62,65,243,84,702
UCL521029,20,7,42,131,171,84,71,205,65,723
UCL521030,4,5,25,112,182,80,69,169,72,677
UCL521031,0,0,4,72,107,47,24,123,108,480
UCL521032,0,0,0,135,82,45,42,112,121,533
UCL521033,0,0,9,41,65,23,39,68,224,465
UCL521034,9,0,11,110,185,71,79,163,37,647
UCL521035,7,0,19,81,124,65,54,99,45,470
UCL521036,5,0,3,70,100,51,40,133,92,491
UCL521037,5,0,11,125,199,90,97,212,56,788
UCL521038,22,8,44,85,133,88,114,167,100,695
UCL521039,4,0,19,137,215,119,75,75,53,673
UCL521040,4,0,6,127,155,77,49,77,129,612
UCL521041,0,0,0,88,130,63,46,94,28,446
UCL521042,16,8,29,92,153,63,31,129,55,531
UCL521043,0,0,4,80,141,65,64,50,29,425
UCL521044,11,7,23,92,133,68,85,186,55,611
UCL521045,15,7,34,61,87,51,45,134,122,504
UCL521046,0,0,3,93,154,86,76,96,54,554
UCL521047,8,0,12,70,108,53,40,128,40,440
UCL521048,7,4,34,112,205,118,99,184,82,808
UCL521049,0,0,0,104,140,83,0,37,38,406
UCL521050,14,0,19,113,140,66,59,165,49,593
UCL521051,8,0,10,148,177,89,66,160,66,698
UCL521052,0,4,0,151,128,33,34,97,125,575
UCL522001,0,0,3,67,94,109,32,39,21,358
UCL522002,3,0,9,41,71,56,22,46,15,248
UCL522003,0,0,4,40,48,33,41,30,28,218
UCL522004,0,0,0,164,27,4,0,30,4,228
UCL522005,0,0,0,37,22,21,75,40,21,214
UCL522006,7,0,8,78,112,59,47,49,25,369
UCL522007,0,3,9,40,55,32,24,30,15,191
UCL522008,4,0,4,19,52,23,19,39,14,166
UCL522009,0,0,0,66,82,46,26,67,33,313
UCL522010,5,8,10,69,66,45,30,50,58,313
UCL522011,5,0,9,49,66,38,17,45,48,265
UCL522012,6,4,16,64,91,73,53,97,39,416
UCL522013,3,0,8,59,96,46,46,87,27,359
UCL522014,0,0,0,20,37,30,28,40,13,167
UCL522015,0,0,0,51,71,22,3,51,23,217
UCL522016,0,3,5,33,45,22,24,59,34,221
UCL522017,0,0,5,63,93,51,29,64,31,323
UCL522018,0,0,0,20,27,13,10,34,31,130
UCL522019,0,3,8,23,43,19,9,26,27,155
UCL522020,0,0,0,54,28,22,33,23,18,184
UCL522021,3,0,4,54,73,29,35,78,17,289
UCL522022,0,0,0,29,50,17,24,56,38,205
