UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL501001,387885,246891,295897,297929,263686,229678,182320,99540,39936,2043762
UCL511001,14972,8488,9322,9920,9801,9377,7670,4119,1523,75196
UCL512001,5431,3413,3469,3451,3878,4117,3864,2432,1066,31128
UCL512002,4900,2591,2622,3266,3560,3486,3722,2196,884,27233
UCL512003,6482,3882,3846,4050,4359,4229,3237,1863,762,32717
UCL512004,6476,3575,4745,4344,3886,3399,1770,669,202,29068
UCL513001,3421,1552,2504,2413,2075,1573,819,237,63,14660
UCL513002,1959,1140,1217,1197,1256,1337,1090,760,255,10218
UCL513003,4497,1816,3195,3353,2357,1328,384,75,11,17013
UCL513004,3779,1619,3009,2783,1956,1568,455,103,25,15298
UCL513005,2755,1183,1488,1553,1409,1115,850,503,151,11009
UCL514001,1299,773,809,790,868,988,992,502,162,7184
UCL514002,1553,531,711,1151,986,813,877,459,101,7182
UCL514003,1647,667,975,1309,1103,743,626,240,117,7430
UCL514004,1284,798,731,728,809,926,799,425,182,6679
UCL515001,112,56,64,89,134,192,293,177,96,1211
UCL515002,221,119,129,162,179,196,191,54,10,1271
UCL515003,350,198,177,207,284,368,432,210,68,2300
UCL515004,552,332,423,273,245,172,150,61,19,2225
UCL515005,497,253,230,296,355,293,292,135,36,2402
UCL515006,791,452,547,482,579,598,433,208,67,4162
UCL515007,604,131,185,450,319,220,141,51,20,2119
UCL515008,358,108,163,235,223,156,35,13,0,1282
UCL515009,489,295,201,329,366,397,480,285,102,2944
UCL515010,643,352,475,369,392,400,264,87,24,3009
UCL515011,512,266,256,332,326,368,384,249,88,2786
UCL515012,569,254,367,305,309,196,151,50,14,2219
UCL515013,514,300,500,453,384,329,219,96,17,2806
UCL515014,198,131,208,148,138,133,53,13,3,1022
UCL515015,480,248,381,315,354,319,311,264,124,2797
UCL515016,240,96,163,172,189,274,300,133,36,1600
UCL515017,162,97,112,122,172,248,222,101,27,1270
UCL515018,370,209,213,242,244,230,118,33,11,1660
UCL515019,715,465,481,429,423,455,378,214,89,3641
UCL515020,1061,514,903,643,593,490,222,68,16,4515
UCL515021,274,169,122,174,221,269,257,136,36,1655
UCL515022,770,498,493,442,489,559,477,301,112,4138
UCL515023,440,291,319,273,291,322,274,122,61,2384
UCL515024,319,174,192,163,175,224,194,103,47,1591
UCL515025,350,218,177,183,230,271,242,140,82,1898
UCL515026,544,300,419,255,276,247,153,63,23,2284
UCL515027,656,448,460,408,451,488,450,246,143,3745
UCL515028,1175,429,864,766,543,360,87,7,0,4239
UCL515029,313,125,220,292,200,142,16,6,0,1319
UCL515030,721,433,355,442,453,506,512,327,126,3883
UCL515031,414,217,206,268,336,476,541,309,71,2841
UCL515032,312,191,169,185,260,202,119,32,11,1485
UCL515033,908,249,471,605,363,221,47,10,0,2874
UCL515034,638,261,349,353,391,377,292,148,31,2853
UCL515035,184,109,136,125,135,231,215,129,44,1311
UCL515036,425,214,234,242,296,345,335,194,85,2368
UCL515037,582,213,369,412,247,150,38,9,0,2016
UCL515038,318,157,183,201,269,391,505,290,92,2399
UCL521001,95,72,37,64,86,100,57,14,3,515
UCL521002,134,66,65,90,119,106,155,50,6,792
UCL521003,101,55,48,82,90,132,193,118,49,869
UCL521004,168,105,109,73,76,45,16,0,0,593
UCL521005,261,88,140,138,142,176,125,52,10,1129
UCL521006,173,68,67,102,103,163,120,70,5,878
UCL521007,83,58,47,54,59,89,80,56,21,540
UCL521008,88,46,41,55,61,73,70,68,39,532
UCL521009,97,45,44,51,57,72,110,65,25,564
UCL521010,146,106,97,79,109,105,95,52,12,807
UCL521011,162,60,65,103,87,63,36,14,0,591
UCL521012,75,42,60,48,77,107,99,23,9,538
UCL521013,179,110,113,94,141,137,99,27,8,907
UCL521014,123,60,63,82,132,151,115,35,4,763
UCL521015,84,55,67,59,64,85,115,60,38,625
UCL521016,123,85,101,69,84,75,74,40,25,661
UCL521017,159,73,105,107,74,80,56,38,19,713
UCL521018,113,65,64,61,77,59,57,34,11,545
UCL521019,99,50,73,86,95,127,129,61,8,723
UCL521020,115,72,52,72,125,126,146,55,8,764
UCL521021,211,74,93,129,92,115,108,65,13,902
UCL521022,132,62,75,87,146,115,96,11,4,723
UCL521023,122,49,73,83,58,85,71,18,12,568
UCL521024,405,240,270,240,193,143,81,29,3,1605
UCL521025,165,37,117,92,104,106,91,57,15,783
UCL521026,174,79,60,99,158,104,51,36,3,782
UCL521027,171,110,121,114,117,100,57,12,4,802
UCL521028,98,77,73,82,96,142,112,87,39,798
UCL521029,157,63,100,97,94,138,100,83,42,878
UCL521030,66,56,116,60,89,131,128,76,25,746
