UCL_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
UCL501001,0,4,8,29,23,68,131,64,28,360,3,82,254,1088,271,331,288,132,62,2517,5,73,292,1481,758,831,781,298,194,4714,8,60,376,1468,77,47,16,4,0,2052,17,55,111,453,320,361,934,767,410,3437,174,1696,2729,9345,4919,4846,2683,869,191,27454,3,12,43,424,265,343,327,187,87,1702,41,402,279,1579,209,129,97,29,3,2759,0,31,107,211,245,127,43,13,0,775,67,1383,2759,7135,3220,1829,1037,240,36,17699,4,39,52,801,397,540,682,205,233,2960,0,6,20,52,44,41,26,15,0,204,24,336,674,2261,1858,2369,2025,1255,506,11302,34,425,890,2584,1262,1414,1192,418,124,8341,73,1042,2513,6285,4277,2681,1516,713,252,19354,23,237,426,1693,636,469,403,210,64,4160,25,65,57,1685,174,109,97,11,4,2217,47,417,727,2596,1265,617,293,52,10,6026,6,34,25,284,139,81,41,16,9,645,92,464,495,1622,558,508,409,153,44,4367
UCL511001,0,0,0,0,0,4,0,4,0,8,0,0,3,7,3,7,10,0,0,30,0,0,0,13,0,0,4,4,0,31,0,3,0,24,0,0,0,0,0,32,0,0,0,8,17,18,42,31,16,134,3,73,102,353,215,189,125,26,8,1091,0,0,0,0,0,0,0,0,0,3,0,5,0,27,0,0,0,0,0,39,0,3,5,3,7,9,3,0,0,30,4,41,73,263,109,53,36,4,0,592,0,0,0,18,5,11,11,4,6,57,0,0,0,3,0,0,0,0,0,0,0,3,8,29,31,59,52,31,14,219,0,3,10,27,8,7,10,0,0,68,0,49,92,227,180,92,64,23,11,744,0,0,0,19,11,3,6,0,0,38,0,0,5,84,0,0,0,0,0,98,0,15,3,51,38,14,5,0,0,128,0,0,0,3,0,6,0,0,0,6,0,8,4,20,15,16,20,7,0,90
UCL512001,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,22,14,3,4,0,0,51,0,0,0,4,0,0,0,0,0,4,0,4,0,7,11,9,35,33,12,105,0,11,18,67,53,65,36,19,8,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,47,125,75,31,31,7,0,345,0,0,0,6,11,0,3,3,0,22,0,0,0,0,0,4,0,0,0,4,0,8,7,13,11,24,16,24,11,113,0,0,0,5,4,6,0,0,0,12,0,15,27,49,44,29,14,8,0,192,0,0,0,4,0,0,3,0,0,13,0,0,0,9,0,0,0,0,0,5,0,22,17,24,8,3,5,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,7,16,4,0,59
UCL512002,0,0,0,0,0,3,0,3,0,9,0,0,0,0,6,5,0,0,0,4,0,0,0,6,0,0,0,0,0,9,0,0,4,10,0,0,0,0,0,8,0,3,0,11,6,4,17,14,4,66,0,12,14,92,59,71,46,15,6,310,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,12,42,12,10,9,0,0,94,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,13,12,25,29,19,3,99,0,0,0,4,6,3,8,0,0,22,0,7,16,46,36,26,20,5,3,154,0,0,0,3,3,0,0,0,0,14,0,0,0,13,0,0,0,0,0,14,0,3,3,26,17,11,4,0,0,56,0,0,0,0,0,0,0,0,0,0,0,5,6,18,0,9,8,0,3,46
UCL512003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,6,3,0,7,8,3,38,0,10,17,70,43,63,41,11,0,270,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,9,3,15,27,108,50,37,20,9,0,273,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,11,0,7,0,8,10,19,21,11,3,80,0,0,0,3,3,7,0,3,0,19,0,9,23,72,53,25,20,7,0,210,0,5,3,9,6,0,0,0,0,21,0,0,0,20,0,0,0,0,0,21,5,10,3,37,26,18,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,7,7,4,0,40
UCL512004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,10,0,0,0,4,0,0,8,6,0,9,11,63,120,369,151,163,56,12,5,951,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,3,0,0,27,0,17,17,23,24,3,0,0,0,84,3,43,57,166,66,49,19,5,0,408,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,11,0,0,4,11,7,10,5,5,0,51,0,0,0,5,4,3,0,0,0,9,3,31,36,105,54,25,4,8,0,279,0,0,0,10,0,0,0,0,0,17,0,0,0,8,0,0,0,0,0,8,0,13,6,54,37,23,3,0,0,140,0,0,0,3,0,0,0,0,0,3,0,0,7,13,5,3,3,0,0,27
UCL513001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,3,0,0,19,0,4,10,48,38,27,8,3,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,9,17,56,19,11,4,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,4,0,0,24,0,0,0,8,3,0,7,0,0,16,0,3,4,18,13,11,3,0,0,53,0,0,0,7,0,0,0,0,0,12,0,0,0,14,0,0,0,0,0,17,0,0,4,30,14,5,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,4,0,0,0,27
UCL513002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,12,0,5,3,45,22,35,24,5,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,7,10,5,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,5,10,0,22,0,0,0,0,0,5,0,0,0,4,0,0,12,20,11,9,5,3,0,64,0,0,0,9,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,5,4,9,4,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,14
UCL513003,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,3,0,3,5,0,0,0,0,11,0,0,4,10,0,0,0,0,0,21,0,0,0,10,0,4,0,0,0,11,0,20,31,151,58,46,14,3,0,322,0,0,0,0,0,4,4,0,0,5,0,3,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,16,23,95,46,24,6,0,0,212,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,12,8,6,0,0,0,31,0,0,4,4,6,0,0,0,0,11,5,8,9,51,22,11,0,0,0,100,0,0,0,12,0,0,0,0,0,16,0,0,0,19,0,0,0,0,0,19,0,6,4,56,27,6,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,21
UCL513004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,27,29,142,60,58,20,4,0,341,0,0,0,0,5,0,4,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,22,23,132,40,21,12,0,0,247,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,6,0,0,25,0,0,0,4,3,3,6,0,0,24,0,6,8,40,34,10,3,0,0,98,0,4,0,10,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,8,0,6,9,52,13,3,0,0,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,4,0,0,0,26
