UCL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL501001,11436,1337,466,9,5,13250,3808,457,171,4,0,4433,3405,450,217,0,0,4070,6054,920,403,12,3,7391,8834,1347,658,15,3,10857,32470,4911,2215,12,18,39620,48575,5843,2279,15,27,56745,69039,5854,1940,15,45,76892,31751,2326,772,4,14,34873,25243,1969,695,5,8,27923,19960,1264,490,10,11,21735,15361,1411,507,6,14,17307,275929,28092,10814,104,157,315082
UCL511001,403,28,3,0,0,435,168,15,0,0,0,193,171,11,3,0,0,179,316,16,6,3,0,346,532,36,3,4,0,574,1977,108,9,0,0,2096,2663,63,3,3,3,2738,2470,44,8,0,4,2521,825,21,0,0,0,853,526,17,4,0,0,539,320,8,4,0,0,332,551,26,3,0,4,580,10919,399,54,12,17,11395
UCL512001,165,4,0,0,0,172,112,5,0,0,0,115,59,5,0,0,0,63,142,4,0,0,0,147,224,3,0,0,0,231,800,20,0,0,0,828,891,11,0,0,0,896,748,6,0,0,3,752,223,5,0,0,0,230,143,4,0,0,0,143,83,3,0,0,0,87,197,10,0,0,0,200,3795,69,3,3,11,3880
UCL512002,133,9,0,0,0,143,79,8,0,0,0,85,47,7,0,0,0,52,107,6,0,0,0,117,151,10,0,0,0,161,509,27,3,0,0,542,777,21,0,0,0,801,912,9,0,0,0,918,300,4,0,0,0,307,193,8,0,0,0,199,107,0,0,0,0,109,176,12,0,0,0,187,3499,120,7,3,0,3626
UCL512003,149,11,0,0,0,159,90,0,0,0,0,94,71,6,0,0,0,81,208,15,6,0,4,228,281,15,0,0,0,299,793,40,3,0,0,839,780,32,3,3,0,819,762,29,0,0,0,795,236,3,0,0,0,238,194,13,0,0,0,211,114,7,0,0,0,128,210,6,4,0,0,221,3898,180,20,8,9,4110
UCL512004,102,9,0,0,0,112,41,0,0,0,0,44,59,7,0,0,0,67,158,19,0,0,0,174,226,27,0,0,0,256,753,74,0,0,0,832,824,37,0,0,0,861,846,45,0,4,0,889,294,6,0,0,0,300,232,9,0,0,0,241,113,4,0,0,0,123,211,11,0,0,0,212,3869,236,10,5,0,4117
UCL513001,31,3,0,0,0,39,8,0,0,0,0,4,4,0,0,0,0,5,18,3,0,5,0,29,29,6,3,4,0,41,94,14,4,0,0,112,153,16,0,0,0,171,284,19,0,0,0,304,195,6,0,0,0,205,210,0,0,0,0,214,101,4,0,0,0,104,65,3,0,3,0,73,1199,70,14,13,0,1296
UCL513002,49,0,0,0,0,49,17,0,0,0,0,18,23,0,0,0,0,23,49,7,0,0,0,51,68,5,0,0,0,77,226,10,0,0,0,234,215,6,0,0,0,219,245,5,0,0,0,249,85,0,0,0,0,88,56,0,0,0,0,62,25,0,0,0,0,23,56,0,0,0,0,62,1122,32,0,0,0,1164
UCL513003,31,7,0,0,0,31,3,4,0,0,0,12,9,4,0,0,0,10,23,4,0,0,0,32,26,6,0,0,0,32,137,28,0,0,0,167,219,16,0,0,0,240,275,31,0,0,0,308,127,12,0,0,0,140,119,7,0,0,0,127,119,0,0,0,0,122,60,5,0,0,0,67,1154,119,5,4,0,1285
UCL513004,25,3,0,0,0,31,17,4,0,0,0,22,11,8,0,0,0,19,45,9,0,0,0,56,63,15,0,4,0,81,137,15,3,0,0,150,113,8,0,0,0,123,101,12,0,4,0,120,49,4,0,0,0,51,61,0,0,0,0,61,49,4,0,0,0,59,48,0,0,0,0,52,716,84,12,10,0,822
