UCL_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
UCL501001,2607,7905,1585,782,678,461,596,666,161,15438,3000,8936,2615,698,1062,755,1203,1021,197,19493,16598,26068,52176,2858,4793,2746,10531,7204,1523,124499,4669,2747,17893,845,1278,699,2973,3517,471,35097,1171,1291,1890,310,341,297,788,1135,100,7332,1993,13834,1035,3070,600,401,764,710,195,22606,1720,7554,575,1018,371,232,630,396,99,12591,18435,19162,4074,3556,7730,5094,4546,3496,911,66997,3801,9408,1675,6509,2212,1203,1808,1917,390,28933,1201,3886,1747,1054,788,1021,842,978,115,11621,1820,387,6554,1273,677,742,2136,1578,151,15322,25,26,85,34,23,38,71,112,24,445,762,936,1281,628,416,253,956,591,224,6040,1034,831,2735,651,470,432,1489,1290,1918,10852,58836,102988,95918,23275,21433,14389,29345,24618,6479,377274,1548,6526,1927,1446,1801,778,147,477,142,14810,608,1940,443,637,867,383,115,425,70,5486,1175,4045,1571,820,1133,534,546,765,96,10691,491,1857,694,354,666,413,60,154,32,4730,546,1259,702,407,609,297,109,387,37,4362
UCL511001,42,80,42,13,5,9,20,23,3,235,39,73,84,19,16,30,31,39,0,339,436,505,2854,79,150,99,572,323,74,5101,122,54,754,30,35,22,218,220,19,1471,65,61,61,12,19,8,58,63,7,353,40,418,44,70,10,12,33,27,4,657,68,302,39,28,10,13,49,16,0,520,305,255,153,54,127,101,128,93,18,1235,53,141,37,202,36,38,59,59,8,630,20,39,22,19,11,17,16,25,3,182,54,13,170,22,17,33,112,77,5,501,3,3,0,0,0,3,5,4,0,16,23,27,48,16,11,0,60,24,3,222,36,19,121,12,12,19,88,57,66,426,1299,1995,4444,581,465,403,1450,1052,215,11897,19,102,72,26,25,9,3,18,0,272,3,9,14,17,27,6,0,16,0,100,22,51,81,24,33,13,32,28,3,292,3,27,20,15,30,18,4,9,0,122,15,45,38,13,25,15,14,35,0,200
UCL512001,28,42,21,9,0,0,7,9,0,106,14,21,32,11,5,8,13,31,0,145,135,83,662,63,27,42,157,130,26,1311,75,30,356,22,13,16,50,36,3,598,50,60,64,21,3,22,53,66,3,351,15,203,12,47,3,0,4,9,0,293,34,153,16,22,0,3,11,12,0,251,127,103,26,42,48,62,34,32,4,471,20,95,21,115,8,16,23,18,3,316,9,29,20,11,3,10,3,21,0,104,29,6,117,22,5,15,27,36,4,264,0,0,0,0,0,0,0,5,0,9,9,3,17,12,3,0,5,8,0,63,17,7,42,15,9,6,15,31,14,152,565,840,1397,387,136,212,402,436,63,4438,16,42,14,10,14,8,0,7,0,113,5,4,4,0,7,6,0,12,0,32,3,10,15,9,7,3,5,12,0,67,4,16,15,0,8,4,0,3,0,43,16,28,18,17,26,12,3,25,0,142
UCL512002,19,45,9,3,0,0,0,8,5,91,9,23,14,15,5,17,0,18,0,89,111,86,678,29,41,38,159,120,18,1277,74,15,352,24,10,17,69,52,8,623,53,22,57,4,3,6,26,34,8,210,17,120,18,28,4,3,11,5,3,215,36,98,12,20,3,6,9,9,6,204,113,102,38,32,38,55,32,41,10,468,31,47,16,53,12,10,4,17,0,183,14,19,17,7,0,3,4,11,0,79,40,4,148,19,12,10,33,36,3,295,0,0,0,3,0,3,0,0,0,11,10,7,15,4,0,0,10,6,3,57,8,7,38,3,0,6,25,22,19,132,534,605,1407,244,132,171,385,375,81,3935,11,38,20,5,9,4,0,6,0,92,3,5,0,0,13,4,0,0,0,28,9,12,9,5,5,10,0,9,0,50,3,15,9,4,7,4,0,0,0,45,13,13,11,10,10,11,0,18,0,84
UCL512003,15,32,16,9,9,6,0,12,0,90,14,28,16,3,15,11,10,11,0,114,189,191,986,46,39,54,238,197,27,1962,61,25,331,29,16,20,68,72,15,636,30,22,42,5,6,19,16,44,3,198,20,183,6,27,13,0,10,12,3,276,34,140,12,16,0,4,12,8,0,225,119,95,39,36,54,44,45,31,8,467,33,65,9,87,10,8,15,17,0,242,10,14,12,12,4,16,5,9,0,78,21,3,89,14,11,19,22,33,0,200,0,0,0,0,0,0,0,4,0,4,14,10,20,17,3,5,5,10,0,84,13,13,44,13,5,8,22,25,18,166,581,832,1620,312,185,202,479,466,81,4757,8,42,17,20,9,6,5,5,0,112,4,6,0,9,8,0,0,0,0,31,5,11,19,19,6,8,13,11,0,98,9,8,3,0,7,4,0,0,0,34,8,28,10,19,11,20,0,9,0,117
UCL512004,21,149,19,3,0,0,12,5,0,206,13,17,18,4,5,0,9,8,0,77,271,279,1817,37,56,34,358,135,34,3022,40,14,172,15,6,4,88,32,6,377,10,13,16,3,4,0,28,17,0,90,23,108,14,15,4,0,26,3,4,196,15,84,12,8,6,0,24,0,4,158,117,72,43,22,38,22,60,26,8,408,18,47,17,71,9,6,30,17,4,215,3,5,10,12,4,5,18,3,0,53,18,0,69,5,8,8,58,13,3,180,0,0,0,3,0,0,3,0,0,10,7,5,33,9,0,3,32,7,9,102,14,9,64,18,0,6,53,12,31,204,583,814,2304,212,138,97,797,274,101,5309,14,80,20,6,19,0,5,8,0,157,5,11,6,0,4,0,0,3,0,35,13,41,30,11,15,6,23,8,4,153,0,9,4,0,8,0,6,0,0,23,9,10,5,5,8,3,6,7,0,59
UCL513001,9,18,12,5,4,4,0,8,0,59,9,3,7,8,5,6,0,5,0,50,88,127,314,40,25,22,64,60,15,744,59,13,152,19,3,7,34,45,5,335,28,19,19,6,7,5,8,13,0,108,11,97,5,19,3,0,5,0,0,145,15,86,3,19,7,5,3,3,0,150,94,50,24,27,25,23,6,15,6,275,27,58,15,60,15,3,4,7,4,199,8,19,13,3,8,4,4,3,0,64,21,3,41,12,10,3,6,13,0,115,0,0,0,0,0,0,0,0,0,0,10,7,12,0,4,0,5,3,0,50,11,21,25,12,3,4,10,21,27,132,402,534,643,236,110,85,155,196,60,2435,10,30,10,10,12,3,4,4,0,77,3,0,0,3,4,0,0,0,0,10,3,15,4,5,10,6,0,5,0,56,4,8,3,8,4,0,0,0,0,27,4,10,5,11,14,0,0,7,0,55
UCL513002,7,11,0,0,0,0,0,0,0,18,6,3,6,0,0,0,3,0,3,27,65,40,289,3,19,11,86,50,10,572,24,5,92,7,3,7,35,22,6,196,25,29,25,3,4,8,25,19,4,133,4,31,0,6,0,0,5,0,0,57,19,47,8,0,0,0,3,3,0,84,32,32,11,4,12,11,17,8,0,132,5,11,3,17,3,0,5,3,0,48,0,6,0,0,0,0,0,3,0,15,11,0,32,3,0,0,17,11,0,74,0,0,0,0,0,0,0,0,0,0,6,0,5,4,0,0,6,0,0,24,8,0,17,6,0,3,13,10,14,81,204,218,496,54,53,52,212,129,37,1451,4,20,3,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,4,0,0,15,4,0,0,0,5,0,0,0,0,9,9,15,6,0,3,3,0,5,3,49
UCL513003,6,15,22,0,3,0,3,3,0,57,9,9,21,4,0,0,3,0,0,44,183,202,1100,22,55,21,149,92,38,1862,55,12,185,0,10,3,60,50,4,382,17,17,7,5,3,3,11,8,0,70,18,54,7,16,6,0,10,0,0,114,14,64,18,0,5,0,8,7,0,120,115,35,72,23,39,21,24,25,16,362,18,37,10,49,5,0,14,17,0,151,4,7,12,0,5,0,4,3,0,36,19,4,55,5,7,6,12,4,0,124,0,0,0,0,0,0,0,0,0,5,5,11,25,5,3,0,14,7,3,89,4,4,55,6,3,7,25,15,23,142,469,471,1605,151,143,60,332,236,89,3551,8,20,13,6,8,0,0,0,0,78,3,0,4,4,3,0,0,0,0,23,12,37,47,5,12,5,15,11,0,148,6,4,3,0,6,0,6,3,0,19,4,12,12,0,3,3,6,0,0,45
UCL513004,8,0,13,0,0,0,0,0,0,31,8,3,5,3,6,3,5,8,0,35,114,156,1028,11,45,12,163,84,41,1654,29,5,165,6,7,0,52,29,3,289,6,0,14,0,6,0,20,14,3,58,18,39,8,14,3,0,9,0,0,98,5,53,12,5,0,0,12,7,4,96,65,31,50,6,28,20,37,24,8,258,10,21,13,29,6,0,18,10,0,110,0,3,9,0,0,4,4,0,0,20,15,3,35,0,0,5,13,8,0,74,0,0,0,0,0,0,0,0,0,0,7,11,24,5,7,0,9,9,5,76,7,6,52,4,0,3,21,21,25,151,293,339,1427,81,103,46,365,199,86,2947,5,24,8,8,13,0,0,0,0,49,3,0,0,4,5,0,0,0,0,18,7,18,40,6,13,0,19,8,4,108,0,0,7,0,0,0,0,6,0,15,9,0,0,0,9,0,0,5,0,23
