UCL_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
UCL501001,0,0,0,17,157,641,1848,1539,190,205,160,283,142,101,107,5375,0,6,17,95,72,148,1032,729,96,102,127,128,90,6,25,2665,3,41,285,562,607,723,1280,786,140,147,152,186,108,49,61,5138,32,35,71,225,1377,2206,10174,6257,1296,1298,1144,1795,626,75,495,27105,83,506,1259,436,283,883,418,117,12,17,4,10,7,0,137,4177,83,148,247,132,176,214,490,494,77,74,62,53,32,8,59,2366,7,22,42,91,215,130,212,171,17,19,28,34,5,8,33,1046,942,918,745,665,1329,777,1655,840,105,114,145,186,87,32,158,8689,108,525,653,237,101,43,74,138,9,18,0,18,4,6,59,1999,15,28,156,471,1030,1002,1292,949,218,194,233,267,195,59,118,6221,359,269,2228,1946,1884,2681,18894,14034,2935,2390,3505,4203,1452,285,919,57989,44,131,100,282,1123,2829,3839,1855,407,431,456,560,558,62,258,12937,8,4,12,60,678,691,1505,2134
UCL511001,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,4,21,0,6,9,0,0,0,0,44,0,0,7,13,10,25,23,18,3,0,8,0,0,0,3,116,0,0,0,0,0,7,73,58,10,20,15,20,0,0,5,206,0,9,11,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,23,0,0,0,5,5,0,7,4,0,0,0,0,0,0,0,21,59,36,33,18,38,6,44,7,0,4,4,4,0,0,12,260,0,6,5,0,0,0,0,6,0,5,0,0,0,0,0,25,0,0,3,0,6,3,5,12,3,3,3,3,10,0,5,48,13,0,21,11,9,15,167,189,27,31,33,40,13,4,12,586,6,0,0,0,5,16,40,31,11,5,8,3,0,0,3,132,0,0,0,0,3,0,4,22
UCL512001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,9,10,12,18,14,11,0,0,8,6,0,3,93,0,0,0,0,8,5,20,21,0,0,8,11,0,0,6,75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,17,40,34,15,12,13,9,30,4,4,6,0,0,0,0,11,171,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,4,0,0,0,0,0,0,5,21,0,0,21,6,6,10,32,35,5,0,4,3,4,0,0,127,0,0,0,0,5,6,15,11,0,4,7,7,0,0,0,56,0,0,0,0,9,0,0,0
UCL512002,0,0,0,0,0,0,8,32,0,0,5,7,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,12,22,4,0,0,0,4,0,0,0,53,0,0,0,0,0,4,3,11,0,3,0,0,0,0,0,34,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,22,13,8,7,11,15,30,19,0,0,0,0,0,0,4,123,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,6,0,0,0,0,0,0,0,14,11,4,19,10,3,7,28,29,7,4,8,10,0,0,0,119,0,0,0,0,5,7,18,11,0,0,4,0,0,0,0,55,0,0,0,0,0,0,0,0
UCL512003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,3,0,3,16,3,7,7,0,4,0,0,0,50,0,0,0,0,0,5,15,21,5,0,0,3,3,0,0,56,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,3,0,7,6,0,0,4,0,0,0,0,24,16,16,12,7,13,5,19,8,0,0,0,0,0,0,0,97,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,3,4,9,5,0,3,63,72,5,11,13,8,8,0,3,211,4,0,0,3,3,9,20,15,4,6,3,0,0,0,0,78,0,0,0,0,0,0,0,0
UCL512004,0,0,0,0,0,0,0,14,4,0,0,6,0,0,0,28,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,10,0,0,0,0,4,7,11,3,0,0,0,0,0,0,0,32,0,0,0,0,6,7,44,29,8,13,3,14,7,4,7,148,0,7,7,0,10,0,0,0,0,0,0,0,0,0,0,29,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,4,28,17,0,4,9,7,0,0,0,88,9,8,5,4,0,0,9,12,4,3,6,8,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,7,9,9,127,110,9,12,23,36,18,8,8,377,0,0,0,4,3,8,17,14,3,4,8,7,6,0,6,75,0,0,0,0,0,0,3,23
UCL513001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,8,0,0,3,0,5,0,0,0,27,0,0,0,3,0,0,3,9,4,4,9,41,9,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,9,3,5,7,15,19,14,0,4,0,5,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,18,0,3,0,0,0,0,20,18,6,3,0,5,3,0,0,69,0,0,0,0,0,3,11,4,0,0,0,5,4,0,0,25,0,0,0,0,0,0,0,0
UCL513002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,4,0,8,7,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,0,4,4,5,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,22,0,0,0,0,0,0,10,0,0,0,5,3,0,0,0,16,0,0,0,0,0,0,0,0
UCL513003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,5,5,0,0,0,5,0,0,15,0,0,0,0,3,3,6,10,0,0,0,0,3,0,0,29,0,0,0,0,0,0,15,8,0,0,3,15,3,0,3,54,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,18,3,0,5,5,0,3,5,9,0,0,0,4,0,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,6,8,87,63,16,15,17,23,5,8,4,245,0,0,0,0,3,0,21,14,0,8,0,0,10,0,0,56,0,0,0,0,0,0,4,3
UCL513004,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,3,10,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,20,8,3,8,8,19,5,0,5,63,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,6,13,3,0,6,0,0,0,0,0,31,0,6,3,0,5,0,10,4,0,0,0,0,0,0,0,40,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,3,74,38,13,19,7,23,9,0,0,206,0,0,0,0,4,11,23,31,3,0,3,18,0,0,0,99,0,0,0,0,0,0,0,3
UCL513005,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,6,0,4,0,0,0,4,5,0,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,6,10,0,9,10,0,24,0,0,0,4,0,0,0,0,70,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,0,0,10,6,0,3,19,4,0,0,0,0,0,0,0,48,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0
UCL514001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,3,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,4,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4
UCL514002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,9,7,0,0,0,0,0,0,4,37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,12,4,13,4,4,0,5,7,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0
UCL514003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,6,5,4,0,0,0,0,0,0,39,0,0,0,0,0,0,4,5,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,14,5,19,11,0,0,0,8,0,0,4,76,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,9,4,0,0,0,0,0,0,27,0,0,0,0,0,0,5,10,4,6,0,0,0,0,0,25,0,0,0,0,0,0,0,0
UCL514004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,0,4,0,0,4,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,27,0,0,0,5,0,0,0,56,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0
