UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL501001,3200,6732,4687,3305,3890,1365,751,23922,441,391,258,204,260,97,68,1714,161,235,154,119,152,51,37,903,5983,12814,10026,7640,10000,3864,2378,52706,272,585,426,288,378,118,76,2142,532,1018,550,374,384,75,60,2989,804,1606,977,657,755,190,138,5133,6791,14419,11005,8302,10754,4055,2510,57839,6900,6845,3823,2682,2669,816,512,24240,181,214,155,94,70,20,17,753,13875,21474,14976,11075,13496,4890,3044,82833
UCL511001,154,339,247,208,200,21,3,1173,31,18,24,16,16,0,0,105,13,7,8,4,5,0,0,36,297,608,487,410,498,49,10,2353,11,19,19,14,7,0,0,74,22,54,29,20,14,0,0,140,35,72,46,33,24,4,0,204,330,681,533,445,518,53,16,2562,426,386,219,116,119,13,4,1269,6,4,0,4,3,0,0,22,756,1064,747,565,637,64,15,3850
UCL512001,60,148,114,70,94,11,0,498,7,4,9,5,3,0,0,28,4,3,0,7,3,0,0,20,90,237,211,161,202,14,5,915,0,12,0,3,5,0,0,26,5,8,6,0,3,0,0,31,9,20,10,7,9,0,0,55,102,261,219,162,208,17,9,971,147,166,79,61,56,4,3,513,3,4,0,6,0,0,0,15,248,432,300,227,267,21,7,1499
UCL512002,49,152,124,88,90,9,0,510,9,7,0,3,0,0,5,29,0,4,0,0,0,0,0,6,73,227,214,170,201,13,0,896,0,5,4,0,0,0,0,15,0,9,0,3,0,0,0,18,0,13,10,5,3,0,0,32,74,241,223,172,200,13,0,927,106,90,41,39,37,0,0,316,0,8,0,0,0,0,0,8,179,334,259,212,240,10,4,1256
UCL512003,66,129,113,60,77,0,0,454,14,13,12,10,8,4,0,50,3,3,0,0,0,0,0,14,106,237,237,157,201,14,8,962,3,17,23,11,0,0,0,50,18,23,11,7,7,0,0,71,14,41,30,16,7,0,0,116,125,280,268,176,214,14,9,1084,221,224,107,70,58,10,0,698,3,21,7,10,4,0,0,41,350,520,384,257,274,25,9,1818
UCL512004,50,80,50,32,27,0,0,247,0,4,5,6,0,0,0,19,8,5,9,3,0,0,0,22,112,219,168,120,116,8,0,745,0,4,4,0,3,0,0,23,0,5,7,5,0,0,0,23,5,10,11,7,4,0,0,40,119,231,185,126,125,9,0,787,140,90,45,30,19,0,0,325,14,10,9,3,4,0,0,49,276,336,231,158,138,9,0,1161
UCL513001,28,57,32,20,21,3,0,152,5,0,0,0,0,0,0,10,0,3,0,0,0,0,0,8,71,149,105,76,79,6,0,490,0,0,7,4,3,0,0,17,0,5,7,6,4,0,0,17,0,11,8,9,6,0,0,34,76,159,112,83,85,6,0,520,79,85,47,32,22,0,0,263,9,11,10,4,0,0,0,23,162,250,164,121,108,6,0,813
UCL513002,22,36,11,16,25,0,0,105,0,0,0,3,5,0,0,11,0,4,0,0,3,0,0,4,30,73,44,42,71,3,3,268,0,3,4,0,0,0,0,8,0,5,0,0,0,0,0,12,0,12,4,4,0,0,0,16,30,80,45,46,73,3,3,284,67,54,22,17,14,0,0,181,0,0,0,0,0,0,0,3,104,131,70,69,89,3,3,464
UCL513003,16,29,14,9,16,0,0,76,3,3,3,0,3,0,0,8,0,8,0,3,0,0,0,14,48,87,65,57,51,0,0,317,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,10,3,7,0,4,0,0,0,17,51,94,68,61,53,0,0,332,20,25,16,15,11,0,0,90,0,3,4,0,0,0,0,5,77,122,83,75,63,0,0,425
UCL513004,12,32,12,18,4,0,0,81,0,0,0,0,0,0,0,4,10,7,0,0,3,0,0,18,62,121,65,50,53,9,0,357,8,4,0,8,0,0,0,17,0,3,0,0,0,0,0,11,6,10,7,10,0,0,0,28,66,133,65,55,51,9,0,383,58,54,38,14,15,4,0,176,5,3,0,0,0,0,0,17,129,186,102,70,67,14,0,579
